"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","coordinateUncertaintyInMeters","year","month","day","eventDate","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","rightsHolder","identifier","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","license","catalogNumber","recordedBy","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","occurrenceRemarks","identificationID","informationWithheld","locality","elevation","continent","stateProvince","nomenclaturalStatus","recordNumber","nomenclaturalCode","county","type","ownerInstitutionCode","bibliographicCitation","collectionID","elevationAccuracy","language","identifiedBy","habitat","preparations","verbatimElevation","reproductiveCondition","acceptedNameUsage","verbatimSRS","datasetID","verbatimCoordinateSystem","disposition","fieldNotes","startDayOfYear","samplingProtocol","individualCount","associatedTaxa","locationAccordingTo","vernacularName","georeferencedDate","higherGeography","georeferencedBy","georeferenceRemarks","higherClassification","parentNameUsage","fieldNumber","municipality","previousIdentifications","georeferenceSources","institutionID","islandGroup","dynamicProperties","identificationVerificationStatus","georeferenceProtocol","endDayOfYear","georeferenceVerificationStatus","otherCatalogNumbers","organismID","identificationQualifier","island","waterBody","identificationRemarks","taxonRemarks","accessRights","locationRemarks","infraspecificEpithet","establishmentMeans","eventRemarks","verbatimTaxonRank","footprintWKT","depth","associatedOccurrences"
"1","Cornus canadensis",1092895432,44.39629,-72.65559,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:23:52.366+0000","2016-05-07T00:23:52.580+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-05-24T16:11:02.000+0000",10,2015,5,24,"2015-05-24T14:47:52.000+0000","2015-05-24T22:07:19.000+0000","2016-05-07T00:29:44.231+0000","http://www.inaturalist.org/observations/1537770","none","none","none","WGS84","Magnoliopsida","US","United States","Charlie Hohn","1537770","Sun May 24 2015 10:47:52 GMT-0400 (EDT)","iNaturalist research-grade observations","05602, Middlesex, VT, US","Observations","1092895432","http://www.inaturalist.org/observations/1537770","47192","http://creativecommons.org/licenses/by-nc/4.0/","1537770","Charlie Hohn","http://www.inaturalist.org/observations/1537770","iNaturalist","© Charlie Hohn some rights reserved","14:47:52Z","Just sprouting ","2887434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cornus canadensis",1253298083,44.32465,-68.25023,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:23:58.332+0000","2016-05-07T00:23:58.365+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-06-01T23:38:25.000+0000",23,2015,5,29,"2015-05-29T19:08:00.000+0000","2015-06-02T11:24:54.000+0000","2016-05-07T00:30:15.912+0000","http://www.inaturalist.org/observations/1575651","none","none","none","WGS84","Magnoliopsida","US","United States","toddtracks","1575651","2015-05-29 3:08:00 PM EDT","iNaturalist research-grade observations",NA,"Observations","1253298083","http://www.inaturalist.org/observations/1575651","47192","http://creativecommons.org/licenses/by-nc/4.0/","1575651","toddtracks","http://www.inaturalist.org/observations/1575651","iNaturalist","© toddtracks some rights reserved","19:08:00Z",NA,"2958613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cornus canadensis",1092892399,43.71467,-72.90438,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:23:51.046+0000","2016-05-07T00:23:51.412+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-05-22T22:42:35.000+0000",NA,2015,5,21,"2015-05-20T22:00:00.000+0000","2015-05-26T04:30:47.000+0000","2016-05-07T00:29:34.972+0000","http://www.inaturalist.org/observations/1528293","none","none","none","WGS84","Magnoliopsida","US","United States","roy pilcher","1528293","2015-05-21","iNaturalist research-grade observations","Lefferts Pond, Chittenden VT","Observations","1092892399","http://www.inaturalist.org/observations/1528293","47192","http://creativecommons.org/licenses/by-nc/4.0/","1528293","roy pilcher","http://www.inaturalist.org/observations/1528293","iNaturalist","© roy pilcher some rights reserved",NA,NA,"2871858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cornus canadensis",1092909594,45.19453,-91.31714,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:24:04.832+0000","2016-05-07T00:24:04.936+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-06-04T01:03:30.000+0000",NA,2015,5,31,"2015-05-31T19:23:58.000+0000","2015-06-04T01:58:05.000+0000","2016-05-07T00:30:21.848+0000","http://www.inaturalist.org/observations/1585543","none","none","none","WGS84","Magnoliopsida","US","United States","aarongunnar","1585543","2015-05-31 14:23:58","iNaturalist research-grade observations","Deer Fly Swamp State Natural Area","Observations","1092909594","http://www.inaturalist.org/observations/1585543","47192","http://creativecommons.org/licenses/by-nc/4.0/","1585543","aarongunnar","http://www.inaturalist.org/observations/1585543","iNaturalist","© aarongunnar some rights reserved","19:23:58Z",NA,"2977193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cornus canadensis",1092898123,46.89111,-91.03583,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:23:53.603+0000","2016-05-07T00:23:53.639+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-05-26T00:47:12.000+0000",NA,2015,5,24,"2015-05-24T15:55:58.000+0000","2015-05-27T01:53:34.000+0000","2016-05-07T00:29:51.424+0000","http://www.inaturalist.org/observations/1545944","none","none","none","WGS84","Magnoliopsida","US","United States","aarongunnar","1545944","2015-05-24 10:55:58","iNaturalist research-grade observations","Apostle Islands National Lakeshore","Observations","1092898123","http://www.inaturalist.org/observations/1545944","47192","http://creativecommons.org/licenses/by-nc/4.0/","1545944","aarongunnar","http://www.inaturalist.org/observations/1545944","iNaturalist","© aarongunnar some rights reserved","15:55:58Z",NA,"2901523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cornus canadensis",1132401826,43.16333,-70.96389,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-01-31T23:31:52.637+0000","2016-01-31T23:31:52.641+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-05-25T10:19:02.000+0000",NA,2015,5,25,"2015-05-25T12:15:41.000+0000","2015-07-17T17:08:08.000+0000","2016-04-17T15:01:01.661+0000","http://www.inaturalist.org/observations/1541930","none","none","none","WGS84","Magnoliopsida","US","United States","John","1541930","2015-05-25 8:15:41 AM EDT","iNaturalist research-grade observations",NA,"Observations","1132401826","http://www.inaturalist.org/observations/1541930","47192",NA,"1541930","John","http://www.inaturalist.org/observations/1541930","iNaturalist","Copyright John, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","12:15:41Z",NA,"2894228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cornus canadensis",1098907611,46.01355,-81.40113,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:24:09.547+0000","2016-05-07T00:24:09.640+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-06-12T13:44:07.000+0000",46,2015,5,29,"2015-05-28T22:00:00.000+0000","2015-12-14T12:05:52.000+0000","2016-05-07T00:31:12.975+0000","http://www.inaturalist.org/observations/1621998","none","none","none","WGS84","Magnoliopsida","CA","Canada","Killarney Provincial Park","1621998","2015-05-29","iNaturalist research-grade observations","Killarney Provincial Park","Observations","1098907611","http://www.inaturalist.org/observations/1621998","47192","http://creativecommons.org/licenses/by-nc/4.0/","1621998","Killarney Provincial Park","http://www.inaturalist.org/observations/1621998","iNaturalist","© Killarney Provincial Park some rights reserved",NA,NA,"3044465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Cornus canadensis",1092898186,44.29751,-72.27719,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:23:53.678+0000","2016-05-07T00:23:53.739+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-05-26T01:09:39.000+0000",NA,2015,5,24,"2015-05-24T17:34:06.000+0000","2015-05-26T08:15:41.000+0000","2016-05-07T00:29:51.846+0000","http://www.inaturalist.org/observations/1546132","none","none","none","WGS84","Magnoliopsida","US","United States","Erika Mitchell","1546132","2015-05-24 13:34:06","iNaturalist research-grade observations","Caledonia, Vermont, United States","Observations","1092898186","http://www.inaturalist.org/observations/1546132","47192","http://creativecommons.org/licenses/by-nc/4.0/","1546132","Erika Mitchell","http://www.inaturalist.org/observations/1546132","iNaturalist","© Erika Mitchell some rights reserved","17:34:06Z",NA,"2901856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cornus canadensis",1092908852,41.81791,-78.5841,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-05-07T00:24:04.577+0000","2016-05-07T00:24:04.670+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-06-03T12:12:06.000+0000",NA,2015,5,26,"2015-05-26T15:59:42.000+0000","2015-06-03T17:12:16.000+0000","2016-05-07T00:30:20.288+0000","http://www.inaturalist.org/observations/1582767","none","none","none","WGS84","Magnoliopsida","US","United States","Scott Schuette","1582767","2015-05-26 11:59:42","iNaturalist research-grade observations","Mc Kean, Pennsylvania, United States","Observations","1092908852","http://www.inaturalist.org/observations/1582767","47192","http://creativecommons.org/licenses/by-nc/4.0/","1582767","Scott Schuette","http://www.inaturalist.org/observations/1582767","iNaturalist","© Scott Schuette some rights reserved","15:59:42Z",NA,"2971961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Cornus canadensis",1098914169,43.79103,-121.90655,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2016-01-31T23:32:34.035+0000","2016-01-31T23:32:34.665+0000","none","HUMAN_OBSERVATION",3082270,6,7707728,220,949,6713,3082226,3082270,"Cornus canadensis L.","Plantae","Tracheophyta","Cornales","Cornaceae","Cornus","Cornus canadensis","Cornus","canadensis","SPECIES","2015-06-19T11:48:35.000+0000",4128,2015,6,18,"2015-06-18T01:20:14.000+0000","2015-06-19T11:52:07.000+0000","2016-04-17T15:01:01.631+0000","http://www.inaturalist.org/observations/1643118","none","none","none","WGS84","Magnoliopsida","US","United States","Jon David Nelson","1643118","2015-06-17 6:20:14 PM PDT","iNaturalist research-grade observations",NA,"Observations","1098914169","http://www.inaturalist.org/observations/1643118","47192",NA,"1643118","Jon David Nelson","http://www.inaturalist.org/observations/1643118","iNaturalist","Copyright Jon David Nelson, licensed under a Creative Commons cc_by_nc_nd_name license: http://creativecommons.org/licenses/by-nc-nd/3.0/","01:20:14Z",NA,"3094487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
