gbifID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	catalogNumber	recordNumber	recordedBy	previousIdentifications	eventDate	year	month	day	verbatimEventDate	habitat	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	identifiedBy	scientificName
918819196	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	V216898	37.2A	A.S. Harrison	NA	1967-07-18T00:00Z	1967	7	18	1967 Jul 18	"shady and damp, swampy lakeshore"	NA	NA	CA	British Columbia	NA	NA	"Vancouver Island, creek outflow at east end of Durrance Lake"	NA	134 m	NA	NA	NA	NA	NA	48.54167	-123.46667	NA	NA	NA	NA	unknown	C.C. Chuang 1973	Abies amabilis Douglas ex J. Forbes
466046162	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	V216898	NA	A.S. Harrison	NA	1967-07-18T00:00Z	1967	7	18	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver Island, creek outflow at east end of Durrance Lake"	NA	NA	NA	NA	NA	NA	NA	48.54167	-123.46667	NA	NA	NA	NA	NA	C.C. Chuang 1973	Abies amabilis Douglas ex J. Forbes
1248731719	UniversitÍ© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	UniversitÍ© Laval	PRESERVED_SPECIMEN	QFA0212927	32.4	"Harrison, A. S."	NA	1967-06-14T00:00Z	1967	6	14	14 juin 1967	"Quite wet, grassy, open field, with some young Douglas fir"	NA	NA	CA	British Columbia.	NA	NA	"V.I. , Brentwood, end of Greig Rd."	NA	68 m	NA	NA	NA	NA	NA	48.56667	-123.45	NA	NA	NA	degrÍ©es minutes secondes	unknown	"Chuang, Ching-chang"	Abies amabilis Douglas ex J. Forbes
466037838	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	V151504	NA	Satoru Kojima	NA	1968-08-23T00:00Z	1968	8	23	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Elk River Valley, Strathcona prov. park, Vancouver Island"	NA	NA	NA	NA	NA	NA	NA	49	-125	NA	NA	NA	NA	NA	NA	Abies amabilis Douglas ex J. Forbes
466061074	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	V166858	NA	"John Pinder-Moss, Olivia Lee, Wilfred B. Schofield"	NA	1979-09-17T00:00Z	1979	9	17	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Greater Vancouver Regional District, West Vancouver, Cypress Bowl Provincial Park, on north side of Mountain Strachan"	NA	NA	NA	NA	NA	NA	NA	49	-123	NA	NA	NA	NA	NA	John Pinder-Moss 1979	Abies amabilis Douglas ex J. Forbes
1209659038	University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)	NA	PRESERVED_SPECIMEN	134502	172	"Ewan, S. | Pugsley, L."	NA	1973-07-17T00:00Z	1973	7	17	73-07-17	wooded; coniferous	NA	Vancouver Island	CA	British Columbia	NA	NA	Green Mountain	"Green Mountain, Vancouver Island: thick wooded area with Tsuga/ Abies sp."	1340 m (4400 ft)	NA	NA	NA	Canadian Geographical Names Data Base	NA	49.06667	-124.33333	2368	NA	NA	NA	NA	"Ewan, S. | Pugsley, L."	Abies amabilis Douglas ex J. Forbes
466335499	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	V232133	NA	Beryl C. Zhuang	NA	2009-07-21T00:00Z	2009	7	21	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Greater Vancouver Regional District, Vancouver, University of British Columbia Botanical Garden, Native Garden"	NA	NA	NA	NA	NA	NA	NA	49.25	-123.23333	NA	NA	NA	NA	NA	Beryl C. Zhuang	Abies amabilis Douglas ex J. Forbes
918958344	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	V232133	s.n.	Beryl C. Zhuang	Abies amabilis by Beryl C. Zhuang 2009	2009-07-21T00:00Z	2009	7	21	2009 Jul 21	Cultivated	NA	NA	CA	British Columbia	NA	NA	"Greater Vancouver Regional District, Vancouver, University of British Columbia Botanical Garden, Native Garden"	NA	NA	NA	NA	NA	NA	NA	49.25	-123.23333	NA	NA	NA	NA	unknown	Beryl C. Zhuang	Abies amabilis Douglas ex J. Forbes
920162931	naturgucker	naturgucker	NA	NA	HUMAN_OBSERVATION	1586519008	NA	531632058	NA	2013-06-18T00:00Z	2013	6	18	NA	NA	NA	NA	CA	NA	NA	NA	Hwy 4 / Kennedy Lake-Sproat Lake	NA	NA	NA	NA	NA	NA	NA	49.26258	-125.3714	250	NA	NA	NA	NA	NA	Abies amabilis Douglas ex J. Forbes
727819161	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	V236750	NA	R.G. McMinn	NA	1948-07-14T00:00Z	1948	7	14	NA	NA	NA	NA	CA	British Columbia	NA	NA	Blaney Lake	NA	NA	NA	NA	NA	NA	NA	49.28333	-122.56667	NA	NA	NA	NA	NA	R.G. McMinn	Abies amabilis Douglas ex J. Forbes
