R	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1024202750																										814121										http://creativecommons.org/licenses/by-nc/4.0/			2014-10-19T04:17Z			http://www.inaturalist.org/observations/814121				Â© Charlie Hohn some rights reserved	Charlie Hohn												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/814121	814121		Charlie Hohn																I think												2014-08-01T19:23Z	17:23:58Z			2014	8	1	Fri Aug 01 2014 11:23:58 GMT-0600 (MDT)															US												44.78204	-110.45538	5																																1437755				2014-08-03T04:55Z				75241								Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:59Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1038456116																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					1507176804		-592484464																												2009-04-10T00:00Z				2009	4	10																DE				Obergeis und Umgebung								50.90108	9.5945	250																																																Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T15:58Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		BIOCASE	2014-11-14T16:09Z	2015-08-12T02:02Z
930741808																										http://bioimages.vanderbilt.edu/ind-baskauf/60102#2007-07-06									English				2014-07-15T21:43Z			http://bioimages.vanderbilt.edu/ind-baskauf/60102#2007-07-06																					HUMAN_OBSERVATION				http://bioimages.vanderbilt.edu/ind-baskauf/60102#2007-07-06			Steven J. Baskauf								NATIVE																				2007-07-06T00:00Z				2007	7	6												NORTH_AMERICA				US	Colorado	Larimer		"Fall River Road, Rocky Mountain National Park"								40.4369	-105.7337	20													Location of individual determined by an independent GPS measurement.																						Steven J. Baskauf	2007-07-06T00:00Z												Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							0096dfc0-9925-47ef-9700-9b77814295f1	US	2016-04-17T15:54Z	3414	0						STILLIMAGE	TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2014-07-22T14:51Z	2014-07-22T14:51Z
1052568890																										668260										http://creativecommons.org/licenses/by-nc/4.0/			2014-12-08T07:20Z			http://www.inaturalist.org/observations/668260				Â© podiceps some rights reserved	podiceps												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/668260	668260		podiceps																cones at tree top												2013-09-02T00:00Z				2013	9	2	13-09-02															US					Sunrise Point Overlook							46.9177	-121.5879																																	1176594				2014-05-09T00:14Z				75241								Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:56Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
332248681																																																											http://www.tela-botanica.org	chorodep			HUMAN_OBSERVATION					fr-dep23-nn80593																																																EUROPE				FR		Creuse																																																												Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							2d680d46-d783-4ea7-94b1-2556cd653e36	FR	2016-04-28T16:33Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		TAPIR	2014-08-28T09:34Z	2016-06-03T01:32Z
890435183																										urn:lsid:artportalen.se:Sighting:7148209													2014-01-31T05:22Z																				ArtDatabanken	Artport			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:7148209	7148209																														2013-08-08T00:00Z				2013	8	8																SE	Dalarnas	Dalarna		SkurÃ¥sen								61.5405	14.2496		1																																		Bengt Oldhammer													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-14T06:06Z	2016-06-06T11:32Z
852301149																										urn:lsid:artportalen.se:Sighting:4446799													2013-07-02T18:54Z																				ArtDatabanken	Artport			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446799	4446799																														2007-04-21T00:00Z				2007	4	21																SE	Uppsala	Uppland		Krusenberg								59.7363	17.647		1																																		"Owe Rosengren, Erik Ljungstrand, Henry Gudmundson, Joakim Ekman, Owe Rosengren, Gabriel Ekman, Tor"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-13T21:57Z	2016-06-06T11:19Z
1241058893																										NBF:SO2-Vascular:12149579																																	NBF	SO2-Vascular			HUMAN_OBSERVATION				NBF:SO2-Vascular:12149579	12149579		Svein Almedal																												2009-12-05T00:00Z				2009	12	5							Plantet .. . PreviousCatalogNumber: NBF/SO-Plants/1582269									NO	Vest-Agder	Vest-Agder	Ã…seral	"Lognavatn, Ã…seral, Va"								58.75285	7.51043	2500																																																Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2016-04-17T17:31Z	0	0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-02-11T21:26Z	2016-02-11T21:26Z
1052581861																										1101878										http://creativecommons.org/licenses/by-nc/4.0/			2014-11-30T07:46Z			http://www.inaturalist.org/observations/1101878				Â© podiceps some rights reserved	podiceps												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1101878	1101878		podiceps																Wind-sculpted tree on slope above trail.												2014-08-07T00:00Z				2014	8	7	14-08-07															US					First Burroughs							46.91695	-121.6696																																	1976204				2014-11-29T17:29Z				80287								Abies lasiocarpa var. lasiocarpa								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	lasiocarpa	VARIETY							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T13:57Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2685363	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T13:28Z	2016-06-06T13:28Z
891078728																										72558										http://creativecommons.org/licenses/by/4.0/			2014-10-19T17:26Z			http://www.inaturalist.org/observations/72558				Â© ajwick24 some rights reserved	ajwick24												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/72558	72558		ajwick24																"This Spruce was found all over the forest area in Snoqualmie. The location is near a river, yet at higher elevations. There were also a few hemlocks in the area, which made the forest look quite homogenous. There was still snow on the ground- I'd estimate about 6-10 feet. "												2012-04-28T00:00Z				2012	4	28	12-04-28															US					Snoqualmie Pass							47.43214	-121.42447	100000																																105554				2012-05-01T02:10Z				75241								Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-04-17T17:31Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-03-18T05:11Z	2016-06-06T13:32Z
