gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466029709																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V5705		John Davidson																												1915-07-05T00:00Z				1915	7	5																CA	British Columbia			"Fraser River Basin, Hope Trail"								49	-121																																				John Davidson													Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
466029753																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V5699		John Davidson																												1912-05-16T00:00Z				1912	5	16																CA	British Columbia			"Coast area, Vancouver, 25th Avenue East"								49.25	-123.11667																																				John Davidson													Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
466052751																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V59966		Freek Vrugtman																												1956-06-14T00:00Z				1956	6	14																CA	British Columbia			"Greater Vancouver Regional District, Vancouver, University of British Columbia Botanical Garden"																																													Freek Vrugtman 1956													Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
466306627																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V226148		Gerald B. Straley																												1997-05-10T00:00Z				1997	5	10																CA	British Columbia			"Vancouver, eastern end of University endowment lands, along Chancellor Blvd"								49.26667	-123.23333																																				Gerald B. Straley													Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:19Z
441678978																																																											UWBM	Plants			PRESERVED_SPECIMEN					108706		C. L. Hitchcock																												1941-06-18T00:00Z				1941	6	18																CA	British Columbia			Along Fraser River opposite Hope.																																																										Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:19Z									FALSE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DIGIR	2014-10-07T14:39Z	2014-10-07T14:39Z
441678959																																																											UWBM	Plants			PRESERVED_SPECIMEN					108686		V. J. Krajina																												1949-08-07T00:00Z				1949	8	7																CA	British Columbia			Chena Lake.								49.18333	-121.75																																				Chin-Sung Chang													Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:19Z	20	0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DIGIR	2014-10-07T14:39Z	2014-10-07T14:39Z
466036627																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V162889		R.G. McMinn																												1948-08-06T00:00Z				1948	8	6																CA	British Columbia			"Dewdney-Alouette Regional District, Maple Ridge, University of British Columbia Research Forest, plot 15"								49.26667	-122.5																																																	Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
466039454																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V5689		T.R. Ashlee																												1924-06-29T00:00Z				1924	6	29																CA	British Columbia			"Greater Vancouver Regional District, Burnaby, Deer Lake"								49.23333	-122.96667																																																	Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
466344650																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V235390		"Kathryn Fisher, Alison Marshall"																												2011-05-18T00:00Z				2011	5	18																CA	British Columbia			"Vancouver, Pacific Spirit Park, Salish trail"																																													"Kathryn Fisher, Alison Marshall"													Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE		2013-09-07T09:19Z
1054801781									Acer circinatum (UBC V5692)																	171599									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-02-03T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=217093&ass_num=V5692					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				171599	V5692	s.n.	Albert J. Hill										mounted												Acer circinatum by Eli Wilson 1912						1912-09-16T00:00Z				1912	9	16	1912 Sep 16	[Illegible]														CA	British Columbia			New Westminster								49.2	-121.1									Ryan Stratychuk	2013		Ministry of Natural Resource Operations - BC Geographical Names																								Eli Wilson	1912-01-01T00:00Z												Acer circinatum Pursh								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		circinatum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	3189884	6	7707728	220	933	6657	3189834		3189884	Acer circinatum	Acer		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
