gbifID	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	eventDate	year	month	day	verbatimEventDate	habitat	samplingProtocol	higherGeography	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	identifiedBy	dateIdentified	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
466051017	NA	NA	NA	NA	NA	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V92496	NA	Fred Fodor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1945	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Hope-Princeton area	NA	NA	NA	NA	NA	NA	NA	49	-120	NA	NA	NA	NA	NA	Ferenc Tusko 1961	NA	Acer	NA	glabrum	douglasii	VARIETY	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
466066922	NA	NA	NA	NA	NA	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V156902	NA	"John Pinder-Moss, Jim Pojar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1974-05-18T00:00Z	1974	5	18	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Boulder creek bridge, 19 miles from lilloet on cayoosh creek-duffey lake road"	NA	NA	NA	NA	NA	NA	NA	50	-122	NA	NA	NA	NA	NA	John Pinder-Moss 1975	NA	Acer	NA	glabrum	douglasii	VARIETY	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
466082031	NA	NA	NA	NA	NA	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V152707	NA	"Vladimir J. Krajina, Jim Pojar, C. Parsons"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1974-08-02T00:00Z	1974	8	2	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Slim creek, 30 miles southeast of purden lake"	NA	NA	NA	NA	NA	NA	NA	53.76333	-121.21	NA	NA	NA	NA	NA	"Vladimir J. Krajina, Jim Pojar"	NA	Acer	NA	glabrum	NA	SPECIES	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
727819502	NA	NA	NA	NA	NA	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V236899	NA	"E.R. Manton, K. McGrath"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011-05-21T00:00Z	2011	5	21	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Okanagan-Similkameen Regional District, Chute Lake Road, near Naramata"	NA	NA	NA	NA	NA	NA	NA	49.6915	-119.53574	NA	NA	NA	NA	NA	E.R. Manton	NA	Acer	NA	glabrum	douglasii	VARIETY	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
918812487	PhysicalObject	NA	NA	urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	6881	V164265	750144	Katherine I. Beamish	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1978-07-12T00:00Z	1978	7	12	1978 Jul 12	along old mining rd. in Thuja plicata-Tsuga heterophylla forest	NA	NA	CA	British Columbia	NA	NA	"east of Slocan l., 1.5 miles up Kane Creek from new Denver-Kaslo road"	NA	2500-2900 ft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	Acer	NA	glabrum	NA	SPECIES	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
918818573	PhysicalObject	NA	NA	urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	12978	V132998	s.n.	Adam F. Szczawinski	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1964-08-15T00:00Z	1964	8	15	1964 Aug 15	edge of the forest near the highway	NA	NA	CA	British Columbia	NA	NA	"Columbia-Shuswap Regional District, Golden, 17 miles west towards Revelstoke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	Adam F. Szczawinski  1965	NA	Acer	NA	glabrum	douglasii	VARIETY	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
918825230	PhysicalObject	NA	NA	urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	19715	V74452	96	Thomas M.C. Taylor; Adam F. Szczawinski	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1958-06-27T00:00Z	1958	6	27	1958 Jun 27	edge of mixed woods	NA	NA	CA	British Columbia	NA	NA	"walters Island, Kyuquot, Vancouver Island"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	John W. Eastham	NA	Acer	NA	glabrum	douglasii	VARIETY	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
918825975	PhysicalObject	NA	NA	urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	20455	V84355	60062	Katherine I. Beamish; Freek Vrugtman	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1960-05-03T00:00Z	1960	5	3	1960 May 03	light woods with Douglas fir and aspen	NA	NA	CA	British Columbia	NA	NA	pass above Oliver on Cawston road	NA	914 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	John W. Eastham 1960	NA	Acer	NA	glabrum	NA	SPECIES	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
918835378	PhysicalObject	NA	NA	urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	29965	V177383	3210	Wynne Gorman	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	"Stikine-Iskut Hydro Study,refer to files for maps & additional information."	NA	NA	NA	NA	NA	NA	NA	1980-07-24T00:00Z	1980	7	24	1980 Jul 24	sitka/hemlock forest	NA	NA	CA	British Columbia	NA	NA	s of iskit River near Kerr creek	NA	299-323 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	Wynne Gorman	NA	Acer	NA	glabrum	NA	SPECIES	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
918967206	PhysicalObject	NA	NA	urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	165984	V238064	159	E.R. Manton; Jamie D. Fenneman	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Acer glabrum var. douglasii by E.R. Manton 2013	NA	2012-06-26T00:00Z	2012	6	26	2012 Jun 26	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver Island, Cowichan Valley Regional District, South Shore Rd., along Cowichan Lake"	NA	221 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WGS84	E.R. Manton	2013-01-01T00:00Z	Acer	NA	glabrum	douglasii	VARIETY	Acer glabrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
