gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466051017																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V92496		Fred Fodor																																1945																		CA	British Columbia			Hope-Princeton area								49	-120																																				Ferenc Tusko 1961													Acer glabrum var. douglasii (Hook.) Dippel								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum	douglasii	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3767823	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
466066922																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V156902		"John Pinder-Moss, Jim Pojar"																												1974-05-18T00:00Z				1974	5	18																CA	British Columbia			"Boulder creek bridge, 19 miles from lilloet on cayoosh creek-duffey lake road"								50	-122																																				John Pinder-Moss 1975													Acer glabrum var. douglasii (Hook.) Dippel								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum	douglasii	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3767823	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE		2013-09-07T09:19Z
466082031																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V152707		"Vladimir J. Krajina, Jim Pojar, C. Parsons"																												1974-08-02T00:00Z				1974	8	2																CA	British Columbia			"Slim creek, 30 miles southeast of purden lake"								53.76333	-121.21																																				"Vladimir J. Krajina, Jim Pojar"													Acer glabrum Torr.								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3189864	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE		2013-09-07T09:19Z
727819502																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V236899		"E.R. Manton, K. McGrath"																												2011-05-21T00:00Z				2011	5	21																CA	British Columbia			"Okanagan-Similkameen Regional District, Chute Lake Road, near Naramata"								49.6915	-119.53574																																				E.R. Manton													Acer glabrum var. douglasii (Hook.) Dippel								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum	douglasii	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3767823	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE		2013-09-07T09:18Z
918812487									Acer glabrum (UBC V164265)																	6881									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=8892&ass_num=V164265					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				6881	V164265	750144	Katherine I. Beamish										mounted																		1978-07-12T00:00Z				1978	7	12	1978 Jul 12	along old mining rd. in Thuja plicata-Tsuga heterophylla forest														CA	British Columbia			"east of Slocan l., 1.5 miles up Kane Creek from new Denver-Kaslo road"		2500-2900 ft												unknown																																												Acer glabrum Torr.								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_INVALID		FALSE	FALSE	3189864	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE	2016-02-15T18:08Z	2016-02-15T18:08Z
918818573									Acer glabrum var. douglasii (UBC V132998)																	12978									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=15022&ass_num=V132998					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				12978	V132998	s.n.	Adam F. Szczawinski										mounted																		1964-08-15T00:00Z				1964	8	15	1964 Aug 15	edge of the forest near the highway														CA	British Columbia			"Columbia-Shuswap Regional District, Golden, 17 miles west towards Revelstoke"														unknown																															Adam F. Szczawinski  1965													Acer glabrum var. douglasii (Hook.) Dippel								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum	douglasii	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_INVALID		FALSE	FALSE	3767823	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE	2016-02-15T18:08Z	2016-02-15T18:08Z
918825230									Acer glabrum var. douglasii (UBC V74452)																	19715									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=21841&ass_num=V74452					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				19715	V74452	96	Thomas M.C. Taylor; Adam F. Szczawinski										mounted																		1958-06-27T00:00Z				1958	6	27	1958 Jun 27	edge of mixed woods														CA	British Columbia			"walters Island, Kyuquot, Vancouver Island"														unknown																															John W. Eastham													Acer glabrum var. douglasii (Hook.) Dippel								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum	douglasii	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_INVALID		FALSE	FALSE	3767823	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE	2016-02-15T18:08Z	2016-02-15T18:08Z
918825975									Acer glabrum (UBC V84355)																	20455									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=22582&ass_num=V84355					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				20455	V84355	60062	Katherine I. Beamish; Freek Vrugtman										mounted																		1960-05-03T00:00Z				1960	5	3	1960 May 03	light woods with Douglas fir and aspen														CA	British Columbia			pass above Oliver on Cawston road		914 m												unknown																															John W. Eastham 1960													Acer glabrum Torr.								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_INVALID		FALSE	FALSE	3189864	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE	2016-02-15T18:08Z	2016-02-15T18:08Z
918835378									Acer glabrum (UBC V177383)																	29965									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-09-26T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=32187&ass_num=V177383					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				29965	V177383	3210	Wynne Gorman										mounted						"Stikine-Iskut Hydro Study,refer to files for maps & additional information."												1980-07-24T00:00Z				1980	7	24	1980 Jul 24	sitka/hemlock forest														CA	British Columbia			s of iskit River near Kerr creek		299-323 m												unknown																															Wynne Gorman													Acer glabrum Torr.								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_INVALID		FALSE	FALSE	3189864	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE	2016-02-15T18:08Z	2016-02-15T18:08Z
918967206									Acer glabrum var. douglasii (UBC V238064)																	165984									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-08-19T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=209486&ass_num=V238064					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				165984	V238064	159	E.R. Manton; Jamie D. Fenneman										mounted												Acer glabrum var. douglasii by E.R. Manton 2013						2012-06-26T00:00Z				2012	6	26	2012 Jun 26															CA	British Columbia			"Vancouver Island, Cowichan Valley Regional District, South Shore Rd., along Cowichan Lake"		221 m												WGS84																															E.R. Manton	2013-01-01T00:00Z												Acer glabrum var. douglasii (Hook.) Dippel								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer		glabrum	douglasii	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_INVALID	STILLIMAGE	FALSE	FALSE	3767823	6	7707728	220	933	6657	3189834		3189864	Acer glabrum	Acer		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
