gbifID	institutionCode	basisOfRecord	recordNumber	recordedBy	eventDate	year	month	day	verbatimEventDate	habitat	fieldNotes	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	decimalLatitude	decimalLongitude	scientificName
1087280730	"Instituto de Bot̢nica, IBT"	PRESERVED_SPECIMEN	s.n.	"Kellogg, JH"	1921-05-27T00:00Z	1921	5	27	NA	NA	NA	US	Missouri	NA	NA	Ex herv. Missouri Botanical Garden n�8	NA	NA	0	0	Achillea millefolium L.
1022055784	HSC	PRESERVED_SPECIMEN	4330	"Overton, Butler"	1979-06-14T00:00Z	1979	6	14	Jun 14 1979	NA	NA	US	California	Del Norte	NA	"Near Cedar Spring, close to the town of Gasquet"	NA	930 m	41.82867	-123.893	Achillea millefolium L.
1022062802	UC	PRESERVED_SPECIMEN	31	Mrs. H. P. Bracelin	1930-08-15T00:00Z	1930	8	15	Aug 15 1930	NA	NA	US	California	Mono	NA	Saddlebag Lake	NA	10300 ft	NA	NA	Achillea millefolium L.
1022066823	CAS	PRESERVED_SPECIMEN	5664	A. A. Heller	1902-06-07T00:00Z	1902	6	7	"June 7, 1902"	NA	NA	US	California	San Francisco	NA	Sand hills	NA	NA	NA	NA	Achillea millefolium L.
1022073988	UC	PRESERVED_SPECIMEN	236	C. W. Sharsmith	1933-08-01T00:00Z	1933	8	1	Aug 1 1933	NA	NA	US	California	Tuolumne	NA	Tuolumne Meadows; Sierra Nevada	NA	8600 ft	37.87722	-119.37667	Achillea millefolium L.
1022278421	HSC	PRESERVED_SPECIMEN	69	Karen Klement	1968-05-05T00:00Z	1968	5	5	May 5 1968	NA	NA	US	California	Los Angeles	NA	"25 mi. NE of Azusa, 2 mi. N. of Rincon Station off Hwy. 39 on side road in San Gabriel Mtns."	NA	732 m	NA	NA	Achillea millefolium L.
1022323944	CAS	PRESERVED_SPECIMEN	37581	John Thomas Howell	1962-06-16T00:00Z	1962	6	16	16-Jun-62	NA	NA	US	California	Butte	NA	Pentz road 2 mi. s. of Magalia	NA	2000 ft	NA	NA	Achillea millefolium L.
1022325764	CAS	PRESERVED_SPECIMEN	4349	"Walter Knight, Irja Knight"	1981-07-07T00:00Z	1981	7	7	07-Jul-81	NA	NA	US	California	Lake	NA	Orange Pipe. On road to summit of Mt. Sanhedrin	NA	5000 ft	NA	NA	Achillea millefolium L.
1022369454	SBBG	PRESERVED_SPECIMEN	1	Leota Davidson	1964-05-27T00:00Z	1964	5	27	May 27 1964	NA	NA	US	California	Marin	NA	near Stinson Beach	NA	NA	NA	NA	Achillea millefolium L.
1022420424	DS	PRESERVED_SPECIMEN	3961	Dennis E. Breedlove	1962-07-14T00:00Z	1962	7	14	14-Jul-62	NA	NA	US	California	Kern	NA	"In French Meadow, 1.3 miles NW of Claraville, Piute Mountains"	NA	6500 ft	NA	NA	Achillea millefolium L.
1022425239	CAS	PRESERVED_SPECIMEN	s.n.	Gilbert J. Muth	1965-07-29T00:00Z	1965	7	29	29-Jul-65	NA	NA	US	California	Siskiyou	NA	On top of Marble Mountain Lookout	NA	NA	NA	NA	Achillea millefolium L.
1022561990	UC	PRESERVED_SPECIMEN	573	Beryl O. Schreiber	1932-06-25T00:00Z	1932	6	25	Jun 25 1932	NA	NA	US	California	Marin	NA	cliff Hearts Desire Beach; Tomales Bay	NA	NA	38.13260952	-122.8930134	Achillea millefolium L.
1022580243	DS	PRESERVED_SPECIMEN	4667	David D. Keck	1937-08-30T00:00Z	1937	8	30	30-Aug-37	NA	NA	US	California	Mono	NA	"(below) Harvey Monroe Hall Natural Area, Slate Creek Basin, east of Mount Conness, on southeast flank of Mt. Conness above Hanging Valley in cirque between Conness and White Mt."	NA	NA	37.9551	-119.277	Achillea millefolium L.
1022613652	UCR	PRESERVED_SPECIMEN	6713	"Jon P. Rebman, K. Rich, O. Solis, John Klavzar, Robert K. Lauri"	2000-05-26T00:00Z	2000	5	26	May 26 2000	NA	NA	US	California	San Diego	NA	"Coastal Plains & Basins; South Coastal Plain region Moody Canyon area, just east of San Ysidro Jr. High School"	NA	90 m	32.55917	-117.03111	Achillea millefolium L.
1030496446	MSC	PRESERVED_SPECIMEN	NA	"DeNike, Jonathon"	1989-06-20T00:00Z	1989	6	20	NA	NA	NA	US	Michigan	Cheboygan	NA	"Exteme Southwestern corner, Burt Township"	NA	NA	NA	NA	Achillea millefolium L.
1030496596	MSC	PRESERVED_SPECIMEN	NA	"Bourdo, Jr., E."	1962-08-11T00:00Z	1962	8	11	NA	NA	NA	US	Michigan	Keweenaw	NA	Near Copper Harbor	NA	NA	NA	NA	Achillea millefolium L.
1030496642	MSC	PRESERVED_SPECIMEN	NA	"Bingham, Margarie"	1942-08-01T00:00Z	1942	8	1	NA	NA	NA	US	Michigan	Mackinac	NA	"Middle beach, Round Island"	NA	NA	NA	NA	Achillea millefolium L.
1030496675	MSC	PRESERVED_SPECIMEN	NA	"DeNike, Jonathon"	1989-06-30T00:00Z	1989	6	30	NA	NA	NA	US	Michigan	Cheboygan	NA	"Extreme Southwest corner of UMBS property along Greenstar trail, Munro township"	NA	NA	NA	NA	Achillea millefolium L.
