gbifID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	identifiedBy	scientificName
466020957	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V6345	NA	D.C. Buckland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1939-04-25T00:00Z	NA	NA	NA	1939	4	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Burquitlam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D.C. Buckland	Alnus rubra Bong.
466070680	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V37803	NA	"Katherine I. Beamish, Thomas M.C. Taylor, W.H. Lewis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	prince rupert	NA	NA	NA	NA	NA	NA	NA	54.25	-130.33333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M.bryan	Alnus rubra Bong.
466084658	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V88028	NA	Vladimir J. Krajina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949-08-07T00:00Z	NA	NA	NA	1949	8	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Cheam lake	NA	NA	NA	NA	NA	NA	NA	49.18333	-121.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	W. Savale	Alnus rubra Bong.
78348401	CMN	CAN	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	CAN 393867	NA	"Kujala, Viljo; Cajander, Aarno"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1931-08-14T00:00Z	NA	NA	NA	1931	8	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NORTH_AMERICA	NA	NA	NA	CA	British Columbia	Range 5 Coast Land Distr.	NA	Terrace	NA	NA	NA	NA	NA	NA	NA	54.517	-128.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
918810077	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	4381	V69618	s.n.	J. Campbell	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949-06-03T00:00Z	NA	NA	NA	1949	6	3	1949 Jun 03	Cultivated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Ex. Hort, University of British Columbia Arboretum, Vancouver"	NA	NA	NA	NA	NA	NA	NA	49.25806	-123.24944	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
918810099	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	4373	V69619	s.n.	J. Campbell	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949-02-26T00:00Z	NA	NA	NA	1949	2	26	1949 Feb 26	Cultivated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Ex. Hort, University of British Columbia Arboretum, Vancouver"	NA	NA	NA	NA	NA	NA	NA	49.25806	-123.24944	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
918827829	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	22325	V121756	680178	Katherine I. Beamish	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1968-06-08T00:00Z	NA	NA	NA	1968	6	8	1968 Jun 08	on undisturbed peat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Greater Vancouver Regional District, Burns Bog, Delta Nature Reserve, North Delta"	NA	0 m	NA	NA	NA	NA	NA	49.13333	-122.91667	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	Katherine I. Beamish	Alnus rubra Bong.
918965266	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	161816	V236207	492	E.R. Manton; K. McGrath	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra by E.R. Manton 2012	NA	NA	NA	NA	NA	2011-06-07T00:00Z	NA	NA	NA	2011	6	7	2011 Jun 07	Growing near river	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver Island, Capital Regional District, Fairy Lake Forest Recreation Site"	NA	16 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	E.R. Manton	Alnus rubra Bong.
466060921	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V163857	NA	"Richard M. Annas, Karl Klinka"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1974-05-21T00:00Z	NA	NA	NA	1974	5	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"rugged point on the se. entrance to Kyuquot channel, s. ofunion Is. on vanc. Is."	NA	NA	NA	NA	NA	NA	NA	49.95	-127.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	John Pinder-Moss 1978	Alnus rubra Bong.
466064059	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V88684	NA	Vladimir J. Krajina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949-09-04T00:00Z	NA	NA	NA	1949	9	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Cultus Lake	NA	NA	NA	NA	NA	NA	NA	49.05	-121.98333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	John W. Eastham	Alnus rubra Bong.
727818086	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V236165	NA	"E.R. Manton, K. McGrath"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011-08-09T00:00Z	NA	NA	NA	2011	8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Greater Vancouver Regional District, Buntzen Lake"	NA	NA	NA	NA	NA	NA	NA	49.37645	-122.86235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E.R. Manton	Alnus rubra Bong.
918806305	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	688	V75758	s.n.	C.S. Allen	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1938-08-05T00:00Z	NA	NA	NA	1938	8	5	1938 Aug 05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"bald Mountain peninsula, north arm, Cowichan Lake"	NA	168 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
918822976	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	17425	V6681	31	T.L. Thacker	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	see J.D. 3rd Ann. Report	NA	NA	NA	NA	NA	"Alnus rubra by T.L. Thacker 1914; ! Alnus rubra, note- pubescence on lower surface not rusty, confined to veins Det. H.R. Rhodes 1948; =Alnus oregona Det. Thomas M.C. Taylor 1957"	NA	NA	NA	NA	NA	1914-05-17T00:00Z	NA	NA	NA	1914	5	17	1914 May 17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Dryas Island- in Fraser River at Hope	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T.L. Thacker	Alnus rubra Bong.
918824675	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	19204	V136525	s.n.	John W. Eastham	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1937-01-01T00:00Z	NA	NA	NA	1937	1	1	1937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver, West Point Grey"	NA	NA	NA	NA	NA	NA	NA	49.26667	-123.2	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	John W. Eastham	Alnus rubra Bong.
918827822	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	22347	V121629	680071	Katherine I. Beamish	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1968-05-28T00:00Z	NA	NA	NA	1968	5	28	1968 May 28	on peat bog around lake margin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"ambrose lake, sechelt peninsula, northwest of Vancouver"	NA	137 m .	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	Katherine I. Beamish	Alnus rubra Bong.
1269583509	iNaturalist	Observations	iNaturalist research-grade observations	NA	HUMAN_OBSERVATION	NA	NA	NA	http://www.inaturalist.org/observations/3296835	3296835	NA	Lauren Magner	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-05-14T00:00Z	NA	NA	NA	2016	5	14	16-05-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	NA	NA	NA	NA	"Galiano island, Tapovan"	NA	NA	NA	NA	NA	NA	48.91597	-123.42481	201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
40070112	USA020	USA020	NA	NA	UNKNOWN	NA	NA	NA	NA	1522474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	NA	NA	NA	"Kitimat, east of Kitimat, Robinson Lake Trail at 1 km."	NA	NA	NA	NA	NA	NA	NA	54.03333	-128.58333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466018854	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V63980	NA	Anonymous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1933-07-24T00:00Z	NA	NA	NA	1933	7	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Botanical Garden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466023244	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V6331	NA	G. Allan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1936-08-10T00:00Z	NA	NA	NA	1936	8	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"cowichan, Vancouver Island"	NA	NA	NA	NA	NA	NA	NA	48	-123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466035738	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V57756	NA	P.R. Sanderson	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1956-05-25T00:00Z	NA	NA	NA	1956	5	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver, Stanley Park, brockton point"	NA	NA	NA	NA	NA	NA	NA	49.3	-123.13333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466035744	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V57758	NA	P.R. Sanderson	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1956-09-22T00:00Z	NA	NA	NA	1956	9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"promenade , first narrows, Vancouver"	NA	NA	NA	NA	NA	NA	NA	49	-123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466056981	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V6683	NA	John Davidson	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1912-03-16T00:00Z	NA	NA	NA	1912	3	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"by path up to Little Mountain reservoir, near to lumber mill"	NA	NA	NA	NA	NA	NA	NA	49.23333	-123.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	John Davidson	Alnus rubra Bong.
