gbifID	institutionCode	collectionCode	basisOfRecord	recordNumber	recordedBy	individualCount	preparations	associatedTaxa	fieldNumber	eventDate	year	month	day	verbatimEventDate	habitat	fieldNotes	eventRemarks	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	scientificName
40093180	USA026	USA026	UNKNOWN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
40093382	USA026	USA026	UNKNOWN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
42919899	HAM	RBG Herbarium	UNKNOWN	NA	A.Tamsalu	NA	NA	NA	NA	1955-07-06T00:00Z	1955	7	6	NA	NA	NA	NA	NA	NA	CA	Ontario	Hamilton-Wentworth	NA	"Royal Botanical Garden; North shore of Cootes' Paradise, digging on borders, #10."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
466019717	University of British Columbia	UBC	PRESERVED_SPECIMEN	NA	"Brian Wikeem, S. Gale"	NA	NA	NA	NA	1979-05-15T00:00Z	1979	5	15	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Okanagan game farm, 1 mile northeast of kaleden"	NA	NA	NA	NA	NA	NA	NA	49.43333	-119.65	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
466040814	University of British Columbia	UBC	PRESERVED_SPECIMEN	NA	"Vladimir J. Krajina, R.H. Spilsbury"	NA	NA	NA	NA	1950-05-21T00:00Z	1950	5	21	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver Is., Victoria, above mcneil bay"	NA	NA	NA	NA	NA	NA	NA	48.25	-123.3	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
466066823	University of British Columbia	UBC	PRESERVED_SPECIMEN	NA	R. Oseko	NA	NA	NA	NA	1957-05-16T00:00Z	1957	5	16	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"East Kootenay Regional District, Kimberley"	NA	NA	NA	NA	NA	NA	NA	49.68333	-115.98333	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
441685761	UWBM	Plants	PRESERVED_SPECIMEN	NA	F. Comte	NA	NA	NA	NA	1967-06-28T00:00Z	1967	6	28	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Along PGE Railroad. Alta Lake.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
45546273	"California State University, Chico"	Herbarium	UNKNOWN	NA	J. Nagy	NA	NA	NA	NA	1970-06-11T00:00Z	1970	6	11	NA	NA	NA	NA	NA	NA	CA	Alberta	NA	NA	"Waterton Lakes National Park.  3 miles south on Chief Mountain Customs road. In Poplar grove, dry."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
668795306	Universit̩ Laval	QFA	PRESERVED_SPECIMEN	B-11	"Cinq-Mars, Lionel"	NA	mounted	NA	NA	1960-07-02T00:00Z	1960	7	2	02 juillet 1960	Plant̩ dans le Morgan Arboretum	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"Comt̩ Jacques-Cartier, Ste-Anne-de-Bellevue."	NA	NA	NA	NA	NA	NA	NA	45.4325	-73.94472	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
143040114	H	BG_Tpuska	LIVING_SPECIMEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Wells Gray Provincial Park. S end of Clearwater Lake, Dragon's Tongue Trail. Thuja plicata, Picea engelmannii, Pinus contorta, Tsuga heterophylla forest on 7600 years old lava flow, orohemiboreal zone, alt. ca 460 m, 52�08'N, 120�11'W. September 5, 1995."	NA	NA	NA	NA	NA	NA	NA	52.13333	-120.18333	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
