gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466019717																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V169044		"Brian Wikeem, S. Gale"																												1979-05-15T00:00Z				1979	5	15																CA	British Columbia			"Okanagan game farm, 1 mile northeast of kaleden"								49.43333	-119.65																																																	Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE		2013-09-07T09:18Z
466040814																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V189412		"Vladimir J. Krajina, R.H. Spilsbury"																												1950-05-21T00:00Z				1950	5	21																CA	British Columbia			"Vancouver Is., Victoria, above mcneil bay"								48.25	-123.3																																																	Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COUNTRY_COORDINATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	TRUE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE		2013-09-07T09:18Z
466066823																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V183197		R. Oseko																												1957-05-16T00:00Z				1957	5	16																CA	British Columbia			"East Kootenay Regional District, Kimberley"								49.68333	-115.98333																																				John Pinder-Moss													Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE		2013-09-07T09:19Z
441685761																																																											UWBM	Plants			PRESERVED_SPECIMEN					92668		F. Comte																												1967-06-28T00:00Z				1967	6	28																CA	British Columbia			Along PGE Railroad. Alta Lake.																																																										Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:15Z									FALSE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DIGIR	2014-10-07T14:42Z	2014-10-07T14:42Z
668795306									Amelanchier alnifolia Nutt. (QFA0171724)																	QFA0171724									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0171724	QFA0171724	B-11	"Cinq-Mars, Lionel"										mounted						"A. alnifolia is from Forestburg, Alberta."												1960-07-02T00:00Z				1960	7	2	02 juillet 1960	Plantí© dans le Morgan Arboretum														CA	Quí©bec			"Comtí© Jacques-Cartier, Ste-Anne-de-Bellevue."								45.4325	-73.94472																																				"Cinq-Mars, Lionel"													Amelanchier alnifolia (Nutt.) Nutt.	Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer							Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
1041210839																										urn:occurrence:Arctos:UAM:Herb:210717:1265870									en							http://arctos.database.museum/guid/UAM:Herb:210717				http://arctosdb.org/home/data/								PhysicalObject		urn:lsid:biocol.org:col:15621			UAM	Plant specimens (ALA)			PRESERVED_SPECIMEN				urn:occurrence:Arctos:UAM:Herb:210717:1265870	210717		"Collector(s): Stanley L. Welsh, Glen Moore"										whole organism					"ISC: Ada Hayden Herbarium, Iowa State University=253442; original identifier=5511"	Entered by ALA Imaging Project - more data will be available after images are scanned.						<i>Amelanchier alnifolia</i> (accepted ID) identified by unknown on 2009-07-28; method: legacy Remark: Identification taken from herbarium sheet folder.							1966-06-24/						24-Jun-66	"in Aspen, Spruce, Willow community"									"North America, Canada, Yukon Territory"	NORTH_AMERICA				CA	Yukon Territory			"Alaska Highway, mile 886"						unknown												unknown	00:00.0			unverified																					A		unknown	2009-07-28T00:00Z		legacy	Identification taken from herbarium sheet folder.									Amelanchier alnifolia (Nutt.) Nutt.							Plantae Tracheophyta Magnoliopsida Rosales Rosaceae  (Nutt.) Nutt.	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES			ICBN				5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	US	2016-04-17T18:04Z								STILLIMAGE	FALSE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE	2015-03-25T11:14Z	2015-03-25T11:14Z
918823631									Amelanchier alnifolia (UBC V194743)																	18097									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-03-01T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=20215&ass_num=V194743					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				18097	V194743	s.n.	P.F. Maycock; A.A. Reznicek; J. Laudenbach; S. White										mounted																		1977-07-01T00:00Z				1977	7	1	1977 Jul 01															CA	Manitoba			"souris river - prairie complex on extensive plateau above the souris river, north of margaret"																																													J. Laudenbach													Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z									FALSE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE	2016-02-15T18:08Z	2016-02-15T18:08Z
918932020									Amelanchier alnifolia (UBC V218888)																	128012									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-10-11T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=131266&ass_num=V218888					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				128012	V218888	28	K.P. Bannister										mounted						"Ph.D. Thesis, Department of Botany, University of British Columbia: Ethnobotany of the Dene Tsaa Tse Käó»nai First Nation Prophet River Band 544."												2000-07-07T00:00Z				2000	7	7	2000 Jul 07	Spruce wetland adjacent to lake.														CA	British Columbia			"Peace River District, near Fort Nelson, Alaska Highway mile 285 Lake (side)."								58.63333	-122.75					unknown																																												Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918950996									Amelanchier alnifolia (UBC V227942)																	147117									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-16T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=164420&ass_num=V227942					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				147117	V227942	19	Gary J. Lewis; Jocelyn M. Ingram										mounted						Plot 8						Amelanchier alnifolia by Gary J. Lewis 2002						2002-07-05T00:00Z				2002	7	5	2002 Jul 05	Ultramafic side. Mature Douglas fir forest on toe-of-slope in gully with large dead and young subalpine fir. Slope 21 degrees.														CA	British Columbia			"Tulameen area, Tulameen Ultramafic Complex, Grasshopper Mountain"		1231 m						49.53517	-120.90244					unknown																															Gary J. Lewis	2002-01-01T00:00Z												Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918967381									Amelanchier alnifolia (UBC V52189)																	166191									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-07-18T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=209728&ass_num=V52189					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				166191	V52189	s.n.	W. Taylor										mounted												Amelanchier alnifolia by W. Taylor 1914; Amelanchier florida Det. John W. Eastham 1960; Amelanchier alnifolia Det. Thomas M.C. Taylor 1966						1914-05-17T00:00Z				1914	5	17	1914 May 17															CA	British Columbia			south slopes of Grouse Mountain								49.38333	-122.93333									Esther Yuen	2013		Ministry of Natural Resource Operations - BC Geographical Names																								W. Taylor	1914-01-01T00:00Z												Amelanchier alnifolia (Nutt.) Nutt.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amelanchier		alnifolia		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	8168485	6	7707728	220	691	5015	3023817		3023905	Amelanchier alnifolia	Amelanchier		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
