gbifID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	occurrenceID	catalogNumber	recordNumber	recordedBy	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	fieldNotes	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	identifiedBy	scientificName
1022634600	BOUM	Herbier BOREAL CONFLUENCE (BOUM)	NA	NA	PRESERVED_SPECIMEN	NA	91.Eri.56	91.Eri.56	NA	Boreal Confluence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	NA	NA	NA	Colombie britanique : Etat	NA	NA	NA	NA	NA	NA	NA	49.4152	-118.033	NA	Arctostaphylos uva-ursi (L.) Spreng.
1003930715	NA	NA	NA	NA	UNKNOWN	NA	JN998943	NA	NA	"K.Johnson, M.Kuzmina"	2009-07-19T00:00Z	NA	NA	NA	2009	7	19	NA	NA	NA	NA	NA	NA	CA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.63	-93.8	Karen Johnson	Arctostaphylos uva-ursi (L.) Spreng.
122901998	FTG	Herbarium	NA	NA	PRESERVED_SPECIMEN	NA	NA	133014	NA	W. Dore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	Ontario	Hastings	NA	"2 Miles south of Marmora, Hastings County"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Arctostaphylos uva-ursi subsp. coactilis (Fern. & J.F. Macbr.) L̦ve, L̦ve & Kapoor"
465877606	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN	NA	23486	ECS022717	4579	"Hanel, C; Blaney, CS"	2002-08-08T00:00Z	NA	NA	NA	2002	8	8	NA	"dry, open, black spruce-dominated forest"	NA	NA	NA	NA	CA	Prince Edward Island	Kings	NA	Greenwich	NA	NA	NA	NA	NA	NA	"on Dierck's property, between NP land at Long Pond and Hwy 313"	46.44833	-62.66556	NA	Arctostaphylos uva-ursi (L.) Spreng.
466033862	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V49286	NA	M. Bryant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	Manitoba	NA	NA	The Pas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
466044617	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V93728	NA	Adam F. Szczawinski	1961-07-24T00:00Z	NA	NA	NA	1961	7	24	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"wheaton creek, Cassiar District"	NA	NA	NA	NA	NA	NA	NA	58	-128	Adam F. Szczawinski	Arctostaphylos uva-ursi (L.) Spreng.
466065799	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V3368	NA	"J.M. Gillett, D.A. Mitchell"	1949-05-19T00:00Z	NA	NA	NA	1949	5	19	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Fort Nelson	NA	NA	NA	NA	NA	NA	NA	58.8	-122.68333	James A. Calder 1949	Arctostaphylos uva-ursi (L.) Spreng.
466071534	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V140030	NA	N. Turner	1971-07-08T00:00Z	NA	NA	NA	1971	7	8	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Queen Charlotte Islands, Graham Island, Yakan point, ca. 13 miles east of Masset"	NA	NA	NA	NA	NA	NA	NA	54.06667	-131.83333	N. Turner 1972	Arctostaphylos uva-ursi (L.) Spreng.
466071551	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V107068	NA	"N. Corfman, S. Freyman"	1964-05-06T00:00Z	NA	NA	NA	1964	5	6	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"berry point, northeast of gabRiola Island"	NA	NA	NA	NA	NA	NA	NA	49	-123	NA	Arctostaphylos uva-ursi (L.) Spreng.
466073252	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V160029	NA	Beirne	1976-05-31T00:00Z	NA	NA	NA	1976	5	31	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"quad. fl., n320 eo"	NA	NA	NA	NA	NA	NA	NA	50.73333	-121.63333	Robert K. Scagel	Arctostaphylos uva-ursi (L.) Spreng.
466077158	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V66454	NA	J.D. Campbell	1947-10-01T00:00Z	NA	NA	NA	1947	10	1	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"silver skagait road, mile 32, hope"	NA	NA	NA	NA	NA	NA	NA	NA	NA	Thomas M.C. Taylor	Arctostaphylos uva-ursi (L.) Spreng.
466084500	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V3357	NA	"W.J. Cody, J.B. Macanse"	1949-06-14T00:00Z	NA	NA	NA	1949	6	14	NA	NA	NA	NA	NA	NA	CA	Northwest Territories	NA	NA	"Yellowknife, latham Island, Mackenzie District"	NA	NA	NA	NA	NA	NA	NA	62.45	-114.36667	W.J. Cody	Arctostaphylos uva-ursi (L.) Spreng.
473524295	Universit̩ de Montr̩al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN	NA	59059	MT00059059	720610-0501	"Durand, Lucette"	1972-06-10T00:00Z	NA	NA	NA	1972	6	10	720610	Dune �� lichens et arbustes	NA	NA	NA	NA	CA	Qu̩bec	Les �_les-de-la-Madeleine (hors MRC)	Les �_les-de-la-Madeleine	"Dune-du-Sud, ̨les de la Madeleine"	NA	NA	NA	NA	NA	NA	NA	47.4203	-61.755	"Durand, Lucette"	Arctostaphylos uva-ursi (L.) Spreng.
473561958	Universit̩ de Montr̩al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN	NA	79243	MT00079243	4416	"Rouleau, Ernest"	1957-09-01T00:00Z	NA	NA	NA	1957	9	1	"Sept. 1, 1957"	Serpentine barrens	NA	NA	NA	NA	CA	Newfoundland	Humber West District	NA	Sandy Desert (near mouth of Rope Cove Canyon)	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Rouleau, Ernest"	Arctostaphylos uva-ursi (L.) Spreng.
473561991	Universit̩ de Montr̩al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN	NA	79263	MT00079263	4406	"Rouleau, Ernest"	1957-08-30T00:00Z	NA	NA	NA	1957	8	30	"Aug. 30, 1957"	Sandy open places near Davis Brook	NA	NA	NA	NA	CA	Newfoundland	Green Bay District	Springdale	Springdale (junction of roads nos. 43 and 57)	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Rouleau, Ernest"	Arctostaphylos uva-ursi (L.) Spreng.
473562636	Universit̩ de Montr̩al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN	NA	7973	MT00007973	911	"Sabourin, Andr̩; Paquette, Denis"	1993-06-12T00:00Z	NA	NA	NA	1993	6	12	12 juin 1993	Rivage calcaire	NA	NA	NA	NA	CA	Qu̩bec	T̩miscamingue	Duhamel-Ouest	"Duhamel-Ouest, �_le Brisseau, sud, rivage"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sabourin, Andr̩; Paquette, Denis"	Arctostaphylos uva-ursi (L.) Spreng.
441693364	UWBM	Plants	NA	NA	PRESERVED_SPECIMEN	NA	NA	120532	NA	A. E. Porsild	1944-06-17T00:00Z	NA	NA	NA	1944	6	17	NA	NA	NA	NA	NA	NA	CA	Yukon Territory	NA	NA	Canol Road: Pelly River Valley; south of Pelly River; Mile 136 - 138.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi subsp. adenotricha (Fernald & J.F.Macbr.) Calder & Roy L.Taylor
441693368	UWBM	Plants	NA	NA	PRESERVED_SPECIMEN	NA	NA	120536	NA	F. Comte	NA	NA	NA	NA	1927	7	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Wapta.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
668767338	Universit̩ Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit̩ Laval	PRESERVED_SPECIMEN	NA	QFA0488560	QFA0488560	Sta.67-69-2	"Grandtner, Miroslav M."	1975-01-01T00:00Z	NA	NA	NA	1975	1	1	1975	Groupement v̩g̩tal: Ruppietum maritimae et Spartinetum alterniflorae - Spartinetosum alterniflorae.	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"�_les-de-la-Madeleine, Cap de l'Est."	NA	0	NA	NA	NA	NA	NA	47.61306	-61.45972	"Bernard, Jean-Paul"	Arctostaphylos uva-ursi var. coactilis Fern. & J.F. Macbr.
668767379	Universit̩ Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit̩ Laval	PRESERVED_SPECIMEN	NA	QFA0590517	QFA0590517	8829	"Rochette, Marguerite-Solange"	1963-08-07T00:00Z	NA	NA	NA	1963	8	7	07 ao��t 1963	Sur le roc	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"Comt̩ Saguenay, pentec̫te"	NA	NA	NA	NA	NA	NA	NA	49.78611	-67.16194	"Rochette, Marguerite-Solange"	Arctostaphylos uva-ursi (L.) Spreng.
686184090	HIBG	HIBG	Harriet Irving Botanical Gardens (HIBG)	Acadia University	LIVING_SPECIMEN	NA	89179	AU10.01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Botanical Garden	NA	NA	NA	NA	CA	Nova Scotia	Kings	Wolfville	Harriett Irving Botanical Garden	NA	36.967 m	NA	NA	NA	NA	NA	45.08637	-64.36795	NA	Arctostaphylos uva-ursi (L.) Spreng.
686184099	HIBG	HIBG	Harriet Irving Botanical Gardens (HIBG)	Acadia University	LIVING_SPECIMEN	NA	89188	AU10.01026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Botanical Garden	NA	NA	NA	NA	CA	Nova Scotia	Kings	Wolfville	Harriett Irving Botanical Garden	NA	36.905 m	NA	NA	NA	NA	NA	45.08637	-64.36794	NA	Arctostaphylos uva-ursi (L.) Spreng.
78352819	CMN	CAN	NA	NA	PRESERVED_SPECIMEN	NA	NA	CAN 434965	NA	"Packer, John G."	1969-06-11T00:00Z	NA	NA	NA	1969	6	11	NA	NA	NA	NA	NA	NA	CA	British Columbia	Cariboo Land Distr.	NA	"Summit Lake, Mile 393 Alaska Highway; elev. 4250 ft."	NA	NA	NA	NA	NA	NA	NA	58.65	-124.633	NA	Arctostaphylos uva-ursi (L.) Spreng.
78353249	CMN	CAN	NA	NA	PRESERVED_SPECIMEN	NA	NA	CAN 89394	NA	"Raup, Hugh M.; Abbe, Ernst C."	1932-07-30T00:00Z	NA	NA	NA	1932	7	30	NA	NA	NA	NA	NA	NA	CA	British Columbia	Peace River Land Distr.	NA	"Peace Riv., Along Wicked R., near the Peace."	NA	NA	NA	NA	NA	NA	NA	56.067	-123.65	NA	Arctostaphylos uva-ursi (L.) Spreng.
1139155272	Naturalis	Botany	NA	NA	PRESERVED_SPECIMEN	NA	http://data.biodiversitydata.nl/naturalis/specimen/L.2603580	L.2603580	NA	Gillett  JM; Mitchell  DA	1949-05-25T00:00Z	NA	NA	NA	1949	5	25	49-05-25	NA	NA	NA	NA	NA	CA	NA	NA	NA	"Yukon Territory, Whitehorse."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
1248718005	Universit̩ Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit̩ Laval	PRESERVED_SPECIMEN	NA	QFA0480486	QFA0480486	73-6101	"Ducruc, Jean-Pierre"	1973-08-30T00:00Z	NA	NA	NA	1973	8	30	30 ao��t 1973	Pin̬de �� pig + Cladonie	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	Lac Attila	NA	NA	NA	NA	NA	NA	NA	53.58333	-77.51667	"Ducruc, Jean-Pierre"	Arctostaphylos uva-ursi var. coactilis Fern. & J.F. Macbr.
1248718025	Universit̩ Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit̩ Laval	PRESERVED_SPECIMEN	NA	QFA0265618	QFA0265618	34065	"Dutilly, Arth̬me; Lepage, Ernest"	1956-08-03T00:00Z	NA	NA	NA	1956	8	3	03 ao��t 1956	Flanc d'une moraine	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"Au sud du 2e lac, au sud de la rivi̬re Fort George"	NA	NA	NA	NA	NA	NA	NA	53.75	-77.86667	"Lepage, Ernest"	Arctostaphylos uva-ursi var. adenotricha Fern. & J.F. Macbr.
