gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1022634600																										91.Eri.56																															2003.23		BOUM	Herbier BOREAL CONFLUENCE (BOUM)			PRESERVED_SPECIMEN				91.Eri.56	91.Eri.56		Boreal Confluence																											BC150505															B47 de fortune sur rochers								CA				Colombie britanique : Etat								49.4152	-118.033																																					2003-01-01T00:00Z												Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							ed6ee121-1b4c-4382-bd4d-2128aa47c202	FR	2016-04-17T13:53Z							COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE	2016-01-26T14:16Z	2016-01-26T14:16Z
122901998																																																											FTG	Herbarium			PRESERVED_SPECIMEN					133014		W. Dore																																														NORTH_AMERICA				CA	Ontario	Hastings		"2 Miles south of Marmora, Hastings County"																																																										"Arctostaphylos uva-ursi subsp. coactilis (Fern. & J.F. Macbr.) Lí_ve, Lí_ve & Kapoor"								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi	coactilis	SUBSPECIES							832cb04e-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:02Z									FALSE	FALSE	6306991	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DIGIR		2013-09-07T09:04Z
465877606									Arctostaphylos uva-ursi (ACAD ECS022717)																	23486									en				2011-08-19T00:00Z			http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?23486				http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms	Acadia University							PhysicalObject			urn:lsid:biocol.org:col:13294	http://dataset.canadensys.net/acad-specimens	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN				23486	ECS022717	4579	"Hanel, C; Blaney, CS"																												2002-08-08T00:00Z				2002	8	8		"dry, open, black spruce-dominated forest"										NORTH_AMERICA				CA	Prince Edward Island	Kings		Greenwich							"on Dierck's property, between NP land at Long Pond and Hwy 313"	46.44833	-62.66556																																																	Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES			ICBN				e8a25a42-f125-476c-8554-3ec21cd51a84	CA	2016-04-17T17:02Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE	2014-06-17T20:56Z	2015-05-13T15:03Z
466033862																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V49286		M. Bryant																																																		CA	Manitoba			The Pas																																																										Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z									FALSE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:18Z
466044617																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V93728		Adam F. Szczawinski																												1961-07-24T00:00Z				1961	7	24																CA	British Columbia			"wheaton creek, Cassiar District"								58	-128																																				Adam F. Szczawinski													Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:18Z
466065799																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V3368		"J.M. Gillett, D.A. Mitchell"																												1949-05-19T00:00Z				1949	5	19																CA	British Columbia			Fort Nelson								58.8	-122.68333																																				James A. Calder 1949													Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:19Z
466071534																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V140030		N. Turner																												1971-07-08T00:00Z				1971	7	8																CA	British Columbia			"Queen Charlotte Islands, Graham Island, Yakan point, ca. 13 miles east of Masset"								54.06667	-131.83333																																				N. Turner 1972													Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:19Z
466071551																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V107068		"N. Corfman, S. Freyman"																												1964-05-06T00:00Z				1964	5	6																CA	British Columbia			"berry point, northeast of gabRiola Island"								49	-123																																																	Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:19Z
466073252																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V160029		Beirne																												1976-05-31T00:00Z				1976	5	31																CA	British Columbia			"quad. fl., n320 eo"								50.73333	-121.63333																																				Robert K. Scagel													Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:19Z
466077158																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V66454		J.D. Campbell																												1947-10-01T00:00Z				1947	10	1																CA	British Columbia			"silver skagait road, mile 32, hope"																																													Thomas M.C. Taylor													Arctostaphylos uva-ursi (L.) Spreng.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos		uva-ursi		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:50Z									FALSE	FALSE	2882580	6	7707728	220	1353	2505	2882486		2882580	Arctostaphylos uva-ursi	Arctostaphylos		DWC_ARCHIVE		2013-09-07T09:19Z
