gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
415890578																										urn:catalog:UConn:CONN:CONN00009458																																2531	UConn	CONN			PRESERVED_SPECIMEN					CONN00009458	5380	J.M. Gillett																						Athyrium filix-femina (L.) Roth						1950-07-19T00:00Z				1950	7	19	19-Jul-50	Shaded area near stream.														CA	Newfoundland	Terra Nova		Goose Bay	Goose Bay																																																									Athyrium filix-femina (L.) Roth							Pteridophyta	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES							5288946d-5fcf-4b53-8fd3-74f4cc6b53fc	US	2016-04-16T00:28Z									FALSE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2015-11-26T13:26Z	2015-11-26T13:26Z
465770552									Athyrium filix-femina (ACAD 55279)																	8980									en				1996-02-27T00:00Z			http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?8980				http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms	Acadia University							PhysicalObject			urn:lsid:biocol.org:col:13294	http://dataset.canadensys.net/acad-specimens	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN				8980	55279	20085	"Smith, EC; Clattenburg, RE"						fertile																						1960-05-08T00:00Z				1960	5	8		woods and clearings; mountain slopes										NORTH_AMERICA				CA	New Brunswick	Northumberland		Mount Carleton								47.378	-66.87591												GeoBase																																					Athyrium filix-femina (L.) Roth								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				e8a25a42-f125-476c-8554-3ec21cd51a84	CA	2016-04-17T17:35Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2014-06-17T20:56Z	2015-05-13T15:03Z
465770553									Athyrium filix-femina (ACAD 59725)																	8981									en				1996-02-15T00:00Z			http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?8981				http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms	Acadia University							PhysicalObject			urn:lsid:biocol.org:col:13294	http://dataset.canadensys.net/acad-specimens	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN				8981	59725	20568	"Willis, AR; Walker, DM; Smith, EC; Campbell, FP; Demone, GR"						fertile																						1962-11-07T00:00Z				1962	11	7		rich hardwoods										NORTH_AMERICA				CA	Nova Scotia	Inverness		Brigend								45.98333	-61.19917												GeoBase																																					Athyrium filix-femina (L.) Roth								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				e8a25a42-f125-476c-8554-3ec21cd51a84	CA	2016-04-17T17:35Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2014-06-17T20:56Z	2015-05-13T15:03Z
473406999									MT00161238																	161238									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				161238	MT00161238	26	"Hamel, Claude; Forget, Suzanne"						vegetative				mounted																		1979-09-29T00:00Z				1979	9	29	29 sept. 1979	nil										NORTH_AMERICA				CA	Quí©bec	Brome-Missisquoi	Saint-Armand	Saint-Armand								46.35	-72.55																																				"Hamel, Claude; Forget, Suzanne"													Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T17:32Z							GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
473431635									MT00173924																	173924									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				173924	MT00173924	24	"Munger, Julie L.; Brice, Marie-Hí©líÂne; Moreau, Maxime"						reproductive/budding				mounted																		2011-07-05T00:00Z				2011	7	5	11-07-05	Betulaie íæ bouleau íæ papier avec Acer spicatum et Alnus rugosa										NORTH_AMERICA				CA	Quí©bec	Abitibi	Amos	Amos								48.5719	-78.1158	5000								"Lemenu, Jacqueline"	15-06-08		Google Map ou Google Earth																								"Charrier, Matthieu"	2011-10-01T00:00Z												Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T17:32Z									TRUE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
473515358									MT00055368																	55368									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				55368	MT00055368	sn	"Gaboriault, Victor, Fr."						fruiting				mounted					f-136													1940-09-01T00:00Z				1940	9	1	sept. 1940	Bois humide										NORTH_AMERICA				CA	Quí©bec	Vaudreuil-Soulanges	Rigaud	Rigaud																																													"Hay, Stuart G."	1999-06-01T00:00Z												Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T17:32Z									FALSE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
473554459									MT00071897																	71897									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2016-02-16T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				71897	MT00071897	sn	"Larin, Claire"						vegetative				mounted																		1933-06-15T00:00Z				1933	6	15	Juin 1933	Bois										NORTH_AMERICA				CA	Quí©bec	Montrí©al (hors MRC)	Montrí©al	"Montrí©al, Mont-Royal"																																													"Malo, Marie"	2008-01-01T00:00Z												Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T17:32Z									FALSE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
473556530									MT00073483																	73483									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				73483	MT00073483	7682	"Rouleau, Ernest"										mounted																		1962-06-30T00:00Z				1962	6	30	30-Jun-62	Coniferous woods										NORTH_AMERICA				CA	Newfoundland	Grand Falls District		Aspen Brook																																													"Rouleau, Ernest"													Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T17:32Z									FALSE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
668805722									Athyrium filix-femina (L.) Roth ex Mertens (QFA0445281)																	QFA0445281									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0445281	QFA0445281	133-A	"Chiricota, Nicolas"										mounted																		1968-10-01T00:00Z				1968	10	1	octobre 1968	ForíÈt														CA	Quí©bec			Val-Jalbert; chutes																																													"Chiricota, Nicolas"													Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:41Z									FALSE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
668805761									Athyrium filix-femina (L.) Roth ex Mertens (QFA0283523)																	QFA0283523									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0283523	QFA0283523	s.n.	"Louis-Marie, píÂre; Van den Hende, Roger"										mounted																		1962-07-10T00:00Z				1962	7	10	10 juillet 1962															CA	Quí©bec			Comtí© d'Argenteuil; Calumet																																													"Louis-Marie, píÂre ; Van den Hende, Roger"													Athyrium filix-femina (L.) Roth	Athyrium filix-femina (Linnaeus) Roth ex Mertens							Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Athyrium		filix-femina		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:41Z									FALSE	FALSE	5275044	6	7707728	7228684	392	4922264	2650888		5275044	Athyrium filix-femina	Athyrium		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
