gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466099553																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V168442		Gordon Wright																												1977-06-03T00:00Z				1977	6	3																CA	British Columbia			"Central Okanagan Regional District, East Kelowna"								49.88333	-119.5																																				Katherine I. Beamish													Ceanothus velutinus var. velutinus								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus	velutinus	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6371112	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE		2013-09-07T09:19Z
466307091																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V226338		Satoru Kojima																												1970-06-14T00:00Z				1970	6	14																CA	British Columbia			South Kelowna								49.75	-119.5																																				Satoru Kojima													Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE		2013-09-07T09:19Z
332907512																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 80085		"Macoun, John"																												1875-06-21T00:00Z				1875	6	21												NORTH_AMERICA				CA	British Columbia			Stewarts Lake Mountain (Stuart Lake)								54.6	-124.75																																																	Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T17:14Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DIGIR		2013-09-07T09:11Z
918962357									Ceanothus velutinus (UBC V67513)																	158579									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-08-22T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=201828&ass_num=V67513					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				158579	V67513	532	Marc Bell; John Davidson										mounted						corolla white						Ceanothus velutinus by John W. Eastham 1957						1957-07-24T00:00Z				1957	7	24	1957 Jul 24	talus slope														CA	British Columbia			"Flathead, Commerce Mt. [Commerce Peak]"		5200 ft						49.15	-113.6																																				John W. Eastham	1957-01-01T00:00Z												Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
1054801669									Ceanothus velutinus subsp. hookeri (UBC V239039)																	171440									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-11-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=216846&ass_num=V239039					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				171440	V239039	313	E.R. Manton; Jamie D. Fenneman										mounted						Voucher specimen for E.R. Fenneman's PhD thesis: DNA barcoding the vascular plants of southern British Columbia (Project code VPSBC on boldsystems.org)						Ceanothus velutinus subsp. hookeri by E.R. Fenneman 2013						2013-04-17T00:00Z				2013	4	17	2013 Apr 17															CA	British Columbia			"Vancouver Island, Nanaimo Regional District, Past Qualicum Beach on the northbound Inland Island Highway (#19)"		97 m												WGS84																															E.R. Fenneman	2013-01-01T00:00Z												Ceanothus velutinus subsp. hookeri C.L.Schmidt								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus	hookeri	SUBSPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							COORDINATE_INVALID	STILLIMAGE	FALSE	FALSE	6449233	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
466096615																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V190076		John N.A. Lott																												1964-05-28T00:00Z				1964	5	28																CA	British Columbia			"Central Okanagan Regional District, Kelowna, McLoughlin Place"								49.88333	-119.48333																																				Gerald B. Straley 1985													Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE		2013-09-07T09:19Z
466102370																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V167886		"Vladimir J. Krajina, V. Bednar"																												1968-08-31T00:00Z				1968	8	31																CA	British Columbia			on the hills near vaseaux lake								49.25	-119.75																																				Vladimir J. Krajina													Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE		2013-09-07T09:19Z
918840008									Ceanothus velutinus (UBC V175484)																	34688									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-07-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=36923&ass_num=V175484					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				34688	V175484	10	Charles E. Beil										mounted												"Ceanothus sanguineus by Charles E. Beil 1972; Ceanothus velutinus Det. Nancy Craft Coile 1988, University of Georgia, Athens, GA; Ceanothus velutinus Con. Dylan O. Burge 2013"						1972-06-11T00:00Z				1972	6	11	1972 Jun 11	"ponderosa pine slope, southern exposure"														CA	British Columbia			peachland to Merritt road on the okanogan side of the highlands		1067 m						49.78333	-119.86667					unknown																															Dylan O. Burge	2013-01-01T00:00Z												Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918840015									Ceanothus velutinus (UBC V175493)																	34689									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-07-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=36924&ass_num=V175493					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				34689	V175493	21	Charles E. Beil										mounted												"Ceanothus sanguineus by Charles E. Beil 1972; Ceanothus velutinus Det. Nancy Craft Coile 1988, University of Georgia, Athens, GA; Ceanothus velutinus Con. Dylan O. Burge 2013"						1972-06-18T00:00Z				1972	6	18	1972 Jun 18	"on slopes,in p.p. forest"														CA	British Columbia			above anderson lake		671 m																																											Dylan O. Burge	2013-01-01T00:00Z												Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z									FALSE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
441720669																																																											UWBM	Plants			PRESERVED_SPECIMEN					109727		J. William Thompson																												1938-06-20T00:00Z				1938	6	20																CA	British Columbia			"Near Lake Bootahnie, Marble Mountains."																																																										Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:14Z	1524	0							FALSE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DIGIR	2014-10-07T14:56Z	2014-10-07T14:56Z
466101997																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V170595		Trevor Goward																												1979-07-25T00:00Z				1979	7	25																CA	British Columbia			"white horse bluffs area, southern Wells Gray Park"								51	-120																																				Trevor Goward													Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE		2013-09-07T09:19Z
1054802177									Ceanothus velutinus (UBC V239215)																	172114									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-01-30T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=217754&ass_num=V239215					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				172114	V239215												mounted												"; Ceanothus velutinus Con. Dylan O. Burge 2013, University of British Columbia Herbarium"																												CA	British Columbia																																																													Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z									FALSE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
332907513																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 80086		"Macoun, John"																												1875-06-21T00:00Z				1875	6	21												NORTH_AMERICA				CA	British Columbia			Stewarts Lake Mountain (Stuart Lake)								54.6	-124.75																																																	Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T17:14Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DIGIR		2013-09-07T09:11Z
1137679589																										L.2323076																																	Naturalis	Botany			PRESERVED_SPECIMEN				http://data.biodiversitydata.nl/naturalis/specimen/L.2323076	L.2323076		Voogd  CNA de																												1962-07-05T00:00Z				1962	7	5	62-07-05															CA	British Columbia			"West Canada, Br. Columbia, Okanagan"																																																										Ceanothus velutinus Dougl.							Plantae|Magnoliopsida|Rosales|Rhamnaceae	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES	species		ICN				15f819bd-6612-4447-854b-14d12ee1022d	NL	2016-04-17T15:56Z									FALSE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-02T02:22Z	2016-05-25T22:18Z
1054802186									Ceanothus velutinus (UBC V239214 )																	172115									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-01-30T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=217755&ass_num=V239214					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				172115	V239214												mounted												"; Ceanothus velutinus Det. Nancy Craft Coile 1988, University of Georgia, Athens, GA; Ceanothus velutinus Con. Dylaln O. Burge 2013, University of British Columbia Herbarium"																												CA	British Columbia																																																													Ceanothus velutinus Dougl.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ceanothus		velutinus		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:31Z									FALSE	FALSE	7723763	6	7707728	220	691	2407	3039297		3039312	Ceanothus velutinus	Ceanothus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
