gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
351839555																										UPS:BOT:V-149791													2015-08-05T00:00Z																				UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:V-149791	V-149791		Hugo SjÌ_rs																											Q 14	1966-07-31T00:00Z				1966	7	31		Sparsely wooded mire										NORTH_AMERICA				CA	British Columbia			"Queen Charlotte Islands, Graham Island, SE"																																													"Porsild, Alf Erling"													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2016-04-16T00:25Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE	2016-01-05T12:00Z	2016-01-05T11:49Z
465877835									Cornus canadensis (ACAD ECS022958)																	23746									en				2011-08-22T00:00Z			http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?23746				http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms	Acadia University							PhysicalObject			urn:lsid:biocol.org:col:13294	http://dataset.canadensys.net/acad-specimens	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN				23746	ECS022958	1750	"Myles, BC"																												2006-07-01T00:00Z				2006	7	1		"semi-dry bog; Sphagnum fuscum, Corema conradii, reindeer lichen and cloudberry dominated"										NORTH_AMERICA				CA	New Brunswick	Charlotte		Roosevelt Campobello International Park							Abrahams Plains	44.85479	-66.9506												GeoBase																																					Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES			ICBN				e8a25a42-f125-476c-8554-3ec21cd51a84	CA	2016-04-17T17:01Z							COORDINATE_ROUNDED;COUNTRY_COORDINATE_MISMATCH;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	TRUE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE	2014-06-17T20:56Z	2015-05-13T15:03Z
465915758									Cornus canadensis (ACAD 40292)																	55889									en				2010-07-23T00:00Z			http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?55889				http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms	Acadia University							PhysicalObject			urn:lsid:biocol.org:col:13294	http://dataset.canadensys.net/acad-specimens	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN				55889	40292		"Erskine, JS"																												1955-08-25T00:00Z				1955	8	25		rocky bank by river										NORTH_AMERICA				CA	Nova Scotia	Guysborough		Liscomb								45.02627	-62.00481												Nova Scotia Geomatics Centre																																					Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES			ICBN				e8a25a42-f125-476c-8554-3ec21cd51a84	CA	2016-04-17T17:01Z							GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE	2014-06-17T20:57Z	2015-05-13T15:04Z
466188080																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V181307		C.E. Garton																												1983-08-11T00:00Z				1983	8	11																CA	Ontario			"Thunder Bay, windigokan l. rd at nordic l., 4 km north of h 1, irwin township"								49.68333	-87.8																																				C.E. Garton													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466189710																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V174573		C.E. Garton																												1981-08-18T00:00Z				1981	8	18																CA	Ontario			"Thunder Bay District, nw. corner of burchell l. adjacent to beach area."								48.6	-90.61667																																				C.E. Garton 1981													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466240928																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V47488		M.F. Jackson																																1950																		CA	British Columbia			Taylor lake(tlameen river)																																													M.F. Jackson													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273342																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V71901		E.H. Moss																												1939-06-11T00:00Z				1939	6	11																CA	Alberta			"pyramid lake, Jasper"																																													Zack Murrell 1989													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273402																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V50523		"J. Bryant, M. Bryant"																												1953-07-19T00:00Z				1953	7	19																CA	Manitoba			near the highway not far from The Pas																																													Zack Murrell 1989													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273466																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V13331		"Katherine I. Beamish, David Krause, Jake P. Luitjens"																												1968-07-14T00:00Z				1968	7	14																CA	British Columbia			"Haines Road, stonehouse creek"																																													Zack Murrell 1989													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273483																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V144964		"Katherine I. Beamish, L. Keith Wade, Jim Pojar"																												1973-07-06T00:00Z				1973	7	6																CA	Yukon Territory			Junction of Stewart-Watson Lake road and Alaska Highway																																													"Katherine I. Beamish, K. Wade, J. Pojar"													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273570																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V160579		Richard M. Annas																												1970-06-12T00:00Z				1970	6	12																CA	British Columbia			near mile 312 of Alaska Highway																																													Zack Murrell 1989													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;COORDINATE_OUT_OF_RANGE		FALSE	TRUE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273653																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V56489		"Thomas M.C. Taylor, Adam F. Szczawinski, Marc Bell"																												1956-06-19T00:00Z				1956	6	19																CA	British Columbia			"south troutline creek, Cassiar"																																													Zack Murrell 1989													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466273719																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V62532		W.C. McCalla																												1949-07-08T00:00Z				1949	7	8																CA	Alberta			"Fish Creek, a couple of miles west of Midnapore"																																													Zack Murrell 1989													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466285157																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V220675		"Eric Lamb, Sarah Martz"																												2002-06-15T00:00Z				2002	6	15																CA	British Columbia			Breach at Hoop Bay								51.21333	-127.77333																																				Eric Lamb													Cornus canadensis L.								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
473307696									MT00127342																	127342									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-12-04T00:00Z								UniversitÌ© de MontrÌ©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	UniversitÌ© de MontrÌ©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				127342	MT00127342	55	"Rich, Sylvester; Katshinak, William; ClÌ©ment, Daniel"						fruiting				mounted																		1998-09-13T00:00Z				1998	9	13	13 sept. 1998	"cÌ«te maritime, pente, terrain sphaigneux"										NORTH_AMERICA				CA	Labrador			Sango Bay													UTM	unknown																															"Rich; Sylvester; Katshinak, William; ClÌ©ment, Daniel"													Cornus canadensis L.	Cornus canadensis Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:31Z							COORDINATE_OUT_OF_RANGE		FALSE	TRUE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
473328545									MT00013655																	13655									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								UniversitÌ© de MontrÌ©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	UniversitÌ© de MontrÌ©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				13655	MT00013655	PF 00-157	"Gamache, Lisane"										mounted																		2000-09-13T00:00Z				2000	9	13	13 sept. 2000	Marais dominÌ© par Scirpus sp. et Carex sp.										NORTH_AMERICA				CA	QuÌ©bec	Le Granit		"Parc de Frontenac, lac ÌÊ la Barbue, baie ÌÊ l'O de l'Ì¨le de l'ancien chalet Leblond"		997 ft												NAD27																															"Gamache, Lisane"													Cornus canadensis L.	Cornus canadensis Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		canadensis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:31Z	303.89						COORDINATE_INVALID		FALSE	FALSE	3082270	6	7707728	220	949	6713	3082226		3082270	Cornus canadensis	Cornus		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
