gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
918847206									Cornus nuttallii (UBC V11986)																	42016									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-01-23T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=44301&ass_num=V11986					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				42016	V11986	s.n.	Albert J. Hill										mounted												Cornus nuttallii by Albert J. Hill 1895						1895-05-01T00:00Z				1895	5	1	1895 May															CA	British Columbia			"Greater Vancouver Regional District, New Westminster"								49.2	-121.1									Ivy Miyasato	2014		Ministry of Natural Resource Operations - BC Geographical Names																								Albert J. Hill	1895-01-01T00:00Z												Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
466109379																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V11986		Albert J. Hill																																1895																		CA	British Columbia			"Greater Vancouver Regional District, New Westminster"								49.21667	-122.91667																																																	Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
466109322																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V11987		Albert J. Hill																												1898-06-01T00:00Z				1898	6	1																CA	British Columbia			"Greater Vancouver Regional District, New Westminster"								49.21667	-122.91667																																																	Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
918847194									Cornus nuttallii (UBC V11987)																	41993									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-01-23T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=44278&ass_num=V11987					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				41993	V11987	s.n.	Albert J. Hill										mounted												Cornus nuttalli by Albert J. Hill 1898						1898-06-01T00:00Z				1898	6	1	1898 Jun 01															CA	British Columbia			"Greater Vancouver Regional District, New Westminster"								49.2	-121.1									Ivy Miyasato	2014		Ministry of Natural Resource Operations - BC Geographical Names																								Albert J. Hill	1898-01-01T00:00Z												Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918848062									Cornus nuttallii (UBC V11974)																	42849									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-01-23T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=45139&ass_num=V11974					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				42849	V11974	s.n.	Anonymous										mounted												Cornus nuttallii by Anonymous						1911-05-08T00:00Z				1911	5	8	1911 May 08															CA	British Columbia			Vancouver								49.25	-122.9									Ivy Miyasato	2014		Ministry of Natural Resource Operations - BC Geographical Names																								Anonymous													Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
466111029																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V11974		Anonymous																												1911-05-08T00:00Z				1911	5	8																CA	British Columbia			Vancouver								49	-123																																																	Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
918847812									Cornus nuttallii (UBC V11975)																	42600									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-01-23T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=44890&ass_num=V11975					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				42600	V11975	s.n.	Anonymous										mounted												Cornus nuttallii by Anonymous						1912-07-28T00:00Z				1912	7	28	1912 Jul 28															CA	British Columbia			"Vancouver, North Slope, Caulfield Landing"								49.25	-122.9									Ivy Miyasato	2014		Ministry of Natural Resource Operations - BC Geographical Names																								Anonymous													Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
466110534																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V11975		Anonymous																												1912-07-28T00:00Z				1912	7	28																CA	British Columbia			"Caulfeild landing, north slope, Vancouver"																																																										Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z									FALSE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
918859429									Cornus nuttallii (UBC V11981)																	54284									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-19T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=56660&ass_num=V11981					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				54284	V11981	s.n.	John Davidson										mounted												Cornus nuttallii by John Davidson 1913						1913-10-29T00:00Z				1913	10	29	1913 Oct 29	sandy soil														CA	British Columbia			"Coast area, Kerrisdale"		50 ft						49.21638216	-122.8509898																																				John Davidson	1913-01-01T00:00Z												Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
466134096																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V11981		John Davidson																												1913-10-29T00:00Z				1913	10	29																CA	British Columbia			"Coast area, Kerrisdale"								49.21667	-123.15																																				John Davidson													Cornus nuttallii Audubon ex Torr. & A.Gray								Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		nuttallii		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	8288790	6	7707728	220	949	6713	3082226		3082236	Cornus nuttallii	Cornus		DWC_ARCHIVE		2013-09-07T09:19Z
