gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1227774494																										365175										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-03T01:40Z			http://www.inaturalist.org/observations/365175				Â© mrjames some rights reserved	mrjames												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/365175	365175		mrjames																												2013-08-09T00:00Z				2013	8	9	13-08-09															US					"Cape disappointment, washington"							46.29782	-124.06796																																									48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z	TRUE
1052583669																										1106012										http://creativecommons.org/licenses/by-nc/4.0/			2014-12-02T15:23Z			http://www.inaturalist.org/observations/1106012				Â© lorichicken some rights reserved	lorichicken												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1106012	1106012		lorichicken																												2014-11-19T00:00Z				2014	11	19	14-11-19															US					White Center Heights Park							47.52965	-122.31433	203																																1984784				2014-12-01T17:55Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T13:57Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:28Z	2016-06-06T13:28Z	TRUE
1269556489																										3165523										http://creativecommons.org/licenses/by-nc/4.0/			2016-05-13T23:46Z			http://www.inaturalist.org/observations/3165523				Â© Kathleen Sayce some rights reserved	Kathleen Sayce												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/3165523	3165523		Kathleen Sayce																												2016-05-10T00:00Z				2016	5	10	16-05-10															US					"Sandridge Rd, Pacific Co, WA"							46.43463	-124.02282	13143																																6114446				2016-05-13T18:22Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:46Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z	TRUE
1088916180																										1286447										http://creativecommons.org/licenses/by-nc/4.0/			2015-05-01T02:05Z			http://www.inaturalist.org/observations/1286447				Â© BJ Stacey some rights reserved	BJ Stacey												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1286447	1286447		BJ Stacey																"Humboldt County, California, US"												2015-02-15T22:41Z	21:41:22Z			2015	2	15	15-02-15 13:41															US					Trinidad Rest Area 101 (south)							41.09104	-124.15126	73																																2696469				2015-04-29T14:34Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-04-17T17:02Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-03-18T04:59Z	2016-06-06T13:29Z	TRUE
1065572723																										64390										http://creativecommons.org/licenses/by/4.0/			2015-02-16T09:05Z			http://www.inaturalist.org/observations/64390				Â© twitwer some rights reserved	twitwer												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/64390	64390		twitwer																"Found in the understory amongst ivy, holly, and oregon grape. Pine, maple, and cedar trees rose above with Heron's nests in the trees"												2012-03-29T00:00Z				2012	3	29	12-03-29															US					"University of Washington, Seattle Campus"							47.65262	-122.30776																																	92908				2012-04-11T18:50Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-04-17T17:02Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-03-18T05:10Z	2016-06-06T13:32Z	TRUE
1065584224																										1123370										http://creativecommons.org/licenses/by-nc/4.0/			2015-01-23T22:00Z			http://www.inaturalist.org/observations/1123370				Â© aelefson some rights reserved	aelefson												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1123370	1123370		aelefson																												2014-10-21T00:00Z				2014	10	21	14-10-21															US					"Pioneer Park, Mercer Island"							47.53985	-122.21934																																	2021632				2014-12-09T23:24Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T13:57Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	TRUE
1065584247																										1124437										http://creativecommons.org/licenses/by-nc/4.0/			2015-02-15T04:23Z			http://www.inaturalist.org/observations/1124437				Â© megmats some rights reserved	megmats												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1124437	1124437		megmats																Shrub plant. Alternate dark green round leaves.												2014-10-01T00:00Z				2014	10	1	14-10-01															US					Westcrest Park							47.52151	-122.34334	89																																2023805				2014-12-10T09:13Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T13:57Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	TRUE
1065584258																										1124971										http://creativecommons.org/licenses/by-nc/4.0/			2015-02-15T04:22Z			http://www.inaturalist.org/observations/1124971				Â© gabrielg some rights reserved	gabrielg												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1124971	1124971		gabrielg																Small leave of Salal plant												2014-10-15T00:00Z				2014	10	15	14-10-15															US					Discovery Park Seattle							47.6613	-122.41781	1785																																2024930				2014-12-10T21:21Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T13:57Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	TRUE
1038288462																										726097										http://creativecommons.org/licenses/by-nc/4.0/			2014-10-23T04:26Z			http://www.inaturalist.org/observations/726097				Â© Mary Navarro some rights reserved	Mary Navarro												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/726097	726097		Mary Navarro																												2014-06-08T00:00Z				2014	6	8	14-06-08															US					Ravenna Park 							47.67246	-122.30804	685																																1273462				2014-06-09T02:44Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:57Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z	TRUE
1038288488																										730764										http://creativecommons.org/licenses/by-nc/4.0/			2014-10-23T04:20Z			http://www.inaturalist.org/observations/730764				Â© kricket some rights reserved	kricket												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/730764	730764		kricket																Reatoration area in cowen park												2014-06-04T01:01Z	23:01:39Z			2014	6	4	2014-06-03 4:01:39 PM PDT															US												47.67325	-122.31219	10																																1281553				2014-06-11T07:02Z				48441								Gaultheria shallon Pursh								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		shallon		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:57Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2882758	6	7707728	220	1353	2505	2882751		2882758	Gaultheria shallon	Gaultheria		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z	TRUE
