gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
923912047																										561383										http://creativecommons.org/licenses/by-nc/4.0/			2014-11-08T23:24Z			http://www.inaturalist.org/observations/561383				Â© C. L. Van Eysinga some rights reserved	C. L. Van Eysinga												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/561383	561383		C. L. Van Eysinga																												2008-07-17T00:00Z				2008	7	17	08-07-17															CA					Chilliwack Lake Provincial Park							49.08858	-121.45244																																	986849				2014-03-10T20:29Z				77780								Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:54Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1038709028																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					-1898317986		539637721																												2014-07-11T00:00Z				2014	7	11																CA				Mt. Haldane								63.8617	-135.84045	250																																																Linnaea borealis subsp. americana (Forbes) HultÃƒÂ©n ex R.T. Clausen								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis	americana	SUBSPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T16:05Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3857172	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		BIOCASE	2014-11-15T02:12Z	2015-08-12T06:28Z
1038709812																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					1638711155		539637721																												2014-07-07T00:00Z				2014	7	7																CA				Fox Lake (Yukon) und Umgebung								61.26495	-135.49988	250																																																Linnaea borealis subsp. americana (Forbes) HultÃƒÂ©n ex R.T. Clausen								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis	americana	SUBSPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T16:05Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3857172	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		BIOCASE	2014-11-15T02:13Z	2015-08-12T06:40Z
1229922358																										1970499										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-19T02:31Z			http://www.inaturalist.org/observations/1970499				Â© marek some rights reserved	marek												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1970499	1970499		marek																												2015-06-27T00:00Z				2015	6	27	15-06-27															CA					"Athabasca Falls, Alberta, Canada"							52.6646	-117.88361	175																																3760372				2015-09-22T00:39Z				77780								Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:10Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1227776384																										847900										http://creativecommons.org/licenses/by-nc/4.0/			2015-12-11T19:33Z			http://www.inaturalist.org/observations/847900				Â© Marlies Schoenefeld some rights reserved	Marlies Schoenefeld												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/847900	847900		Marlies Schoenefeld																												1997-09-15T00:00Z				1997	9	15	97-09-15															CA					"Freeland Lake, Killarney Provincial Park, Ontario"							46.03892	-81.36784	1031																																1501441				2014-08-25T19:51Z				77780								Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T15:00Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1132401721																										1531725										http://creativecommons.org/licenses/by-nc/4.0/			2016-03-15T19:09Z			http://www.inaturalist.org/observations/1531725				Â© jakerburton some rights reserved	jakerburton												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1531725	1531725		jakerburton																												2015-05-23T20:52Z	18:52:41Z			2015	5	23	Sat May 23 2015 11:52:41 GMT-0700 (PDT)															CA					"557â€“579 Belmont Rd, Colwood, BC, CA"							48.43491	-123.45768	5																																2878159				2015-05-23T19:06Z				77780								Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:03Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z
922211016																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					-772563333		304941																												2010-08-28T00:00Z				2010	8	28																CA				K.J.'s Blockhaus und Umgebung								43.75944	-64.96812	250																																																Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T16:05Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		BIOCASE	2014-11-15T02:10Z	2016-03-24T23:41Z
922218849																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					-1380155436		304941																												2010-08-28T00:00Z				2010	8	28																CA				Jones Harbour								43.75113	-64.97298	250																																																Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T16:05Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		BIOCASE	2014-11-15T02:12Z	2016-03-24T23:57Z
1265534320																										1957057										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-16T03:55Z			http://www.inaturalist.org/observations/1957057				Â© eagleloft some rights reserved	eagleloft												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/1957057	1957057		eagleloft																												2015-09-13T21:18Z	19:18:41Z			2015	9	13	Sun Sep 13 2015 12:18:41 GMT-0700 (PDT)															CA					"John Dean Park, Saanichton, BC, CA"							48.6123	-123.4489																																	3732088				2015-09-18T06:05Z				77780								Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:10Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1122959610																										1739148										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-30T18:58Z			http://www.inaturalist.org/observations/1739148				Â© alicia penney some rights reserved	alicia penney												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/1739148	1739148		alicia penney																												2015-07-09T18:46Z	16:46:22Z			2015	7	9	2015-07-09 1:46:22 PM ADT															CA					"johnson lake, ns"							46.1687	-60.31968	6																																3263957				2015-07-10T18:24Z				77780								Linnaea borealis L.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Linnaeaceae	Linnaea		borealis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:06Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5334220	6	7707728	220	946	4159311	2888574		5334220	Linnaea borealis	Linnaea		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z
