gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466186279																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V166281		Bryan R. Foster																												1977-08-06T00:00Z				1977	8	6																CA	British Columbia			maroon Mt.								54.8	-128.68333																																				C. Selby													Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE		2013-09-07T09:19Z
466276226																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V218446		Carol Latimer																												1998-07-17T00:00Z				1998	7	17																CA	British Columbia			"Stikine Regional District, Atlin Provincial Park, Teresa Island, Birch Mountain, south cirque"								59.43333	-133.81667																																																	Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE		2013-09-07T09:19Z
441779759																																																											UWBM	Plants			PRESERVED_SPECIMEN					95154		J. A. Calder																												1954-08-17T00:00Z				1954	8	17																CA	British Columbia			Near Sylvan mine; Hudson Bay Mountain about 9 miles west of Smithers.																																																										Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:15Z	1615.5	30.5							FALSE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DIGIR	2014-10-07T15:51Z	2014-10-07T15:51Z
239091109																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 68830		"Clarke, Charles H.D."																												1944-07-17T00:00Z				1944	7	17												NORTH_AMERICA				CA	British Columbia	Cassiar Land Distr.		Near mile 85.								59.917	-136.85																																																	Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T17:15Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DIGIR	2014-05-29T12:43Z	2014-10-06T17:47Z
918933353									Luetkea pectinata (UBC V220104)																	129351									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=132714&ass_num=V220104					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				129351	V220104	45	Volker Michelfelder										mounted																		2003-07-17T00:00Z				2003	7	17	2003 Jul 17	"Close to roadside, edge of subalpine meadow. Associated species: Epilobium latifolium, Phyllodoce empetriformis."														CA	British Columbia			"Bella Coola, logging road to Camp Two, 17 km point"								52.38333	-126.75					unknown																																												Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918962584									Luetkea pectinata (UBC V80441)																	158819									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-07T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=202068&ass_num=V80441					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				158819	V80441	s.n.	John Davidson										mounted												Eriogynia pectinata by John Davidson 1912; Luetkea pectinata Det. Katherine I. Beamish 1959; ! Thomas M.C. Taylor 1967						1912-08-12T00:00Z				1912	8	12	1912 Aug 12															CA	British Columbia			"Coast area, Garibaldi, Black Tusk"		6500 ft						49.96667	-122.96667																																				John Davidson	1912-01-01T00:00Z												Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918966873									Luetkea pectinata (UBC V237877)																	165599									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-08-19T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=209009&ass_num=V237877					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				165599	V237877	1085	E.R. Manton; K. McGrath										mounted						Petals white						Luetkea pectinata by E.R. Manton 2012						2011-08-16T00:00Z				2011	8	16	2011 Aug 16															CA	British Columbia			"Okanagan-Similkameen Regional District, Manning Provincial Park, Sub-Alpine Meadows Loop"		2006 m												WGS84																															E.R. Manton	2012-01-01T00:00Z												Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_INVALID	STILLIMAGE	FALSE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
441779821																																																											UWBM	Plants			PRESERVED_SPECIMEN					95812		T. T. McCabe																												1937-09-28T00:00Z				1937	9	28																CA	British Columbia			Mount Revelstoke.																																																										Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:15Z	1921	0							FALSE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DIGIR	2014-10-07T15:51Z	2014-10-07T15:51Z
466231380																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V180206		Ian Sharpe																																1980																		CA	British Columbia			Lower Stein valley																																													Katherine I. Beamish													Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z									FALSE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE		2013-09-07T09:19Z
466177371																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V177392		Wynne Gorman																												1980-08-16T00:00Z				1980	8	16																CA	British Columbia			south of Iskut								57	-130																																																	Luetkea pectinata (Pursh) Kuntze								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriogynia		pectinata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3002138	6	7707728	220	691	5015	7921166		3024759	Eriogynia pectinata	Luetkea		DWC_ARCHIVE		2013-09-07T09:19Z
