gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1095043412																										urn:catalog:O:V:2166190													2015-05-19T00:00Z																				O	V			PRESERVED_SPECIMEN				urn:catalog:O:V:2166190	2166190		Finn Roll-Hansen																												1950-09-12T00:00Z				1950	9	12																CA	British Columbia			B. C. 60 km N from Revelstoke																																													Finn Roll-Hansen	1950-09-12T00:00Z												"Pachystima myrsinites ""Rafin."""															myrsinites		SPECIES							e45c7d91-81c6-4455-86e3-2965a5739b1f	NO	2016-04-15T23:07Z									FALSE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-02-04T13:03Z	2016-05-23T14:29Z
883390627									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 24051)																	urn:catalog:ALTA-VP:24051									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85788					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:24051	24051	354	"Cormack, R. G. H."										dried and pressed				Spruce.														1955-08-10T00:00Z				1955	8	10	55-08-10	wooded									North America | Canada | Alberta	NORTH_AMERICA				CA	Alberta				"Virgin spruce woods. Head of West Castle River, ca. 20 mi. S. of Blairmore, Crowsnest Forest Reserve."					Canadian Geographical Names Data Base																																																				"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									FALSE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
894985789																										2985									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Herbarium University of Lethbridge										urn:lsid:biocol.org:col:14547		University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				2985	urn:lsid:biocol.org:col:14547		"331 Walter Blais, John Nagy"																												1969-05-21T00:00Z				1969	5	21		Populus tremuloides						"shrub, 1'"								CA	Alberta			"Crandell & Akamina Junction, S.E. Slope"		5500						49.08333	-113.96667																																																	"Pachystima myrsinites ""Rafin."""															myrsinites		SPECIES							5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2016-04-16T00:21Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-02-11T16:57Z	2016-02-15T16:26Z
883390651									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 61507)																	urn:catalog:ALTA-VP:61507									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85802					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:61507	61507	9421	"McCalla, William C."										dried and pressed				[Deep] woods		Flowers deep red.												1947-05-11T00:00Z				1947	5	11	47-05-11	wooded; bank									North America | Canada | British Columbia	NORTH_AMERICA				CA	British Columbia			Gray Creek	"Woods, threaded by streamlets, on the Lymbery Ranch, Gray Creek, B.C. (West side of Kootenay Lake)"					Canadian Geographical Names Data Base																																																				"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									FALSE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
883390634									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 12544)																	urn:catalog:ALTA-VP:12544									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85790					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:12544	12544	464	Botany Survey										dried and pressed				Pine woods.														1939-08-24T00:00Z				1939	8	24	39-08-24	understory; coniferous; wooded; mountain; slope (s)									North America | Canada | Alberta	NORTH_AMERICA				CA	Alberta	Waterton Lakes National Park			Pine woods.  Mountain slope.  Waterton Lakes National Park.					Canadian Geographical Names Data Base																																																				"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									FALSE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
883391049									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 61503)																	urn:catalog:ALTA-VP:61503									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85800					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:61503	61503	4058	"Macoun, J."										dried and pressed																		1889-05-05T00:00Z				1889	5	5	1889-05-05										North America | Canada | British Columbia	NORTH_AMERICA				CA	British Columbia			Revelstoke	Revelstoke					Canadian Geographical Names Data Base																																																				"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									FALSE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
894985765																										2984									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Herbarium University of Lethbridge										urn:lsid:biocol.org:col:14547		University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				2984	urn:lsid:biocol.org:col:14547		35 Andy A. Cross																												1998-05-10T00:00Z				1998	5	10		Forested area with small clearings						"Found with grasses, fir trees, and pine trees"								CA	British Columbia			"Oregon Boxwood, Kitchener, BC, 18 km East of Creston, BC"								49.16667	-116.33333																																																	"Pachystima myrsinites ""Rafin."""															myrsinites		SPECIES							5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2016-04-16T00:21Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-02-11T16:57Z	2016-02-15T16:26Z
883390958									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 43695)																	urn:catalog:ALTA-VP:43695									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85797					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:43695	43695	15070	"Scoggan, Homer J."										dried and pressed																		1964-06-26T00:00Z				1964	6	26	64-06-26	cliff; talus; slope (s)									North America | Canada | British Columbia	NORTH_AMERICA				CA	British Columbia			Princeton	Okanagan Range between Princeton and Pencticton:  cliffs and talus slopes of the Dry Interior.					Canadian Geographical Names Data Base		49.49155	-120.04656	33750								"Chan, Lisa"	15-07-08		Google Earth		the distance from Princeton to Penticton was measured and the midpoint was taken for lat/long. Uncertainty is the radius.																																			"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z							COORDINATE_ROUNDED		TRUE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
883390991									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 61509)																	urn:catalog:ALTA-VP:61509									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85794					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:61509	61509	3634	"McCalla, William C."										dried and pressed																		1930-06-21T00:00Z				1930	6	21	30-06-21	forest; trail									North America | Canada | Alberta | Waterton Lakes National Park	NORTH_AMERICA				CA	Alberta	Waterton Lakes National Park		Bertha Lake	"Woods bordering Bertha Lake Trail, Waterton Lakes National Park."					Canadian Geographical Names Data Base		49.0345	-113.9203	1200								"McDougall, Seamus"	15-06-08		Google Earth		"Coordinates on rough midpoint of trail between Waterton (town) and Bertha Lake. Uncertainty is the distance to either. Several descriptions of this site have been combined (non-verbatim) based on similar descriptions, collection numbers, and collection dates."																																			"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									TRUE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
883390611									Pachystima myrsinites (Pursh) Raf.(ALTA-VP 12549)																	urn:catalog:ALTA-VP:12549									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=85799					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:12549	12549	2960	"Moss, Ezra Henry"										dried and pressed				"under Thuja plicata, in Cedar-fir woods"														1934-08-13T00:00Z				1934	8	13	34-08-13	coniferous; wooded									North America | Canada | British Columbia	NORTH_AMERICA				CA	British Columbia			Fernie	"under Thuja plicata, in Cedar-fir woods, near Elk River, about 13 miles west of Fernie."					Canadian Geographical Names Data Base																																																				"Pachystima myrsinites ""Rafin."""		Pachystima Endl.					Plantae | Flowering Plants | Eudicots | Celastrales | Celastraceae | Pachystima Endl.								myrsinites		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									FALSE	FALSE	3793783										Pachystima		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
