gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
360265689																										urn:catalog:FFPRI:TFA:22372									en				2010-09-03T01:05Z																				FFPRI	TFA			PRESERVED_SPECIMEN				urn:catalog:FFPRI:TFA:22372	22372		S. Kojima																														191															"North America, Canada"	NORTH_AMERICA				CA				Kakwa																																																										Phyllodoce empetriformis (Sm.) D. Don							"Plantae, Magnoliophyta, Magnoliopsida, Ericales, Ericaceae,"	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							38e8b720-9074-4471-a016-73cae18a6c1c	JP	2016-04-17T17:02Z									FALSE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE	2015-08-17T07:27Z	2016-06-02T10:23Z
466192288																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V169714		Corinne J. Selby																												1977-08-17T00:00Z				1977	8	17																CA	British Columbia			east-facing slope at end of little paradise basin								51.15	-122.96667																																				Corinne J. Selby													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
466225167																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V155498		Jim Pojar																												1975-07-03T00:00Z				1975	7	3																CA	British Columbia			"sanctuary ridge, above east entrance to sanctuary pass"								57.58333	-128.78333																																				Jim Pojar													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
466255953																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V16168		John Davidson																												1913-08-03T00:00Z				1913	8	3																CA	British Columbia			"Coast area, Garibaldi, Castle Towers [Mountain]"								49.93333	-122.95																																				John Davidson													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
466255957																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V16191		John Davidson																												1917-08-08T00:00Z				1917	8	8																CA	British Columbia			"Coast area, Garibaldi, Black Tusk slopes"								49.96667	-123.03333																																				John Davidson													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
466256104																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V70804		"Katherine I. Beamish, S. Stone"																												1957-06-29T00:00Z				1957	6	29																CA	British Columbia			"Mt. above canim Mt., Manning Park"																																													T.J.Watson jr 1974													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z									FALSE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
466256192																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V98086		S.D. Macdonald																												1962-08-03T00:00Z				1962	8	3																CA	British Columbia			44 miles north northwest of Dease Lake								58.5	-130.33333																																				T.J. Watson Jr. 1974													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
466276017																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V218501		Carol Latimer																																2002																		CA	British Columbia			"Stikine Regional District, Atlin Provincial Park, Teresa Island, Birch Mountain, south cirque"								59.43333	-133.81667																																																	Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DWC_ARCHIVE		2013-09-07T09:19Z
441806828																																																											UWBM	Plants			PRESERVED_SPECIMEN					121403		H. A. Senn																												1951-09-06T00:00Z				1951	9	6																CA	British Columbia			"Apex Mountain, 15 miles northwest of Keremeos."																																													CF	1951-01-01T00:00Z												Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:02Z	2287	0							FALSE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DIGIR	2014-10-07T16:12Z	2014-10-07T16:12Z
441806870																																																											UWBM	Plants			PRESERVED_SPECIMEN					121445		V. J. Krajina																												1949-08-28T00:00Z				1949	8	28																CA	British Columbia			"Grouse Mountain, Vancouver."																																													T. J. Watson Jr.													Phyllodoce empetriformis (Sm.) D. Don								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Phyllodoce		empetriformis		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T17:02Z									FALSE	FALSE	5333375	6	7707728	220	1353	2505	2882672		5333375	Phyllodoce empetriformis	Phyllodoce		DIGIR	2014-10-07T16:12Z	2014-10-07T16:12Z
