gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1248732473									Picea sitchensis (Bongard) CarriíÂre (QFA0217035)																	QFA0217035									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0217035	QFA0217035	2	"Kirstein, L."										mounted																		1971-11-28T00:00Z				1971	11	28	28 novembre 1971															CA	British Columbia.			"Kitimat, Radley Park."													degrí©es minutes secondes	unknown																															"Brayshaw, Thomas Christopher"													Picea sitchensis (Bong.) CarriíÂre	Picea sitchensis (Bongard) CarriíÂre							Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:20Z							COORDINATE_INVALID		FALSE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
918967175									Picea sitchensis (UBC V238049)																	165969									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-08-19T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=209471&ass_num=V238049					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				165969	V238049	174	E.R. Manton; Jamie D. Fenneman										mounted												Picea sitchensis by J. Fenneman 2013						2012-06-26T00:00Z				2012	6	26	2012 Jun 26	Sandy beach														CA	British Columbia			"Vancouver Island, Alberni-Clayoquot Regional District, Beach at Pachena Bay"		0 m												WGS84																															J. Fenneman	2013-01-01T00:00Z												Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_INVALID	STILLIMAGE	FALSE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
1248732495									Picea sitchensis (Bongard) CarriíÂre (QFA0230964)																	QFA0230964									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0230964	QFA0230964	"21,022"	"Dutilly, ArthíÂme; Lepage, Ernest; O'Neill, Hugh Thomas"										mounted																		1947-07-10T00:00Z				1947	7	10	10 juillet 1947															CA	Northwest Territories			2 1/2 miles north Valdez.																																													"Dutilly, ArthíÂme"													Picea sitchensis (Bong.) CarriíÂre	Picea sitchensis (Bongard) CarriíÂre							Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:20Z									FALSE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
1097827488																										940ba157-9a67-42b5-a2a6-07db1412e318									en												The New York Botanical Garden							PhysicalObject					NY				PRESERVED_SPECIMEN				940ba157-9a67-42b5-a2a6-07db1412e318	34388	8798	J. W. Wilson																												1952-10-20T00:00Z				1952	10	20												NORTH_AMERICA				CA	British Columbia			Haney																																																										Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				d415c253-4d61-4459-9d25-4015b9084fb0	US	2016-04-17T17:30Z									FALSE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2015-11-17T16:34Z	2015-11-17T16:34Z
466334933																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V231854		"Randal A. Mindell, Beryl C. Zhuang"																												2009-07-21T00:00Z				2009	7	21																CA	British Columbia			"Greater Vancouver Regional District, Vancouver, University of British Columbia Botanical Garden, Native Garden"								49.25	-123.23333																																				"Randal A. Mindell, Beryl C. Zhuang"													Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE		2013-09-07T09:19Z
466140301																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V140857		John Pinder-Moss																												1972-06-30T00:00Z				1972	6	30																CA	British Columbia			"fredrickson point, nels bight on northern Vancouver Island"								50.78333	-128.35																																																	Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE		2013-09-07T09:19Z
883369813									Picea sitchensis (Bong.) CarriíÂre(ALTA-VP 90392)																	urn:catalog:ALTA-VP:90392									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=18748					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:90392	90392		"Hills, L. V."										dried and pressed				Pure stand.														1978-12-28T00:00Z				1978	12	28	78-12-28	shore									North America | Canada | British Columbia | Vancouver Island	NORTH_AMERICA			Vancouver Island	CA	Victoria			Victoria	"5 miles east of Sooke, 25 feet off shoreline."	30.6 m (100 ft)				Canadian Geographical Names Data Base																																																				Picea sitchensis (Bong.) CarriíÂre		Picea A. Dietr.					Plantae | Gymnosperms | Pinales | Pinaceae | Picea A. Dietr.	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									FALSE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
768404743																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V238049		"E.R. Manton, Jamie Fenneman"																												2012-06-26T00:00Z				2012	6	26																CA	British Columbia			"Vancouver Island, Alberni-Clayoquot Regional District, Beach at Pachena Bay"								48.7929	-125.11678																																				J. Fenneman													Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE		2013-09-07T09:17Z
918933939									Picea sitchensis (UBC V220680)																	129947									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=133548&ass_num=V220680					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				129947	V220680	2002-121	Eric Lamb; Sarah Martz										mounted						Scrubby tree ~4 m tall												2002-06-16T00:00Z				2002	6	16	2002 Jun 16	Among shrubs at head of highly sea-exposed beach														CA	British Columbia			Cobble beach just south of Hoop bay		sea level						51.21333	-127.77667					WGS84																															Eric Lamb													Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
883383634									Picea sitchensis (Bong.) CarriíÂre(ALTA-VP 114079)																	urn:catalog:ALTA-VP:114079									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=64661					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:114079	114079		"Horton, Diana G. | Vitt, Dale H. | Goodman, M. | Schaffer, K."										dried and pressed				"""Lawns"" dominated by Eriophorum angustifolium-Carex sp. with occasional Fauria crista-galli/Sphagnum subsecundum-S. compactum-S. angustifolium-Calliergon stramineum.  Pools and streams with carpets of Drepanocladus exannulatus-S. angustifolium."														1983-07-31T00:00Z				1983	7	31	83-07-31	fen									North America | Canada | British Columbia | Kaien Island	NORTH_AMERICA			Kaien Island	CA	British Columbia			Mount Hays	"British Columbia: Prince Rupert area, Kaien Island, Mt. Hays, 8.2 km S of junction with Hwy. 16.  Soligenous, poor fen in saddle at top of Mountain - drainage in two directions.  ""Lawns"" dominated by Eriophorum angustifolium-Carex sp. with occasional Fauria crista-galli/Sphagnum subsecundum-S. compactum-S. angustifolium-Calliergon stramineum.  Pools and streams with carpets of Drepanocladus exannulatus-S. angustifolium."	ca. 600 m				Canadian Geographical Names Data Base		54.28333	-130.31667	2299								"McDougall, Seamus"	15-02-05		MaNIS georeferencing guidelines		Verbatim lat-long converted to decimal. Assumed 1 minute verbatim coordinate precision and derived uncertainty via SQL calculation.																																			Picea sitchensis (Bong.) CarriíÂre		Picea A. Dietr.					Plantae | Gymnosperms | Pinales | Pinaceae | Picea A. Dietr.	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:38Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
78431763																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 6363		"Clarke, Charles H.D."																												1944-07-17T00:00Z				1944	7	17												NORTH_AMERICA				CA	British Columbia	Cassiar Land Distr.		Haines Rd.: near mile 85								59.917	-136.85																																																	Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T16:22Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DIGIR		2013-09-07T09:03Z
466140298																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V140856		John Pinder-Moss																												1972-06-30T00:00Z				1972	6	30																CA	British Columbia			Hansen's lagoon								50.76667	-128.34167																																																	Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DWC_ARCHIVE		2013-09-07T09:19Z
122985505																																																											FTG	Herbarium			PRESERVED_SPECIMEN					131396		J. W. Wilson																												1952-10-20T00:00Z				1952	10	20												NORTH_AMERICA				CA	British Columbia	Haney		"Haney, British Columbia"																																																										Picea sitchensis (Bong.) CarriíÂre								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea		sitchensis		SPECIES							832cb04e-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z									FALSE	FALSE	5284827	6	7707728	194	640	3925	5284711		5284827	Picea sitchensis	Picea		DIGIR		2013-09-07T09:04Z
