gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
441807645																																																											UWBM	Plants			PRESERVED_SPECIMEN					38172		C. L. Hitchcock																												1941-07-18T00:00Z				1941	7	18																CA	British Columbia			"Above Yoho River opposite Takakkaw Falls, Yoho National Park."																																																										Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z	1707	0							FALSE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DIGIR	2014-10-07T16:13Z	2014-10-07T16:13Z
1098154183																										ce650e40-c242-4462-89ef-2e684f78d482									en												The New York Botanical Garden							PhysicalObject					NY				PRESERVED_SPECIMEN				ce650e40-c242-4462-89ef-2e684f78d482	34463	s.n.	J. Macoun																												1890-07-11T00:00Z				1890	7	11												NORTH_AMERICA				CA	British Columbia			Mountains at Kootanie Lake																																																										Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES			ICBN				d415c253-4d61-4459-9d25-4015b9084fb0	US	2016-04-17T17:30Z	1981.2	0							FALSE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DWC_ARCHIVE	2015-11-17T16:38Z	2015-11-17T16:38Z
78431689																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 568843		"Brayshaw, T. C.; Doan, G. E."																												1959-07-22T00:00Z				1959	7	22												NORTH_AMERICA				CA	British Columbia	Kootenay Land Distr.		Akamina Pass.  Near Waterton Lakes National Park								49.033	-114.067																																																	Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T16:22Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DIGIR		2013-09-07T09:03Z
668823426																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V47617		John Davidson																												1922-07-05T00:00Z				1922	7	5																CA	British Columbia			"Fraser River basin, Skwoach [a.k.a. Skuo-ach] [Skwaha Lake]"								50.41667	-121.5																																				John Davidson													Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DWC_ARCHIVE		2013-09-07T09:18Z
918951191									Pinus albicaulis (UBC V227815)																	147317									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-16T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=164620&ass_num=V227815					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				147317	V227815	247	Gary J. Lewis; Jocelyn M. Ingram										mounted						Plot 29						Pinus albicaulis by Gary J. Lewis 2002						2002-07-17T00:00Z				2002	7	17	2002 Jul 17	"Ultramafic side. Southern slope of ultramafic peak with Douglas fir, ponderosa pine, whitebark pine, juniper, Astragalus, Arenaria, Cirsium, scattered grasses, Eriogonum and Senecio. Slope 22 degrees."														CA	British Columbia			"Tulameen area, Tulameen Ultramafic Complex, Grasshopper Mountain"		1475 m						49.54211	-120.89919					unknown																															Gary J. Lewis	2002-01-01T00:00Z												Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918879897									Pinus albicaulis (UBC V65466)																	75203									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-02-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=77808&ass_num=V65466					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				75203	V65466	6780	W.C. McCalla										mounted																		1941-07-24T00:00Z				1941	7	24	1941 Jul 24															CA	Alberta			slope opposite peyto glacier																																																										Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z									FALSE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
78431770																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 6376		"Macoun, J.M."																												1905-07-20T00:00Z				1905	7	20												NORTH_AMERICA				CA	British Columbia	Yale Division Yale Land Distr.		"Skagit River, first summit west of."																																																										Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T16:22Z									FALSE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DIGIR		2013-09-07T09:03Z
78431527																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 363184		"Haber, Erich; Shchepanek, Michael J."																												1972-07-19T00:00Z				1972	7	19												NORTH_AMERICA				CA	British Columbia	Kootenay Land Distr.		Glacier National Park. Hermit Hut trail.								51.317	-117.517																																				"Haber, E."													Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T16:22Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DIGIR		2013-09-07T09:03Z
78431769																																																											CMN	CAN			PRESERVED_SPECIMEN					CAN 6375		"Macoun, John"																												1890-07-11T00:00Z				1890	7	11												NORTH_AMERICA				CA	British Columbia	Kootenay Land Distr.		"Kootanie Lake, Mts at Warm Springs."								49.667	-116.833																																																	Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES							830da118-f762-11e1-a439-00145eb45e9a	CA	2016-04-17T16:22Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DIGIR		2013-09-07T09:03Z
1097654208																										75132d70-d35b-4f89-a32c-6930c5139b86									en												The New York Botanical Garden							PhysicalObject					NY				PRESERVED_SPECIMEN				75132d70-d35b-4f89-a32c-6930c5139b86	34462	337	C. H. Shaw																												1904-07-14T00:00Z				1904	7	14												NORTH_AMERICA				CA	British Columbia			"Carbonate ""Draw"""																																																										Pinus albicaulis Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		albicaulis		SPECIES			ICBN				d415c253-4d61-4459-9d25-4015b9084fb0	US	2016-04-17T17:30Z									FALSE	FALSE	5285183	6	7707728	194	640	3925	2684241		5285183	Pinus albicaulis	Pinus		DWC_ARCHIVE	2015-11-17T16:33Z	2015-11-17T16:33Z
