gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1038769463																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					140174833		539637721																												2014-07-31T00:00Z				2014	7	31																CA				Hidden Lakes								60.68839	-134.99579	250																																																Pinus contorta Douglas ex Loudon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T15:58Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285750	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		BIOCASE	2014-11-15T04:31Z	2015-08-12T07:46Z
1265894722																										2996105										http://creativecommons.org/licenses/by-nc/4.0/			2016-05-05T04:41Z			http://www.inaturalist.org/observations/2996105				Ω sustainabilityteam some rights reserved	sustainabilityteam												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2996105	2996105		sustainabilityteam																												2016-04-21T20:34Z	18:34:00Z			2016	4	21	16-04-21 12:34															CA					"Banff, AB, Canada"							51.16078	-115.55988	6																																5830360				2016-04-21T19:32Z				48934								Pinus contorta Douglas ex Loudon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:42Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	5285750	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1038772929																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					490821062		539637721																												2014-07-28T00:00Z				2014	7	28																CA				Carcross Desert								60.18726	-134.69333	250																																																Pinus contorta var. latifolia Engelm.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta	latifolia	VARIETY							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T15:58Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285756	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		BIOCASE	2014-11-15T04:39Z	2015-08-12T08:35Z
1265538015																										2763255										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-20T22:51Z			http://www.inaturalist.org/observations/2763255				Ω chlorophilia some rights reserved	chlorophilia												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2763255	2763255		chlorophilia																												2016-03-03T00:00Z				2016	3	3	16-03-03															CA					Galiano Island							48.90668	-123.35651	87																																5370121				2016-03-10T01:38Z				80130								Pinus contorta var. contorta								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta	contorta	VARIETY							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:38Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	7230686	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1092875323																										26982										http://creativecommons.org/licenses/by/4.0/			2015-05-24T18:12Z			http://www.inaturalist.org/observations/26982				Ω Christopher Tracey some rights reserved	Christopher Tracey												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/26982	26982		Christopher Tracey																												2008-09-27T22:27Z	20:27:00Z			2008	9	27	08-09-27 16:27															CA					"British Columbia, Canada"							49.01254	-125.65836																																	2887447				2015-05-24T18:12Z				80130								Pinus contorta var. contorta								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta	contorta	VARIETY							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-04-17T17:31Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7230686	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		DWC_ARCHIVE	2016-03-18T05:07Z	2016-06-06T13:31Z
1092875320																										26970										http://creativecommons.org/licenses/by/4.0/			2015-05-24T18:10Z			http://www.inaturalist.org/observations/26970				Ω Christopher Tracey some rights reserved	Christopher Tracey												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/26970	26970		Christopher Tracey																												2008-09-27T22:41Z	20:41:00Z			2008	9	27	08-09-27 16:41															CA					"British Columbia, Canada"							49.01254	-125.65836																																	2887394				2015-05-24T18:10Z				80130								Pinus contorta var. contorta								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta	contorta	VARIETY							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-04-17T17:31Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7230686	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		DWC_ARCHIVE	2016-03-18T05:07Z	2016-06-06T13:31Z
1253314823																										2732415										http://creativecommons.org/licenses/by-nc/4.0/			2016-03-01T05:04Z			http://www.inaturalist.org/observations/2732415				Ω galianotwins some rights reserved	galianotwins												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2732415	2732415		galianotwins																												2016-02-29T00:00Z				2016	2	29	16-02-29															CA					Galiano Island							48.90594	-123.35278	349																																5297023				2016-02-29T21:19Z				80130								Pinus contorta var. contorta								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta	contorta	VARIETY							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:37Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	7230686	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1227773889																										2564090										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-10T08:56Z			http://www.inaturalist.org/observations/2564090				Ω Lauren Magner some rights reserved	Lauren Magner												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2564090	2564090		Lauren Magner																												2015-06-24T00:00Z				2015	6	24	15-06-24															CA					Galiano Island							48.93023	-123.47551	87																																4767539				2016-01-08T06:19Z				80130								Pinus contorta var. contorta								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta	contorta	VARIETY							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	7230686	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1038769798																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					625558914		539637721																												2014-07-31T00:00Z				2014	7	31																CA				Miles Canyon								60.66176	-135.02858	250																																																Pinus contorta Douglas ex Loudon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T15:58Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285750	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		BIOCASE	2014-11-15T04:32Z	2015-08-12T07:51Z
1038772930																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					26366015		539637721																												2014-07-28T00:00Z				2014	7	28																CA				Carcross Desert								60.18726	-134.69333	250																																																Pinus contorta Douglas ex Loudon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		contorta		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T15:58Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285750	6	7707728	194	640	3925	2684241		5285750	Pinus contorta	Pinus		BIOCASE	2014-11-15T04:39Z	2015-08-12T08:35Z
