gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466296847																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V47612		John Davidson																												1913-07-15T00:00Z				1913	7	15																CA	British Columbia			"Fraser River basin, Spences Bridge"								50.41667	-121.35																																				John Davidson													Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE		2013-09-07T09:19Z
441807764																																																											UWBM	Plants			PRESERVED_SPECIMEN					38319		O. W. Archibold																												1971-01-01T00:00Z				1971	1	1																CA	British Columbia			"Sandy terrace of Columbia River; Trail, B.C."								49.1	-117.7																																				T. C. Brayshaw													Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z	427	0					GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DIGIR	2014-10-07T16:13Z	2014-10-07T16:13Z
918962327									Pinus ponderosa (UBC V5547)																	158562									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-01-03T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=201811&ass_num=V5547					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				158562	V5547	s.n.	Eli Wilson										mounted						Common occurrence						Pinus ponderosa by E. Wilson 1904						1904-05-25T00:00Z				1904	5	25	1904 May 25	Dry districts														CA	British Columbia			Okanagan								48.99974918	-119.0008807																																				E. Wilson	1904-01-01T00:00Z												Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_REPROJECTED		TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
768404623																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V238150		Vladimir J. Krajina																												1959-06-15T00:00Z				1959	6	15																CA	British Columbia			University of British Columbia Botanical Garden								49.25	-123.23333																																				Beryl C. Zhuang													Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE		2013-09-07T09:17Z
918846863									Pinus ponderosa (UBC V217573)																	41662									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-16T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=43944&ass_num=V217573					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				41662	V217573	24364	Adolf Ceska; Robert T. Ogilvie										mounted																		1988-07-25T00:00Z				1988	7	25	1988 Jul 25	"Open rock outcrops and surrounding Douglas fir forest with Carex inops, Juniperus scopulorum."														CA	British Columbia			Ross Lake Ecological Reserve (ER # 22).		600 m						49.00056	-121.05					unknown																																												Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918918417									Pinus ponderosa (UBC V217572)																	114197									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=117271&ass_num=V217572					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				114197	V217572	85-225	Robert T. Ogilvie; Thomas C. Brayshaw										mounted						Purple cones abundant on tree.												1985-10-25T00:00Z				1985	10	25	1985 Oct 25	Undulating Pinus ponderosa parkland on fine sandy loam.														CA	British Columbia			4 km east of Wycliffe intersection on Highway 95		915 m						49.58333	-115.8					unknown																															T. C. B.													Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
883369596									Pinus ponderosa Douglas ex Lawson & C. Lawson(ALTA-VP 665)																	urn:catalog:ALTA-VP:665									en	http://creativecommons.org/publicdomain/zero/1.0/						http://vascularplant.museums.ualberta.ca/details_record.aspx?key=19357					University of Alberta Museums							PhysicalObject			urn:lsid:biocol.org:col:35062		University of Alberta Museums	ALTA-VP	University of Alberta Vascular Plant Herbarium (ALTA-VP)		PRESERVED_SPECIMEN				urn:catalog:ALTA-VP:665	665		"Cormack, R. G. H."										dried and pressed																		1944-07-22T00:00Z				1944	7	22	44-07-22	rock (y); sand (y); shore									North America | Canada | Alberta	NORTH_AMERICA				CA	Alberta	Crowsnest Forest Reserve			"Shore of Carbondale River, near Lynx Creek cabin.  About 10 miles from B. C. border. Carbondale River, Crowsnest Forest Reserve."							49.4483	-114.413	1600								"McDougall, Seamus"	15-11-30		Canadian Geographical Names Data Base | Google Earth		Coordinates 10 miles from BC border on road running parallel with Carbondale River. Assumed 1 mile distance precision.																																			Pinus ponderosa Douglas ex C. Lawson		Pinus L.					Plantae | Gymnosperms | Pinales | Pinaceae | Pinus L.	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				2429287b-ef65-4cfd-afcc-11cc3ba95cca	CA	2016-05-10T19:39Z									TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-05-10T19:38Z	2016-05-10T19:38Z
1248732694									Pinus ponderosa Douglas ex Lawson & C. Lawson (QFA0210329)																	QFA0210329									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0210329	QFA0210329	74028	"Beamish, Katherine I. ; Pinder-Moss, J. ; Selby, C. ; Pojar, J. ; Perkins, E."										mounted						"University of Bristish Columbia Herbarium. Distributed by the Herbarium, The University of British Columbia."												1974-06-12T00:00Z				1974	6	12	12 juin 1974	Meadow evidence of past fire.														CA	British Columbia.			Skagit River floodplain with in 5 miles of Ross Lake.		ca 304 m											degrí©es minutes secondes	unknown																															J.P.	1974-01-01T00:00Z												Pinus ponderosa Douglas ex C. Lawson	Pinus ponderosa Douglas ex Lawson & C. Lawson							Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:20Z							COORDINATE_INVALID		FALSE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
918939724									Pinus ponderosa (UBC V5546)																	135739									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-14T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=140153&ass_num=V5546					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				135739	V5546	s.n.	John Davidson										mounted						Common						Pinus ponderosa by John Davidson 1913						1913-07-15T00:00Z				1913	7	15	1913 Jul 15	Dry Hills														CA	British Columbia			"Fraser River basin, Spences Bridge"		700-1000 ft						50.41640591	-120.6509584																																				John Davidson	1913-01-01T00:00Z												Pinus ponderosa Douglas ex C. Lawson								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
1248732686									Pinus ponderosa Douglas ex Lawson & C. Lawson (QFA0357710)																	QFA0357710									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0357710	QFA0357710	9936	"Grandtner, Miroslav M."										mounted																		1966-05-31T00:00Z				1966	5	31	31 mai 1966	Groupement ví©gí©tal: Agropyreto-Pinetum ponderosae.														CA	British Columbia.			"Princeton, íæ 2 mi. au nord de Princeton."		701 m											degrí©es minutes secondes	unknown																															"Grandtner, Miroslav M."													Pinus ponderosa Douglas ex C. Lawson	Pinus ponderosa Douglas ex Lawson & C. Lawson							Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus		ponderosa		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:20Z							COORDINATE_INVALID		FALSE	FALSE	5285053	6	7707728	194	640	3925	2684241		5285053	Pinus ponderosa	Pinus		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
