gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
923082796																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					-1138642031		531632058																												2013-06-16T00:00Z				2013	6	16																CA				Ucluelet+Umgebung								48.9425	-125.55359	250																																																Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T16:08Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		BIOCASE	2014-11-15T05:03Z	2016-03-25T01:18Z	FALSE
1229924016																										2583429										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-16T08:59Z			http://www.inaturalist.org/observations/2583429				Â© felixerhard some rights reserved	felixerhard												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2583429	2583429		felixerhard																												2013-04-17T00:00Z				2013	4	17	13-04-17															CA					Galiano Island							48.93657	-123.46024	13629																																4816452				2016-01-15T16:01Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z	FALSE
1249286072																										2647796										http://creativecommons.org/licenses/by-nc/4.0/			2016-03-14T05:13Z			http://www.inaturalist.org/observations/2647796				Â© highlander some rights reserved	highlander												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/2647796	2647796		highlander																												2016-02-05T23:30Z	22:30:33Z			2016	2	5	Fri Feb 05 2016 14:30:33 GMT-0800 (PST)															CA					"1â€“2799 Highland Rd, , BC, CA"							48.86879	-123.34415	5																																4976011				2016-02-05T23:00Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:35Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z	FALSE
1233597573																										2610229										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-24T02:24Z			http://www.inaturalist.org/observations/2610229				Â© nanorca13 some rights reserved	nanorca13												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/2610229	2610229		nanorca13																												2014-07-07T04:12Z	02:12:53Z			2014	7	7	14-07-06 19:12															CA					"1121 Thunderbird Drive, Nanaimo, B.C."							49.18573	-123.97608																																	4883343				2016-01-24T02:24Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:34Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z	FALSE
1135208304																										1815130										http://creativecommons.org/licenses/by-nc/4.0/			2015-08-23T19:01Z			http://www.inaturalist.org/observations/1815130				Â© Rob Leeming some rights reserved	Rob Leeming												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1815130	1815130		Rob Leeming																												2015-07-29T23:35Z	21:35:31Z			2015	7	29	Wed Jul 29 2015 14:35:31 GMT-0700 (PDT)															CA					235â€“299 Quamichan Ave							48.82763	-124.04029	65																																3433665				2015-08-03T04:35Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:07Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	FALSE
1132405832																										1774439										http://creativecommons.org/licenses/by-nc/4.0/			2016-03-15T19:18Z			http://www.inaturalist.org/observations/1774439				Â© squirrellyd some rights reserved	squirrellyd												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/1774439	1774439		squirrellyd																												2015-07-18T02:57Z	00:57:24Z			2015	7	18	2015-07-17 5:57:24 PM PDT															CA												48.80951	-123.18777	46																																								47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:06Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	FALSE
1092892513																										1528583										http://creativecommons.org/licenses/by-nc/4.0/			2016-03-15T19:07Z			http://www.inaturalist.org/observations/1528583				Â© kaseylee some rights reserved	kaseylee												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1528583	1528583		kaseylee																Fern												2015-05-23T01:44Z	23:44:00Z			2015	5	23	Fri May 22 2015 16:44:00 GMT-0700 (PDT)															CA					"690â€“698 Fort Rodd Hill Rd, Colwood, BC, CA"							48.43245	-123.45294	5																																3001317				2015-06-06T23:08Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:03Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	FALSE
1092893748																										1532359										http://creativecommons.org/licenses/by-nc/4.0/			2015-06-01T22:59Z			http://www.inaturalist.org/observations/1532359				Â© Wendy Anthony some rights reserved	Wendy Anthony												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1532359	1532359		Wendy Anthony																												2015-05-23T02:17Z	00:17:58Z			2015	5	23	15-05-22 17:17															CA					"Capital, British Columbia, Canada"							48.43283	-123.44991																																	2880874				2015-05-24T00:09Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:03Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z	FALSE
1265534169																										1927166										http://creativecommons.org/licenses/by/4.0/			2016-04-25T16:12Z			http://www.inaturalist.org/observations/1927166				Â© Riley Pollom some rights reserved	Riley Pollom												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1927166	1927166		Riley Pollom																												2015-09-07T01:17Z	23:17:45Z			2015	9	7	2015-09-06 4:17:45 PM PDT															CA					"Greater Vancouver, CA-BC, CA"							49.29651	-123.1508	13																																5830584				2016-04-21T19:44Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:09Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z	FALSE
1265559779																										2889753										http://creativecommons.org/licenses/by-nc/4.0/			2016-06-02T07:12Z			http://www.inaturalist.org/observations/2889753				Â© chlorophilia some rights reserved	chlorophilia												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2889753	2889753		chlorophilia																												2016-04-03T00:00Z				2016	4	3	16-04-03															CA					Galiano Island							48.86828	-123.3426	174																																5638984				2016-04-06T17:51Z				47751								Polystichum munitum (Kaulf.) Presl								Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum		munitum		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:40Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2651122	6	7707728	7228684	392	2373	2651085		2651122	Polystichum munitum	Polystichum		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z	FALSE
