gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1212014036																										urn:catalog:UConn:CONN:CONN00177789																																179265	UConn	CONN			PRESERVED_SPECIMEN					CONN00177789	2553	"Capers, Robert S.;"																						Populus balsamifera L.						2013-07-01T00:00Z				2013	7	1	01-Jul-13	Between river and road														CA	Quebec	Gaspesie		Riviere Cascapedia	"Riviere Cascapedia. Beside river and beside Route 299, south of Parque National de la Gaspesie"					GPS		48.56925	-66.1498	1											"no date. Herbarium specimen label, George Safford Torrey Herbarium, University of Connecticut."																																					Populus balsamifera Linnaeus							Dicotyledonae	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES							5288946d-5fcf-4b53-8fd3-74f4cc6b53fc	US	2016-04-16T01:52Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2015-11-26T13:31Z	2015-11-26T13:31Z
466163481																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V212425		"Stephan Kesting, Ksenia Barton"																																1994																		CA	Northwest Territories			along the lower Anderson River								68.48333	-128.78333																																				"Stephan Kesting, Ksenia Barton"													Populus balsamifera Linnaeus								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE		2013-09-07T09:19Z
466345769																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V32079		John Davidson																																1924																		CA	British Columbia			"Coast area, Point Grey"								49.26667	-123.26667																																				John Davidson													Populus trichocarpa Torr. & Gray ex Hooker								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE		2013-09-07T09:19Z
473440903									MT00000194																	194									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2016-01-07T00:00Z								Universit’© de Montr’©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universit’© de Montr’©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				194	MT00000194	4523	"Guertin, Pierre"										mounted																		1991-06-13T00:00Z				1991	6	13	13-6-1991	"Clairi’åre entour’© de pins blancs, sapins, ’©pinettes et c’ådres."										NORTH_AMERICA				CA	Qu’©bec	Mirabel (hors MRC)	Mirabel	"Mirabel, secteur Sainte-Th’©r’åse-Ouest: au Parc du Domaine Vert,  le long du sentier pav’©."																																													"Guertin, Pierre"													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z									FALSE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
473543422									MT00067195																	67195									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2016-02-16T00:00Z								Universit’© de Montr’©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universit’© de Montr’©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				67195	MT00067195	2555	"Rouleau, Ernest"										mounted																		1939-06-15T00:00Z				1939	6	15	15 juin 1939	Bois										NORTH_AMERICA				CA	Qu’©bec	Montr’©al (hors MRC)	Montr’©al	"Mont Royal, Montr’©al"								45.5	-73.6																																				"Rouleau, Ernest"													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z							GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
473543449									MT00067205																	67205									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2016-02-16T00:00Z								Universit’© de Montr’©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universit’© de Montr’©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				67205	MT00067205	21720	"Marie-Victorin, Fr."										mounted																		1925-05-19T00:00Z				1925	5	19	19 mai 1925	Versant nord. Abondant sous forme de taillis repouss’©s.										NORTH_AMERICA				CA	Qu’©bec	Montr’©al (hors MRC)	Montr’©al	"Mont Royal, Montr’©al"								45.5	-73.6																																				"Marie-Victorin, Fr."													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z							GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
668799672									Populus balsamifera L. (QFA0363226)																	QFA0363226									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universit’© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universit’© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit’© Laval	PRESERVED_SPECIMEN				QFA0363226	QFA0363226	15360	"Lemieux, Gilles"										mounted																		1974-06-25T00:00Z				1974	6	25	25 juin 1974	"Peupleraie bor’©ale littorale ’¾ Picea glauca, Salix discolor. Gr’ås de schistes argileux. Exposition nord, pente 5Îç."														CA	Qu’©bec			"Ile Anticosti, Havre du Brick."		5 m						49.85	-63.61667				degr’©es minutes secondes	unknown																															"Lemieux, Gilles"													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
668799697									Populus balsamifera L. (QFA0569218)																	QFA0569218									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universit’© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universit’© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit’© Laval	PRESERVED_SPECIMEN				QFA0569218	QFA0569218	111	"Laflamme, Gaston"										mounted																		1965-05-08T00:00Z				1965	5	8	08 mai 1965	"Groupement v’©g’©tal: champ ouvert; description du sp’©cimen: dress’© de 60 ’¾ 80', chatons vivace, AS; sol: gravel et terre arabe; drainage: 2; exposition: nord-ouest; pente: 3%; strate, abondance, sociabilit’© et vitalit’©: 1.1X"														CA	Qu’©bec			Comt’© de Dorchester; ville de St-Prosper																																													"Laflamme, Gaston"													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:36Z									FALSE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
668799703									Populus balsamifera L. (QFA0228546)																	QFA0228546									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universit’© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universit’© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit’© Laval	PRESERVED_SPECIMEN				QFA0228546	QFA0228546	122	"Courtois, Rh’©aume; Lalonde, Michel"										mounted																		1976-07-28T00:00Z				1976	7	28	28 juillet 1976	"Dans un champ, pr’ås du village."														CA	Qu’©bec			"Comt’© de Saguenay, HAVRE SAINT-PIERRE."								50.24389	-63.60139																																				"Courtois, Rh’©aume ; Lalonde, Michel"													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
668799706									Populus balsamifera L. (QFA0222469)																	QFA0222469									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universit’© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universit’© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit’© Laval	PRESERVED_SPECIMEN				QFA0222469	QFA0222469	63	"Grondin, Pierre; Melan’_on, Michel ; Couillard, Line"										mounted																		1977-07-03T00:00Z				1977	7	3	03 juillet 1977	Pente 0% ; Sous-sol: calcaire ; D’©p’‚t de surface: Plage ; Sol: podzol ; Drainage 3 ; Humus: mor ; Abondance-dominance: +.1 ; Strate: ah ; Unit’© physionomique: For’ét ; Groupement : sapini’åre.														CA	Qu’©bec			’_le ’¾ Samuel								50.21194	-63.74917				degr’©es minutes secondes	unknown																															"Cayouette, Jacques"													Populus balsamifera Linnaeus	Populus balsamifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		balsamifera		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3040184	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
