gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1003488278													12-02-19													JN706879													2012-02-19T00:00Z																								UNKNOWN				JN706879																JN706879																																					CA												49.43	-115.42																																									3694								Populus trichocarpa Torr. & Gray ex Hooker							species	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2016-04-15T20:59Z							REFERENCES_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2014-09-04T16:28Z	2014-09-04T16:28Z
1003493018													12-02-19													JN707111													2012-02-19T00:00Z																								UNKNOWN				JN707111																JN707111																																					CA												49.43	-115.42																																									3694								Populus trichocarpa Torr. & Gray ex Hooker							species	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2016-04-15T20:59Z							REFERENCES_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2014-09-04T16:28Z	2014-09-04T16:28Z
1003497433													12-02-19													JN707167													2012-02-19T00:00Z																								UNKNOWN				JN707167																JN707167																																					CA												49.43	-115.42																																									3694								Populus trichocarpa Torr. & Gray ex Hooker							species	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2016-04-15T20:59Z							REFERENCES_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2014-09-04T16:28Z	2014-09-04T16:28Z
1003497443													12-02-19													JN707198													2012-02-19T00:00Z																								UNKNOWN				JN707198																JN707198																																					CA												49.43	-115.42																																									3694								Populus trichocarpa Torr. & Gray ex Hooker							species	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2016-04-15T20:59Z							REFERENCES_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2014-09-04T16:28Z	2014-09-04T16:28Z
1003497517													12-02-19													JN707278													2012-02-19T00:00Z																								UNKNOWN				JN707278																JN707278																																					CA												49.43	-115.42																																									3694								Populus trichocarpa Torr. & Gray ex Hooker							species	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2016-04-15T20:59Z							REFERENCES_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2014-09-04T16:28Z	2014-09-04T16:28Z
1003497524													12-02-19													JN707300													2012-02-19T00:00Z																								UNKNOWN				JN707300																JN707300																																					CA												49.43	-115.42																																									3694								Populus trichocarpa Torr. & Gray ex Hooker							species	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2016-04-15T20:59Z							REFERENCES_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2014-09-04T16:28Z	2014-09-04T16:28Z
466345769																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V32079		John Davidson																																1924																		CA	British Columbia			"Coast area, Point Grey"								49.26667	-123.26667																																				John Davidson													Populus trichocarpa Torr. & Gray ex Hooker								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE		2013-09-07T09:19Z
1054801106									Populus trichocarpa (UBC V62607)																	170880									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-10-23T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=216272&ass_num=V62607					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				170880	V62607	(29) 2	T.L. Thacker										mounted						Stamens 40-60						Populus trichocarpa by T.L. Thacker 1914						1914-08-23T00:00Z				1914	8	23	1914 Aug 23															CA	British Columbia			"Fraser [river], Dryas Island [opposite of Hope]"								49.36667	-120.56667									Ryan Stratychuk	2013		Ministry of Natural Resource Operations - BC Geographical Names																								T.L. Thacker	1914-01-01T00:00Z												Populus trichocarpa Torr. & Gray ex Hooker								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918956775									Populus trichocarpa (UBC V231500)																	153255									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-02-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=192763&ass_num=V231500					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				153255	V231500	633	F. Fodor										mounted												Populus trichocarpa by Katherine I. Beamish 1971						1968-06-19T00:00Z				1968	6	19	1968 Jun 19															CA	British Columbia			Kimberley								49.68333	-114.01667																																				Katherine I. Beamish	1971-01-01T00:00Z												Populus trichocarpa Torr. & Gray ex Hooker								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
894998045																										4117									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											University of Lethbridge Herbarium										urn:lsid:biocol.org:col:14547		University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				4117	urn:lsid:biocol.org:col:14547		48 H. C.														stand of P. trichocarpa														1970-06-04T00:00Z				1970	6	4								appears natural								CA	Alberta			E. side irrigation canal		3175 feet						49.76667	-113.56667																																																	Populus trichocarpa Torr. & Gray ex Hooker								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus		trichocarpa		SPECIES							5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2016-04-16T01:25Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6362904	6	7707728	220	1414	6664	3040183		3040184	Populus balsamifera	Populus		DWC_ARCHIVE	2016-02-11T16:58Z	2016-02-15T16:26Z
