gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1086616695																										BRA:UFPR:UPCB:0000010883									pt											Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.	UPCB - HerbÌÁrio do Departamento de BotÌ¢nica							Collection					UFPR	UPCB	UPCB - HerbÌÁrio do Departamento de BotÌ¢nica	"Universidade Federal do ParanÌÁ, UFPR"	PRESERVED_SPECIMEN				BRA:UFPR:UPCB:0000010883	10883	86440	"Ahles, H.E."																												1979-04-01T00:00Z				1979	4	1																US				"Massachusetts, Hampshire, cultivated, Saint Bridgett Cemetery, Hadley"																																																										Pseudotsuga menziesii (Mirb.) Franco								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii		SPECIES							a51fa32f-831d-49d6-8b8a-c7b52ae65b3b	BR	2016-04-17T15:20Z									FALSE	FALSE	2685796	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2015-12-09T13:33Z	2016-06-06T15:37Z
1022078831																										31fd6959-2304-4d4c-8e63-fe28285ace27																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UC502911&related=yes																	UC	VascularPlants			PRESERVED_SPECIMEN					UC502911	8960	Joseph P. Tracy																																			Jul 16 1930-Jul 19 1930															US	California	Humboldt		near McKay Camp; South Fork Mountain		5500 ft						40.6109	-123.5595	825											GoogleMaps via BerkeleyMapper (copied from UC502907)																																					Pseudotsuga menziesii (Mirb.) Franco								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii		SPECIES							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z									TRUE	FALSE	2685796	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:37Z	2016-01-29T19:37Z
1022202945																										urn:catalog:CAS:DS:387384																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?DS387384&related=yes																	DS	VascularPlants			PRESERVED_SPECIMEN					DS387384	4706	John H. Thomas																												1955-03-21T00:00Z				1955	3	21	21-Mar-55															US	California	Santa Cruz		About 1 miles below Saratoga Summit.		2450 ft						37.255	-122.13333																																																	Pseudotsuga menziesii (Mirb.) Franco								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii		SPECIES							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685796	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T20:22Z	2016-01-29T20:22Z
1022269602																										7012522c-4187-4c65-a78f-fb59296ddc4f																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?JEPS48435&related=yes				1													JEPS	VascularPlants			PRESERVED_SPECIMEN					JEPS48435		Kate Jared Stirring																												1918-11-22T00:00Z				1918	11	22	Nov 22 1918															US	California	Shasta		"McArthur Fall River, McArthur"								41.04983815	-121.3994	821											Terrain Navigator Pro																																					Pseudotsuga menziesii var. menziesii								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii	menziesii	VARIETY							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z							COORDINATE_REPROJECTED		TRUE	FALSE	2685797	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:56Z	2016-01-29T19:56Z
1022293544																										urn:catalog:CAS:DS:291																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?DS291&related=yes																	DS	VascularPlants			PRESERVED_SPECIMEN					DS291	s.n.	unspecified																												1894-03-24T00:00Z				1894	3	24	"Mar. 24, 1894."															US	California	San Mateo		Fl. near Pescadero Cr.																																																										Pseudotsuga menziesii (Mirb.) Franco								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii		SPECIES							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z									FALSE	FALSE	2685796	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:57Z	2016-01-29T19:57Z
1022304030																										http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM223619&related=yes																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM223619&related=yes																	POM	VascularPlants			PRESERVED_SPECIMEN					POM223619	s.n.	S. S. Berry																												1909-03-13T00:00Z				1909	3	13	Mar 13 1909															US	California	San Mateo		King\'s Mountain.		640 m						37.4406	-122.3235	4000											Geolocate (copied from POM132205)																																					Pseudotsuga menziesii (Mirb.) Franco								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii		SPECIES							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z									TRUE	FALSE	2685796	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:57Z	2016-01-29T19:57Z
1022394762																										http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?JROH127&related=yes																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?JROH127&related=yes																	JROH	VascularPlants			PRESERVED_SPECIMEN					JROH127	20222	John Hunter Thomas																												1981-02-14T00:00Z				1981	2	14	2/14/1981															US	California	San Mateo		"Jasper Ridge Biological Preserve, Stanford University"								37.408	-122.2275	2380											Geolocate (copied from JROH1031)																																					Pseudotsuga menziesii var. menziesii								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii	menziesii	VARIETY							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z									TRUE	FALSE	2685797	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:58Z	2016-01-29T19:58Z
1022441955																										http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC55157&related=yes																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC55157&related=yes																	HSC	VascularPlants			PRESERVED_SPECIMEN					HSC55157	12110	Gilbert Muth																												1979-08-01T00:00Z				1979	8	1	Aug 1 1979															US	California	Humboldt		"Near Horse Trail Ridge, close to the town of Hoopa"		1877 m						41.12392	-123.48061																																																	Pseudotsuga menziesii var. menziesii								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii	menziesii	VARIETY							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685797	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:59Z	2016-01-29T19:59Z
1022477559																										http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC79439&related=yes																http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC79439&related=yes																	HSC	VascularPlants			PRESERVED_SPECIMEN					HSC79439	1053	Kenneth Clark																												1980-11-28T00:00Z				1980	11	28	Nov 28 1980															US	California	Humboldt		"Above Point No Pass, throughout Shelter Cove"		305 m						40.0289	-124.0571	600											GoogleMaps via BerkeleyMapper (copied from HSC79368)																																					Pseudotsuga menziesii var. menziesii								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii	menziesii	VARIETY							4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	US	2016-04-17T15:18Z									TRUE	FALSE	2685797	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE	2016-01-29T19:59Z	2016-01-29T19:59Z
466186562																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V217561		A.S. Harrison																												1966-05-04T00:00Z				1966	5	4																CA	British Columbia			"Vancouver Island, west side of Bear Hill,"								48.54167	-123.40833																																				C.C. Chuang													Pseudotsuga menziesii (Mirb.) Franco								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga		menziesii		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685796	6	7707728	194	640	3925	2685775		2685796	Pseudotsuga menziesii	Pseudotsuga		DWC_ARCHIVE		2013-09-07T09:19Z
