gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466113436																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V194677		Bruce A. Bohm																												1987-06-17T00:00Z				1987	6	17																CA	British Columbia			cypress provincial park																																																										Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z									FALSE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE		2013-09-07T09:19Z
466123412																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V59916		Freek Vrugtman																												1956-07-01T00:00Z				1956	7	1																CA	British Columbia			"Manning Park, Windy Joe Mountain"																																																										Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z									FALSE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE		2013-09-07T09:19Z
466243283																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V148166		P.C. Martin																												1974-10-21T00:00Z				1974	10	21																CA	British Columbia			"brohm ridge, west of Mt. Garibaldi"								49	-123																																				Peggy C. Martin 1974													Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE		2013-09-07T09:19Z
466257990																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V75921		Vladimir J. Krajina																												1949-08-20T00:00Z				1949	8	20																CA	British Columbia			"Lytton, Stein River Valley"								50.26667	-121.91667																																				Thomas M.C. Taylor 1958													Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE		2013-09-07T09:19Z
918852305									Rhododendron albiflorum (UBC V16381)																	47261									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-02-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=49595&ass_num=V16381					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				47261	V16381	629	Eli Wilson										mounted																		1905-07-01T00:00Z				1905	7	1	1905 Jul	mountains														CA	British Columbia			Trout Lake																																																										Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z									FALSE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918862008									Rhododendron albiflorum (UBC V165216)																	57170									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=59623&ass_num=V165216					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				57170	V165216	7	John Cuddeford										mounted																		1974-09-19T00:00Z				1974	9	19	1974 Sep 19	"edge of heavy forest, gentle slope, well drained soil"														CA	British Columbia			"Greater Vancouver Regional District, North Vancouver, Mount Seymour"		945 m						49.35	-122.91667					unknown																																												Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918883809									Rhododendron albiflorum (UBC V172456)																	79171									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-09-26T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=81789&ass_num=V172456					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				79171	V172456	164	Arle Kruckeberg										mounted																		1981-07-24T00:00Z				1981	7	24	1981 Jul 24	common														CA	British Columbia			silver mine tunnel w. of Takla Bralorne mine & surrounding slopes		1372-1524 m						55.56667	-125.41667					unknown																															Arle Kruckeberg													Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918887946									Rhododendron albiflorum (UBC V169760)																	83367									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=86057&ass_num=V169760					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				83367	V169760	s.n.	Corinne J. Selby										mounted						"voucher for thesis, plot 209"												1981-08-19T00:00Z				1981	8	19	1981 Aug 19	mesic Pinus contorta -Rhododendron albiflorum site with shrubs to 3 ft. tallno evidence of cattle but much deer droppings present														CA	British Columbia			North facing slope south of Relay Creek cabin								51.18333	-122.96667					unknown																															Corinne J. Selby													Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918900018									Rhododendron albiflorum (UBC V95109)																	95571									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-02-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=98433&ass_num=V95109					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				95571	V95109	e-18	Earl Dodson										mounted																		1960-07-21T00:00Z				1960	7	21	1960 Jul 21	moderately well drained areas in semi shade under mountain fir														CA	British Columbia			Seymour Lake		1554 m																																											John W. Eastham													Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z									FALSE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918902968									Rhododendron albiflorum (UBC V82501)																	98552									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-02-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=101432&ass_num=V82501					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				98552	V82501	234	W.W. Mair										mounted																		1949-08-16T00:00Z				1949	8	16	1949 Aug 16															CA	Alberta			along trail to cirque lake																																													John W. Eastham 1960													Rhododendron albiflorum Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron		albiflorum		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T14:51Z									FALSE	FALSE	2883078	6	7707728	220	1353	2505	2883026		2883078	Rhododendron albiflorum	Rhododendron		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
