gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466306584																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V226128		Gerald B. Straley																												1997-04-13T00:00Z				1997	4	13																CA	British Columbia			"Burnaby, foot of Beesborough Drive, Scenic Park"								49.21667	-122.96667																																				Gerald B. Straley													Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE		2013-09-07T09:19Z
466325612																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229664		Miranda Corkum																												2004-04-11T00:00Z				2004	4	11																CA	British Columbia			"Gabriola Island, southern end of island next to Silva Bay, 3315 South Road"								49.1486	-123.70467																																				Miranda Corkum													Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE		2013-09-07T09:19Z
1099089672																																																											SNSB-M	BSMeryscoll			PRESERVED_SPECIMEN				http://id.snsb.info/Collection/2080-3291-2080	M-0017890 / 3291 / 2080		"Braun, U."																												1994-08-18T00:00Z				1994	8	18																CA				"Canada. British Columbia, Vancouver, campus of the University of British Columbia, Botanic Garden, native garden. 49ŒÁ18' N, 123ŒÁ10' E. Alt. c. 90 m. On leaves of Rubus spectabilis Pursh."								49.3	-123.16666																																																	Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES							858d51e0-f762-11e1-a439-00145eb45e9a	DE	2016-04-17T14:14Z							COORDINATE_ROUNDED;PRESUMED_NEGATED_LONGITUDE	STILLIMAGE	TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		BIOCASE	2016-03-13T01:38Z	2016-06-06T16:26Z
918855424									Rubus spectabilis (UBC V196653)																	50190									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-06-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=52540&ass_num=V196653					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				50190	V196653	4612	Gerald B. Straley										mounted						unusual form with mostly simple leaves						Rubus spectabilis by Gerald B. Straley 1988						1988-04-23T00:00Z				1988	4	23	1988 Apr 23	edge of woods														CA	British Columbia			"southern Galiano Island, roadside near entrance to Bluff Park"								48.91667	-123.33333					unknown																															Gerald B. Straley	1988-01-01T00:00Z												Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918963535									Rubus spectabilis (UBC V32411)																	159935									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-07T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=203185&ass_num=V32411					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				159935	V32411	s.n.	John Davidson										mounted						Salmon berry						Rubus spectabilis by John Davidson 1917; ! Thomas M.C. Taylor 1967						1917-05-01T00:00Z				1917	5	1	1917 May 01															CA	British Columbia			"Coast area, Kerrisdale"								49.21638216	-122.8509898																																				John Davidson	1917-01-01T00:00Z												Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918965187									Rubus spectabilis (UBC V37828)																	161713									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-09-26T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=205123&ass_num=V37828					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				161713	V37828	635	Thomas M.C. Taylor; W.H. Lewis										mounted						corolla rose						Rubus spectabilis by Thomas M.C. Taylor 1952; ! Thomas M.C. Taylor 1967						1952-06-27T00:00Z				1952	6	27	1952 Jun 27	on damp hillside on edge of woods														CA	British Columbia			Prudäó»homme Lake		200 m						54.25	-130.08333					unknown																															Thomas M.C. Taylor	1952-01-01T00:00Z												Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918965204									Rubus spectabilis (UBC V152701)																	161747									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-03-21T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=205157&ass_num=V152701					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				161747	V152701	s.n.	Vladimir J. Krajina; Jim Pojar; C. Parsons										mounted												"Rubus spectabilis by Vladimir J. Krajina, Jim Pojar 1974"						1974-07-11T00:00Z				1974	7	11	1974 Jul 11	subalpine forest														CA	British Columbia			"west slopes of lower Howson Creek (drains north into the Telkwa River), 2 miles up from the mining road from the Telkwa River"		2750 ft						54.55	-127.55					unknown																															Vladimir J. Krajina; Jim Pojar	1974-01-01T00:00Z												Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918966059									Rubus spectabilis (UBC V236947)																	162773									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-08-19T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=206183&ass_num=V236947					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				162773	V236947	846	E.R. Manton; K. McGrath										mounted												Rubus spectabilis by E.R. Manton 2012						2011-08-08T00:00Z				2011	8	8	2011 Aug 08															CA	British Columbia			"Greater Vancouver Regional District, Mt. Seymour Provincial Park, Mount Seymour trail"		1171 m												WGS84																															E.R. Manton	2012-01-01T00:00Z												Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_INVALID	STILLIMAGE	FALSE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
894997465																										1478									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Herbarium University of Lethbridge										urn:lsid:biocol.org:col:14547		University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				1478	urn:lsid:biocol.org:col:14547		3155 Job Kuijt																												1969-04-25T00:00Z				1969	4	25		woods around Lake														CA	British Columbia			Teanook Lake																																																										Rubus spectabilis Pursh								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES							5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2016-04-16T01:23Z									FALSE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-11T16:58Z	2016-02-15T16:26Z
1140200110																										L.1919892																																	Naturalis	Botany			PRESERVED_SPECIMEN				http://data.biodiversitydata.nl/naturalis/specimen/L.1919892	L.1919892		Henry  LK																												1924-06-15T00:00Z				1924	6	15	24-06-15															CA				"Ocean Park, British Columbia."																																																										Rubus spectabilis Pursh							Plantae|Magnoliopsida|Rosales|Rosaceae	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus		spectabilis		SPECIES	species		ICN				15f819bd-6612-4447-854b-14d12ee1022d	NL	2016-04-17T15:56Z									FALSE	FALSE	2993761	6	7707728	220	691	5015	2988638		2993761	Rubus spectabilis	Rubus		DWC_ARCHIVE	2016-02-02T00:57Z	2016-05-25T22:11Z
