gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466248485																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V168351		"Richard M. Annas, Karl Klinka"																												1973-07-11T00:00Z				1973	7	11																CA	British Columbia			"Cassiar District, Oweegee Mt."								56.65	-129.61667																																				R.M. Annas													Sorbus sitchensis M. Roemer								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3012319	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE		2013-09-07T09:19Z
466344112																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V62800		John Davidson																																1912																		CA	British Columbia			"Coast area, Garibaldi Mountain-region"								49	-123																																				John Davidson													Sorbus sitchensis var. grayi (Wenzig) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis	grayi	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6286630	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE		2013-09-07T09:19Z
1054801181									Sorbus sitchensis var. sitchensis (UBC V80507)																	170955									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-11-08T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=216347&ass_num=V80507					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				170955	V80507	s.n.	Anonymous										mounted												Sorbus by Anonymous 1915; Sorbus pitchensis Det. John W. Eastham 1960; ! Thomas M.C. Taylor 1967; Sorbus sitchensis var. sitchensis Det. Peter F. Zika WTU 2006						1915-07-08T00:00Z				1915	7	8	1915 Jul 8															CA	British Columbia			Tulameen River Basin								49.45	-119.5									Ryan Stratychuk	2013		Ministry of Natural Resource Operations - BC Geographical Names																								Peter F. Zika	2006-01-01T00:00Z												Sorbus sitchensis M. Roemer var. sitchensis								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis	sitchensis	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	3013175	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
918880664									Sorbus sitchensis (UBC V176981)																	75988									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-09-26T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=78596&ass_num=V176981					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				75988	V176981	1555	Wynne Gorman										mounted						"Stikine-Iskut Habitat Utilization Report,BC Hydro & Power(see files)"												1979-08-19T00:00Z				1979	8	19	1979 Aug 19	floodplain														CA	British Columbia			"3 km north of Forrest Kerr Creek, 0.5 km south of More Creek tributary"		549-566 m												unknown																																												Sorbus sitchensis M. Roemer								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_INVALID		FALSE	FALSE	3012319	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918962518									Sorbus sitchensis var. grayi (UBC V32895)																	158776									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-08-20T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=202025&ass_num=V32895					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				158776	V32895	s.n.	John Davidson										mounted	"Duplicate of V62800, sent to V 2012 Aug"					"mountain ash, frequent"						"Pyrus occidentalis by John Davidson 1912; Sorbus sitchensis Det. Thomas M.C. Taylor 1967; Sorbus sitchensis var. grayi Det. P.F. Zika 2007, WTU, Flora of North America"						1912-08-01T00:00Z				1912	8	1	1912 Aug	Open wooded moorland														CA	British Columbia			"Coast area, Garibaldi Mountain-region"		5100 ft						48.99971063	-123.0009887																																				John Davidson	1912-01-01T00:00Z												Sorbus sitchensis var. grayi (Wenzig) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis	grayi	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	6286630	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
1054801381									Sorbus sitchensis var. grayi (UBC V32894)																	171170									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2013-10-30T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=216576&ass_num=V32894					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				171170	V32894	s.n.	J.A. Teit										mounted												Pyrus occidentalis by J.A. Teit 1914; Sorbus sitchensis var. grayi Det. Thomas M.C. Taylor 1967; Sorbus sitchensis var. grayi ! Peter F. Zika 2006 WTU						1914-08-10T00:00Z				1914	8	10	1914 Aug 10															CA	British Columbia			"Fraser, Thompson Creek, Nicomin Plateau"																																													Thomas M.C. Taylor	1967-01-01T00:00Z												Sorbus sitchensis var. grayi (Wenzig) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis	grayi	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z								STILLIMAGE	FALSE	FALSE	6286630	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
768788670																										urn:catalog:UConn:CONN:CONN00158380																																163417	UConn	CONN			PRESERVED_SPECIMEN					CONN00158380	6094	E.H. Eames & C.C. Godfrey						fruiting										large tree						Pyrus sitchensis (M. Roem.) Piper						1908-08-07T00:00Z				1908	8	7	07-Aug-08	riverbank									Blow-me-down Mountains					CA	Newfoundland and Labrador	Newfoundland	York Harbour	Blow-me-down Mountains	"On riverbank, Blow-me-down Mountains"	100 FT				minutes added from gazetteer		49.05	-58.38333	5000											"National Geospatial Intelligence Agency no date. Geonames, the NGA Geonet Names Server (GNS)."																																					Sorbus sitchensis subsp. sitchensis							Dicotyledonae	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis	sitchensis	SUBSPECIES							5288946d-5fcf-4b53-8fd3-74f4cc6b53fc	US	2016-04-16T01:52Z	30	0					GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7271998	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2015-11-26T13:30Z	2015-11-26T13:30Z
574893247																										http://data.rbge.org.uk/herb/E00228840													2007-10-24T00:00Z															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PRESERVED_SPECIMEN				http://data.rbge.org.uk/herb/E00228840	E00228840	1689A	"Howick, C. & McNamara, A."										herbarium specimen of unspecified type					BGBASE:242790	decidous shrub to 3m with large oval or round berries												1993-09-09T00:00Z		252		1993	9	9	93-09-09						infrequent in full sun on sandy gravel on a north facing granite road embankment with Rubus in front of a mixed conifer forest				North America					CA	British Columbia			20 km south of Whistler on Highway 99		620 M											degrees minutes seconds																																													Sorbus sitchensis M. Roemer								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis		SPECIES			ICBN				bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2016-04-16T01:23Z	620	0							FALSE	FALSE	3012319	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2014-05-29T14:49Z	2016-06-06T13:37Z
918877343									Sorbus sitchensis (UBC V185666)																	72584									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=75168&ass_num=V185666					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				72584	V185666	4970	Vladimir J. Krajina; R.H. Spilsbury; Adam F. Szczawinski										mounted																		1950-07-23T00:00Z				1950	7	23	1950 Jul 23															CA	British Columbia			"Vancouver Island, Green Mountain"		1200 m						49.05	-124.31667					unknown																																												Sorbus sitchensis M. Roemer								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3012319	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
918891367									Sorbus sitchensis var. grayi (UBC V215588)																	86813									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-04-05T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=89538&ass_num=V215588					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				86813	V215588	5120	Helen Kennedy; Fred R. Ganders; Tom Baumann										mounted						"Small treelet to 3 m. Young stems olive-green, older branches dark brown-purple. Leaflets green. Petiole and rachis tinged purple above. Calyx pale green. Petals, filament, and styles white. Anthers cream-coloured. Common.  Small treelet to 3 m. Young stems olive-green, older branches dark brown-purple. Leaflets green. Petiole and rachis tinged purple above. Calyx pale green. Petals, filament, and styles white. Anthers cream-coloured. Common.  NV. Sitka Mountain-Ash  Dupl.=2"												1997-07-30T00:00Z				1997	7	30	1997 Jul 30	"on steep gravely slope with Rhododendron,"														CA	British Columbia			"Cascade Mountains, Skagit Range southeast of Chilliwack, Mount McGuire, gravel road in to base of Mt. at washed out area."		1400 m						49.02028	-121.75167					unknown																															Fred R. Ganders 1997													Sorbus sitchensis var. grayi (Wenzig) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sorbus		sitchensis	grayi	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:33Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	6286630	6	7707728	220	691	5015	3012146		3012319	Sorbus sitchensis	Sorbus		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
