gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1265536061																										2516129										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-16T00:39Z			http://www.inaturalist.org/observations/2516129				Ω abr some rights reserved	abr												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2516129	2516129		abr																												2012-07-05T00:04Z	22:04:59Z			2012	7	5	12-07-04 15:04															CA					Wells Gray Provincial Park							51.82984	-120.03214	374																																4686582				2015-12-30T08:26Z				84724								Spiraea betulifolia Pall.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:32Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	3026550	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1052566164																										358900										http://creativecommons.org/licenses/by-nc/4.0/			2014-12-14T06:06Z			http://www.inaturalist.org/observations/358900				Ω podiceps some rights reserved	podiceps												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/358900	358900		podiceps																Seen about .4 mile from the bridge crossing of the Ohanapecosh River along the East Side trail												2013-08-01T00:00Z				2013	8	1	13-08-01															US												46.801	-121.561																																	592728				2013-08-07T01:31Z				84724								Spiraea betulifolia Pall.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:51Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	3026550	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1265534181																										1927901										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-01T21:58Z			http://www.inaturalist.org/observations/1927901				Ω Dave Scamardella some rights reserved	Dave Scamardella												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1927901	1927901		Dave Scamardella																												2015-08-23T00:00Z				2015	8	23	15-08-23															US					"Kootenai County, US-ID, US"							47.70555	-116.43336	178																																3668385				2015-09-08T19:30Z				84724								Spiraea betulifolia Pall.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:09Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	3026550	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
898955815																										63-6650																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-6650		"[H.A. Senn, E.W. Tisdale & A.C. Budd #2329] SASK #14983 DAO s.n."																											1	1976-06-12T00:00Z				1976	6	12								http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			MAPLE CREEK																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	373	8							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
898955554																										63-7752																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-7752		[G.D. McPherson #499] ALTA #54663																											9	1971-09-27T00:00Z				1971	9	27								http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			MAPLE CREEK																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	375.5	3.5							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
898956442																										63-3259																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-3259		[A.J. Breitung #5430] DAO s.n.																											3	1947-08-05T00:00Z				1947	8	5								http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			MAPLE CREEK																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	349.5	5.5							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
898956672																										63-7753																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-7753		SASK #14984 SASK #14988																											10															http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			MAPLE CREEK																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	413.5	4.5							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
898962991																										63-85																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-85		[J.H. Hudson #2147] DAO s.n.																											5	1962-08-16T00:00Z				1962	8	16								http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			MAPLE CREEK																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	383.5	2.5							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
898955858																										63-660																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-660		[A.J. Breitung #4846] DAO s.n.																											11	1947-07-15T00:00Z				1947	7	15								http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			"MAPLE CREEK, PIAPOT"																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	329.5	4.5							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
898957173																										63-6809																				"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset."	NatureServe												NTSRV	SK-CDC	NatureServe Network Species Occurrence Data		LITERATURE					63-6809		[G.F. Ledingham & Mary Sauchyn #8728] USAS #9877																											8	1984-08-02T00:00Z				1984	8	2								http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146701				NORTH_AMERICA				CA	Saskatchewan			MAPLE CREEK																																																			530514							Spiraea betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.								Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Spiraea		betulifolia	lucida	VARIETY							7fd12114-9010-4c13-8f46-990fe04ca882	US	2016-04-17T16:15Z	401	6							FALSE	FALSE	6368799	6	7707728	220	691	5015	3026392		3026550	Spiraea betulifolia	Spiraea		DWC_ARCHIVE	2015-05-19T14:17Z	2015-05-19T14:17Z
