gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
466116688																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V138994		David L. Krause																												1968-08-05T00:00Z				1968	8	5																CA	British Columbia			summit of Kootenay pass																																													D. Krause													Tiarella trifoliata var. unifoliata (Hook.) Kurtz								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata	unifoliata	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	5567764	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466135651																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V109620		"J.B. Foster, M. Bigg"																												1961-08-05T00:00Z				1961	8	5																CA	British Columbia			"Queen Charlotte Islands, Moresby Island, Kunghit Island"								52.1	-131.08333																																																	Tiarella trifoliata L.								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5371609	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466138391																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V124822		"James A. Calder, Roy L. Taylor"																												1964-07-25T00:00Z				1964	7	25																CA	British Columbia			"Queen Charlotte Islands, Moresby Island, Lake Takaia, about 10 miles south of Moresby logging camp, head of Cumshewa Inlet"																																																										Tiarella trifoliata var. unifoliata (Hook.) Kurtz								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata	unifoliata	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	5567764	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466146434																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V138975		"Katherine I. Beamish, Freek Vrugtman, C. Campbell"																												1961-05-25T00:00Z				1961	5	25																CA	British Columbia			"Squamish-Lillooet Regional District, 9 miles north of Squamish, just beyond Cheekye, logging road just beyond bridge turning east"								49.8	-123.15																																																	Tiarella trifoliata L.								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5371609	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466165674																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V59103		"Thomas M.C. Taylor, Adam F. Szczawinski, Marc Bell"																												1956-07-15T00:00Z				1956	7	15																CA	British Columbia			"mile 46, Haines Road"																																																										Tiarella trifoliata var. unifoliata (Hook.) Kurtz								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata	unifoliata	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	5567764	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466178627																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V181632		"Roy L. Taylor, L.C. Sherk"																												1963-06-10T00:00Z				1963	6	10																CA	British Columbia			"4.1 miles west of Kinnaird on Highway 3, on road to Christina Lake"																																																										Tiarella unifoliata Hook.								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		unifoliata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	6447325	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466180605																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V194459		A.A. Rose																												1987-06-21T00:00Z				1987	6	21																CA	British Columbia			"Meager Creek hot springs, north of Pemberton, Lillooet District"								50.5	-123.5																																				A.A. Rose													Tiarella trifoliata L.								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5371609	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466210023																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V41554		Hubert H. Brown																												1933-07-26T00:00Z				1933	7	26																CA	British Columbia			N Vancouver																																													Hubert H. Brown													Tiarella trifoliata L.								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z									FALSE	FALSE	5371609	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
466212164																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V130366		J.G. Sutherland																												1970-09-02T00:00Z				1970	9	2																CA	British Columbia			"Whistler Mt., near water tower, Garibaldi Park"								50	-122																																				J.G. sutherland													Tiarella trifoliata var. unifoliata (Hook.) Kurtz								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata	unifoliata	VARIETY							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	5567764	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE		2013-09-07T09:19Z
918846348									Tiarella trifoliata var. trifoliata (UBC V138965)																	41106									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2014-08-01T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=43384&ass_num=V138965					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				41106	V138965	71	A.M. Clemens										mounted												"Tiarella trifoliata by A.M. Clemens 1932; Tiarella trifoliata var. lacinata Con. Jamie D. Fenneman 2013, University of British Columbia Herbarium"						1932-05-01T00:00Z				1932	5	1	1932 May															CA	British Columbia			"Vancouver Island, Nanaimo, Departure Bay"								49.2	-123.96667					unknown																															Jamie D. Fenneman	2013-01-01T00:00Z												Tiarella trifoliata Linnaeus var. trifoliata								Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Tiarella		trifoliata	trifoliata	VARIETY			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:36Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7219288	6	7707728	220	7219248	2402	3032599		5371609	Tiarella trifoliata	Tiarella		DWC_ARCHIVE	2016-02-15T18:09Z	2016-02-15T18:09Z
