gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
465876733									Trientalis borealis (CBU CBU3926)																	22528									en							http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?22528				http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms	Acadia University							PhysicalObject			urn:lsid:biocol.org:col:13294	http://dataset.canadensys.net/acad-specimens	Acadia University	CBU	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN				22528	CBU3926	C1697	"Sneddon, C"																												2001-06-16T00:00Z				2001	6	16		Growing throughout mixed woods beside brook										NORTH_AMERICA				CA	Nova Scotia	Inverness		"MacKinnons Brook, Mabou Highland trails"								46.15	-61.43333																																																	Trientalis borealis Raf.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				e8a25a42-f125-476c-8554-3ec21cd51a84	CA	2016-04-17T17:13Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3169297	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Trientalis		DWC_ARCHIVE	2014-06-17T20:56Z	2015-05-13T15:03Z
466288497																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V222085		M.I. Moore																												1965-12-18T00:00Z				1965	12	18																CA	Ontario			"Renfrew County, Deep River."																																																										Trientalis borealis Raf.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:28Z									FALSE	FALSE	3169297	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Trientalis		DWC_ARCHIVE		2013-09-07T09:19Z
473305844									MT00123640																	123640									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-12-04T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				123640	MT00123640	9310	"Rouleau, Ernest"										mounted																		1963-08-24T00:00Z				1963	8	24	"Aug. 24, 1963"	Steep moist turfy slopes										NORTH_AMERICA				CA	Labrador			Mealy Mountains								53.41667	-59.25					unknown																															"Brouillet, Luc"	2014-06-03T00:00Z												Lysimachia borealis (Raf.) U.Manns & Anderb.	Lysimachia borealis (Rafinesque) U. Manns & Anderberg							Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7983163	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Lysimachia		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
473324421									MT00135295																	135295									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				135295	MT00135295	740031	íŠquipe de l'UQAM 1974										mounted																		1974-05-29T00:00Z				1974	5	29	29/05/74	Sous-bois; pruchaie íæ bouleau jaune										NORTH_AMERICA				CA	Quí©bec	Le Haut-Richelieu		"RiviíÂre du Sud, rive ouest, lot 4"																																													"Brouillet, Luc"	2014-06-03T00:00Z												Lysimachia borealis (Raf.) U.Manns & Anderb.	Lysimachia borealis (Rafinesque) U. Manns & Anderberg							Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z									FALSE	FALSE	7983163	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Lysimachia		DWC_ARCHIVE	2016-02-24T16:25Z	2016-02-24T16:25Z
473563951									MT00080998																	80998									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				80998	MT00080998	3050	"Rouleau, Ernest"										mounted																		1952-07-12T00:00Z				1952	7	12	12-Jul-52	Wind-swept rocky barrens										NORTH_AMERICA				CA	Newfoundland	Humber West District		"Eagle's Nest Brook (western branch of), or Mine Brook, York Harbour Mine (plateau south of)"																																													"Brouillet, Luc"	2014-06-03T00:00Z												Lysimachia borealis (Raf.) U.Manns & Anderb.	Lysimachia borealis (Rafinesque) U. Manns & Anderberg							Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z									FALSE	FALSE	7983163	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Lysimachia		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
473563953									MT00080999																	80999									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-11-29T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				80999	MT00080999	3085	"Rouleau, Ernest"										mounted																		1952-07-13T00:00Z				1952	7	13	13-Jul-52	Coniferous woods along the trail										NORTH_AMERICA				CA	Newfoundland	Humber West District		"Eagle's Nest Brook (western branch of), or Mine Brook, (midway between Blomidon Brook, Number Four and)"																																													"Brouillet, Luc"	2014-06-03T00:00Z												Lysimachia borealis (Raf.) U.Manns & Anderb.	Lysimachia borealis (Rafinesque) U. Manns & Anderberg							Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z									FALSE	FALSE	7983163	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Lysimachia		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
473575724									MT00000941																	941									en|fr	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2015-12-04T00:00Z								Universití© de Montrí©al Biodiversity Centre							PhysicalObject			urn:lsid:biocol.org:col:14437	http://dataset.canadensys.net/mt-specimens	Universití© de Montrí©al Biodiversity Centre	MT	Marie-Victorin Herbarium (MT)	Marie-Victorin Herbarium (MT)	PRESERVED_SPECIMEN				941	MT00000941	12	"Epiphane, Franí_oise"										mounted																		1991-06-23T00:00Z				1991	6	23	23 Juin 1991	"TourbiíÂre. Terrain acide, humide et peu drainí©. EspíÂces compagnes: Mousses"										NORTH_AMERICA				CA	Quí©bec	Les Laurentides	La Minerve	"Municipalití© de La Minerve. Minerve-sur-le -lac. Chemin Rivard, lot 37."								46.26667	-74.93333					unknown																															"Brouillet, Luc"	2014-06-03T00:00Z												Lysimachia borealis (Raf.) U.Manns & Anderb.	Lysimachia borealis (Rafinesque) U. Manns & Anderberg							Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				0348540a-e644-4496-89d3-c257da9ad776	CA	2016-04-17T16:34Z							COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	7983163	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Lysimachia		DWC_ARCHIVE	2016-02-24T16:26Z	2016-02-24T16:26Z
668779502									Trientalis borealis Raf. (QFA0419417)																	QFA0419417									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universití© Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universití© Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universití© Laval	PRESERVED_SPECIMEN				QFA0419417	QFA0419417	65-082	"Gauthier, Robert"										mounted																		1965-06-15T00:00Z				1965	6	15	15 juin 1965	TourbiíÂre íæ í©ricací©es														CA	Quí©bec			"Comtí© de Kamouraska, RiviíÂre-Ouelle, tourbiíÂre Lambert, íæ l'est du village"																																													"Gauthier, Robert"													Trientalis borealis Raf.	Lysimachia borealis (Rafinesque) U. Manns & Anderberg							Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:15Z									FALSE	FALSE	3169297	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Trientalis		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
918963684									Trientalis latifolia (UBC V43338)																	160113									en	http://creativecommons.org/publicdomain/zero/1.0/legalcode			2012-05-07T00:00Z			http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=203363&ass_num=V43338					University of British Columbia							PhysicalObject			urn:lsid:biocol.org:col:15106	http://dataset.canadensys.net/ubc-vascular-specimens	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN				160113	V43338	s.n.	John Davidson										mounted												Trientalis latifolia by John Davidson 1911						1911-05-05T00:00Z				1911	5	5	1911 May 05															CA	British Columbia			"South Vancouver, Bedwell, near reservoir"								48.99971063	-123.0009887																																				John Davidson	1911-01-01T00:00Z												Trientalis latifolia Hook.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		latifolia		SPECIES			ICBN				07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:28Z							COORDINATE_REPROJECTED	STILLIMAGE	TRUE	FALSE	4007714	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Trientalis		DWC_ARCHIVE	2016-02-15T18:10Z	2016-02-15T18:10Z
813290899																																																											Royal Ontario Museum (ROM)	TRT			PRESERVED_SPECIMEN					254340		"Varga, S.; McKay-Kuja, S."																												1984-07-31T00:00Z				1984	7	31												NORTH_AMERICA				CA	Ontario			"Georgina Tp., Zephyr Creek Swamp ANSI, Northern portion of the ANSI on broad lowlands of Zephyr Creek."								44.2602	-79.25829																																				"Varga, S."													Trientalis borealis Raf.								Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Trientalis		borealis		SPECIES							d9522343-146c-4d6b-b312-543d4d8ca0e8	CA	2016-04-17T15:28Z							COORDINATE_ROUNDED;COORDINATE_PRECISION_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	3169297	6	7707728	220	1353	6674	3169294		3169297	Trientalis borealis	Trientalis		DWC_ARCHIVE		2013-09-07T09:56Z
