gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1229922035																										1817050										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-19T22:33Z			http://www.inaturalist.org/observations/1817050				Ω eagleloft some rights reserved	eagleloft												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/1817050	1817050		eagleloft																												2015-07-30T21:07Z	19:07:37Z			2015	7	30	Thu Jul 30 2015 12:07:37 GMT-0700 (PDT)															CA					"Cowichan River, BC, Canada"							48.8283	-124.03874																																	3551958				2015-08-21T05:00Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:07Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z
1249277076																										2577895										http://creativecommons.org/licenses/by-nc/4.0/			2016-03-15T06:56Z			http://www.inaturalist.org/observations/2577895				Ω chlorophilia some rights reserved	chlorophilia												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2577895	2577895		chlorophilia																												2016-01-12T00:00Z				2016	1	12	16-01-12															CA					Galiano Island							48.88164	-123.36066	5																																4800250				2016-01-13T03:28Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1269546800																										3123072										http://creativecommons.org/licenses/by-nc/4.0/			2016-05-08T03:47Z			http://www.inaturalist.org/observations/3123072				Ω galianotwins some rights reserved	galianotwins												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/3123072	3123072		galianotwins																												2016-05-07T00:00Z				2016	5	7	16-05-07															CA					"Galiano Island, BC"							48.91591	-123.42292	87																																6045873				2016-05-08T03:07Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:45Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1227727032																										2405179										http://creativecommons.org/licenses/by/4.0/			2015-11-24T02:52Z			http://www.inaturalist.org/observations/2405179				Ω Riley Pollom some rights reserved	Riley Pollom												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/2405179	2405179		Riley Pollom																												2015-11-21T19:26Z	18:26:40Z			2015	11	21	2015-11-21 10:26:40 AM PST															CA												49.26274	-123.25061	10																																4420807				2015-11-21T18:56Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:28Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1265539027																										2810121										http://creativecommons.org/licenses/by/4.0/			2016-03-28T23:19Z			http://www.inaturalist.org/observations/2810121				Ω Riley Pollom some rights reserved	Riley Pollom												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/2810121	2810121		Riley Pollom																												2016-03-20T21:16Z	20:16:00Z			2016	3	20	2016-03-20 1:16:00 PM PDT															CA					"9211 Emerald Dr Whistler, BC V0N 1B9"							50.16006	-122.92725	27																																5547742				2016-03-28T23:19Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:39Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1253313986																										2731813										http://creativecommons.org/licenses/by-nc/4.0/			2016-02-29T19:21Z			http://www.inaturalist.org/observations/2731813				Ω alextrifonidis some rights reserved	alextrifonidis												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2731813	2731813		alextrifonidis																Its needles are all different sizes												2016-02-13T00:00Z				2016	2	13	16-02-13															CA					Galiano Island							48.89969	-123.40597	87																																5295569				2016-02-29T18:11Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:37Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1269542624																										3098038										http://creativecommons.org/licenses/by-nc/4.0/			2016-05-08T03:52Z			http://www.inaturalist.org/observations/3098038				Ω Joanne Siderius some rights reserved	Joanne Siderius												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://inaturalist.ca/observations/3098038	3098038		Joanne Siderius																common												2016-05-02T00:00Z				2016	5	2	16-05-02															CA					"Kokanee Creek, CA-BC-CK, CA-BC, CA"							49.6051	-117.12547	368																																6005460				2016-05-04T20:12Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:44Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1233599610																										2615121										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-31T00:48Z			http://www.inaturalist.org/observations/2615121				Ω Lauren Magner some rights reserved	Lauren Magner												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2615121	2615121		Lauren Magner																												2016-01-24T00:00Z				2016	1	24	16-01-24															CA					Galiano Island							48.98327	-123.55645	61																																4893254				2016-01-25T06:13Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:34Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1229925263																										2586531										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-16T22:04Z			http://www.inaturalist.org/observations/2586531				Ω galianotwins some rights reserved	galianotwins												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2586531	2586531		galianotwins																												2012-06-15T23:56Z	21:56:06Z			2012	6	15	12-06-15 14:56															CA					Galiano Island							48.89887	-123.35895	174																																4824494				2016-01-16T20:54Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
1229610964																										2569027										http://creativecommons.org/licenses/by-nc/4.0/			2016-01-11T01:41Z			http://www.inaturalist.org/observations/2569027				Ω Lauren Magner some rights reserved	Lauren Magner												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2569027	2569027		Lauren Magner																												2015-03-04T00:00Z				2015	3	4	15-03-04															CA					Galiano Island							48.93169	-123.46847	174																																4778770				2016-01-10T04:29Z				48254								Tsuga heterophylla (Raf.) Sarg.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Tsuga		heterophylla		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:33Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2687210	6	7707728	194	640	3925	2685257		2687210	Tsuga heterophylla	Tsuga		DWC_ARCHIVE	2016-06-06T13:30Z	2016-06-06T13:30Z
