gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1024231764																										892760										http://creativecommons.org/licenses/by/4.0/			2014-10-18T00:21Z			http://www.inaturalist.org/observations/892760				Ω John Brew some rights reserved	John Brew												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/892760	892760		John Brew																"<i>Valeriana sitchensis</i> (Sitka valerian)   Between Meadowatch Plot 7 and Plot 8 Skyline Trail, Mount Rainier National Park Elevation 1820 meters (5970 feet)   Hiking and botanize in Reflection Lakes and Paradise area of Mount Rainier as part of <a href=""http://www.meadowatch.org/about.html"" rel=""nofollow"">MeadoWatch</a> "												2014-08-29T02:15Z	00:15:06Z			2014	8	29	14-08-28 17:15															US					"Paradise Inn, Washington, United States"							46.79388	-121.71631																																	1589254				2014-09-24T15:46Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T15:01Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
899944270																										521598										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-16T00:29Z			http://www.inaturalist.org/observations/521598				Ω meadowatch some rights reserved	meadowatch												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/521598	521598		meadowatch																												2013-08-14T20:16Z	18:16:21Z			2013	8	14	13-08-14 11:16															US					"Mount Rainier National Park, Lewis, Washington, United States"							46.77509	-121.71936																																	910153				2014-02-05T18:26Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:54Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1265565524																										2909002										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-10T17:31Z			http://www.inaturalist.org/observations/2909002				Ω Wendy Feltham some rights reserved	Wendy Feltham												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/2909002	2909002		Wendy Feltham																"It was a very hot day, but I was surprised to find Valeriana sitchensis (Sitka Valerian) in bloom, as it's so early in the season. Normally I find it in bloom in June and July in the Olympic Mountains."												2016-04-07T00:00Z				2016	4	7	16-04-07															US					Duckabush WA							47.73615	-123.19852																																	5674502				2016-04-10T01:40Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:41Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:31Z	2016-06-06T13:31Z
1052602190																										1153729										http://creativecommons.org/licenses/by-nc/4.0/			2015-01-03T04:18Z			http://www.inaturalist.org/observations/1153729				Ω podiceps some rights reserved	podiceps												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1153729	1153729		podiceps																Tall plants near Louise Lake.												2014-07-09T00:00Z				2014	7	9	14-07-09															US					Louise Lake							46.77128	-121.7144																																	2097915				2014-12-31T17:08Z				80267								Valeriana sitchensis subsp. sitchensis								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis	sitchensis	SUBSPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T13:57Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	7222028	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z
1099960528																										1648362										http://creativecommons.org/licenses/by-nc/4.0/			2015-06-30T15:01Z			http://www.inaturalist.org/observations/1648362				Ω Cullen Hanks some rights reserved	Cullen Hanks												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1648362	1648362		Cullen Hanks																												2015-06-19T07:01Z	05:01:36Z			2015	6	19	Thu Jun 18 2015 21:01:36 GMT-0800 (AKDT)															US												60.80233	-149.54675	5																																3191780				2015-06-30T14:56Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T14:05Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:29Z	2016-06-06T13:29Z
1024210793																										834766										http://creativecommons.org/licenses/by-nc/4.0/			2014-10-17T22:55Z			http://www.inaturalist.org/observations/834766				Ω Brooke some rights reserved	Brooke												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/834766	834766		Brooke																Sitka Valerian flowering												2014-08-10T00:00Z				2014	8	10	14-08-10															US					Plot 5 MRNP							46.7817	-121.71968																																	1476537				2014-08-17T15:41Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T15:00Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1065580215																										826808										http://creativecommons.org/licenses/by-nc/4.0/			2015-01-15T21:08Z			http://www.inaturalist.org/observations/826808				Ω Lane Felker some rights reserved	Lane Felker												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/826808	826808		Lane Felker																												2014-07-10T20:13Z	18:13:55Z			2014	7	10	14-07-10 11:13															US					"Mount Rainier National Park, Pierce, Washington, United States"							46.91922	-121.64707																																									79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T15:00Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
899941703																										353985										http://creativecommons.org/licenses/by-nc/4.0/			2016-04-16T00:32Z			http://www.inaturalist.org/observations/353985				Ω meadowatch some rights reserved	meadowatch												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/353985	353985		meadowatch																Budding and Flowering												2013-07-18T19:04Z	17:04:28Z			2013	7	18	13-07-18 10:04															US					"Paradise, Washington, United States"							46.79029	-121.72026																																	583350				2013-08-01T20:37Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-04-30T03:24Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-04-30T03:04Z	2016-06-06T13:32Z
1024209815																										832222										http://creativecommons.org/licenses/by-nc/4.0/			2014-10-17T22:52Z			http://www.inaturalist.org/observations/832222				Ω Brooke some rights reserved	Brooke												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/832222	832222		Brooke																Sitka Valerian budding												2014-07-18T00:00Z				2014	7	18	14-07-18															US					Plot 1							46.77058	-121.72337	11661																																1471684				2014-08-15T17:53Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T15:00Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
1024209780																										832232										http://creativecommons.org/licenses/by-nc/4.0/			2014-10-17T22:52Z			http://www.inaturalist.org/observations/832232				Ω Brooke some rights reserved	Brooke												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/832232	832232		Brooke																budding and one flower												2014-07-18T00:00Z				2014	7	18	14-07-18															US					Plot 3							46.7748	-121.7198	11661																																1471703				2014-08-15T18:06Z				79477								Valeriana sitchensis Bong.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		sitchensis		SPECIES							50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2016-06-06T15:00Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	TRUE	FALSE	2888754	6	7707728	220	946	6710	2888741		2888754	Valeriana sitchensis	Valeriana		DWC_ARCHIVE	2016-06-06T13:32Z	2016-06-06T13:32Z
