"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1",466113436,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V194677","Bruce","A.","Bohm","1987-06-17T00:00Z","1987","6","17","CA","British","Columbia","cypress","provincial","park","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","false","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",466123412,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V59916","Freek","Vrugtman","1956-07-01T00:00Z","1956","7","1","CA","British","Columbia","Manning","Park,","Windy","Joe","Mountain","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","false","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",466243283,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V148166","P.C.","Martin","1974-10-21T00:00Z","1974","10","21","CA","British","Columbia","brohm","ridge,","west","of","Mt.","Garibaldi","49.0","-123.0","Peggy","C.","Martin","1974","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",466257990,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V75921","Vladimir","J.","Krajina","1949-08-20T00:00Z","1949","8","20","CA","British","Columbia","Lytton,","Stein","River","Valley","50.26667","-121.91667","Thomas","M.C.","Taylor","1958","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",441823439,"UWBM","Plants","PRESERVED_SPECIMEN","18208","Jon","Titus","1993-07-28T00:00Z","1993","7","28","US","Washington","Skamania","Mt.","St.","Helens,","refugia","area","between","Pumice","Plain","and","Plains","of","Abraham","NE","of","crater","breach.","46.24583","-122.18333","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1379.5","7.5","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DIGIR","2014-10-07T16:24Z","2014-10-07T16:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",441823493,"UWBM","Plants","PRESERVED_SPECIMEN","33320","Alan","C.","Yen","2003-07-25T00:00Z","2003","7","25","US","Washington","Chelan","Okanogan","National","Forest.","Rainy","Lake","Outlet.","48.50418","-120.7339","L.","A.","Brooking","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1527.0","0.0","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DIGIR","2014-10-07T16:24Z","2014-10-07T16:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",441823915,"UWBM","Plants","PRESERVED_SPECIMEN","122258","G.","N.","Jones","1927-08-07T00:00Z","1927","8","7","US","Washington","Kittitas","Spectacle","Lake.","47.46139","-121.28028","M.","A.","Lane","and","Y.","Chang","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DIGIR","2014-10-07T16:24Z","2014-10-07T16:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",441823979,"UWBM","Plants","PRESERVED_SPECIMEN","122590","E.","R.","Johnson","1932","8","US","Washington","Along","the","Nisqually","Glacier","Trail,","Mount","Rainier","National","Park.","M.A.","Lane,","Y.","Chang","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1524.5","304.5","false","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DIGIR","2014-10-07T16:24Z","2014-10-07T16:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",441823982,"UWBM","Plants","PRESERVED_SPECIMEN","122598","J.","M.","Grant","1925","8","US","Washington","Pierce","Emmons","Wood;","Mount","Rainier.","46.89414","-121.67014","M.","A.","Lane,","Y.","Chang","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1677.0","0.0","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DIGIR","2014-10-07T16:24Z","2014-10-07T16:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",441824087,"UWBM","Plants","PRESERVED_SPECIMEN","164514","Barbara","Williams","2006-07-09T00:00Z","2006","7","9","US","Washington","Kittitas","Esmeralda","Basin.","47.44125","-120.93978","David","Giblin","Rhododendron","albiflorum","Hook.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","albiflorum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1394.0","0.0","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2883078","6","7707728","220","1353","2505","2883026","2883078","Rhododendron","albiflorum","Rhododendron","DIGIR","2014-10-07T16:24Z","2014-10-07T16:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
