"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1","1036794113","urn:lsid:artportalen.se:Sighting:16617515","2014-09-25T05:16Z","ArtDatabanken","Artport","HUMAN_OBSERVATION","urn:lsid:artportalen.se:Sighting:16617515","16617515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"2","381845456","INM","Va","PRESERVED_SPECIMEN","130663","JP","Aomori","Spiraea","betulifolia","Pall.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","SPECIES","812e7ec6-f762-11e1-a439-00145eb45e9a","JP","2016-04-17T17:38Z","false","false","3026550","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DIGIR","2014-05-29T13:39Z","2014-07-19T11:41Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"3","441845098","UWBM","Plants","PRESERVED_SPECIMEN","2070","Sarah","Gage","2002-07-13T00:00Z","2002","7","13","US","Washington","Whatcom","Ross","Lake","National","Recreation","Area:","Little","Beaver","Creek","trail.","Along","trail","on","east-facing","slope,","within","0.5","miles","of","trailhead","(before","switchbacks","that","take","trail","northwest","and","finally","west).","48.9169","-121.07737","Cindy","Spurgeon","Spiraea","betulifolia","Pall.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:16Z","552.5","68.5","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3026550","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DIGIR","2014-10-07T16:31Z","2014-10-07T16:31Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"4","441845114","UWBM","Plants","PRESERVED_SPECIMEN","15015","Wilhelm","N.","Suksdorf","1910-06-05T00:00Z","1910","6","5","US","Washington","Klickitat","Bingen.","45.715","-121.46333","Spiraea","betulifolia","var.","lucida","(Dougl.","ex","Greene)","C.L.","Hitchc.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","lucida","VARIETY","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:16Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","6368799","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DIGIR","2014-10-07T16:31Z","2014-10-07T16:31Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"5","441845227","UWBM","Plants","PRESERVED_SPECIMEN","26375","John","Myers","1997-06-28T00:00Z","1997","6","28","US","Washington","Garfield","Blue","Mountains;","Umatilla","National","Forest","-","jeep","trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"6","441845460","UWBM","Plants","PRESERVED_SPECIMEN","99121","William","H.","Baker","1954-07-06T00:00Z","1954","7","6","US","Idaho","Valley","Junction","of","the","Secesh","and","South","Fork","of","the","Salmon","River,","Payette","National","Forest.","44.83032","-114.90653","Spiraea","betulifolia","Pall.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:16Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3026550","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DIGIR","2014-10-07T16:31Z","2014-10-07T16:31Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"7","441845788","UWBM","Plants","PRESERVED_SPECIMEN","99347","H.","R.","Bennett","1961-07-23T00:00Z","1961","7","23","US","Idaho","Lemhi","Along","Warm","Springs","Creek","Road,","in","canyon","of","Pattee","Creek;","in","Beaverhead","Mountains;","11","miles","southeast","from","Baker.","44.98514","-113.57528","F.","D.","Johnson","Spiraea","betulifolia","Pall.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:16Z","2409.0","0.0","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3026550","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DIGIR","2014-10-07T16:31Z","2014-10-07T16:31Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"8","51967515","OSC","OSC","PRESERVED_SPECIMEN","OSC144651","K.L.","Chambers","1975-07-19T00:00Z","1975","7","19","NORTH_AMERICA","US","Oregon","Washington","Standard","Grade","Rd.","just","n.","of","Larch","Mtn.","and","1.5","mi.","s.w.","of","junct.","with","Sotrey","Burn","Rd.","45.6579","-123.4332","804.67","Chambers,","K.","2002-01-01T00:00Z","Spiraea","betulifolia","var.","lucida","(Dougl.","ex","Greene)","C.L.","Hitchc.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","lucida","VARIETY","84aa5ee4-f762-11e1-a439-00145eb45e9a","US","2016-04-17T15:33Z","853.44","0.0","GEODETIC_DATUM_ASSUMED_WGS84","true","false","6368799","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DIGIR","2014-05-29T11:29Z","2015-07-16T13:18Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"9","574936069","http://data.rbge.org.uk/herb/E00260591","2007-10-02T00:00Z","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15670","E","E","Royal","Botanic","Garden","Edinburgh","Herbarium","E","PRESERVED_SPECIMEN","http://data.rbge.org.uk/herb/E00260591","E00260591","13","McGregor,","E.A.","herbarium","specimen","of","unspecified","type","BGBASE:269978","1909-08-08T00:00Z","220","1909","8","8","1909-08-08","North","America","US","degrees","minutes","seconds","Spiraea","betulifolia","Pall.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","SPECIES","ICBN","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","GB","2016-04-16T01:23Z","false","false","3026550","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DWC_ARCHIVE","2014-05-29T14:49Z","2016-06-06T13:38Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
"10","43936596","urn:catalog:KVL:Arboretum:1977,0887","17","KVL","Arboretum","LIVING_SPECIMEN","1977,0887","Copenhagen","University's","Arboretum","Spiraea","betulifolia","Pall.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","betulifolia","SPECIES","84c6cb56-f762-11e1-a439-00145eb45e9a","DK","2016-04-17T15:33Z","false","false","3026550","6","7707728","220","691","5015","3026392","3026550","Spiraea","betulifolia","Spiraea","DWC_ARCHIVE","2014-05-29T11:29Z","2014-01-08T16:12Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,"","","","",""
