"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1","1022072037","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCD40401&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCD40401&related=yes","UCD","VascularPlants","PRESERVED_SPECIMEN","UCD40401","720","Rodney","Gale","Myatt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"2","1022291768","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM306162&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM306162&related=yes","POM","VascularPlants","PRESERVED_SPECIMEN","POM306162","s.n.","Henry","J.","Ramsey,","Mrs.","Henry","J.","Ramsey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"3","1030461642","f37e51b2-3039-11e3-963d-8844b9d50285","EN","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15587","MSC","Vascular","Plants","Michigan","State","University","Herbarium","Vascular","Plant","Collection","PRESERVED_SPECIMEN","f37e51b2-3039-11e3-963d-8844b9d50285","281093","Crow,","Garrett","sheet","-","1","1","1967-05-27T00:00Z","1967","5","27","United","States,","Michigan,","Calhoun","NORTH_AMERICA","US","Michigan","Calhoun","Plants","of","Michigan;","Pennfield","Twp.","Little","Goose","Lake,","7","mi.","ne.","of","Battle","Creek.","Trientalis","borealis","Raf.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","c01696db-a5fe-4d3a-8b26-90760604774b","US","2016-04-17T16:06Z","false","false","3169297","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Trientalis","DWC_ARCHIVE","2015-02-17T08:16Z","2015-02-17T08:16Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"4","1014025836","2011-11-10","HQ594161","2011-11-10T00:00Z","UNKNOWN","HQ594161","Annabel","Por","HQ594161","2006-05-29T00:00Z","2006","5","29","CA","44.03","-79.53","Annabel","Por","319347","Trientalis","borealis","Raf.","species","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","ad43e954-dd79-4986-ae34-9ccdbd8bf568","GB","2016-04-15T22:28Z","REFERENCES_URI_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3169297","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Trientalis","DWC_ARCHIVE","2014-09-04T22:13Z","2014-09-04T22:13Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"5","1014035223","2011-11-10","HQ594900","2011-11-10T00:00Z","UNKNOWN","HQ594900","Annabel","Por","HQ594900","2006-05-29T00:00Z","2006","5","29","CA","44.03","-79.53","Annabel","Por","319347","Trientalis","borealis","Raf.","species","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","ad43e954-dd79-4986-ae34-9ccdbd8bf568","GB","2016-04-15T22:28Z","REFERENCES_URI_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3169297","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Trientalis","DWC_ARCHIVE","2014-09-04T22:13Z","2014-09-04T22:13Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"6","1229706133","1ec83cd2-64b5-491b-8f56-f452680b7937","http://creativecommons.org/publicdomain/zero/1.0/","http://biocol.org/urn:lsid:biocol.org:col:12991","KSTC","Plants","PRESERVED_SPECIMEN","1ec83cd2-64b5-491b-8f56-f452680b7937","46295","8873","Wilson,","James","Thuja","woods,","flower","white","1965-05-24T00:00Z","1965","5","24","NORTH_AMERICA","US","Michigan","Antrim","Elk","Rapids","44.89747","-85.41883","Kerbs,","Benjamin","2015-04-15","GEOLocate","GEOLocate","Wilson,","James","Trientalis","borealis","Raf.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","5325ba61-44e7-4d92-ac11-868b3294b3bb","US","2016-04-17T15:28Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","3169297","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Trientalis","DWC_ARCHIVE","2016-01-21T21:49Z","2016-05-12T21:38Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"7","1212007325","urn:catalog:UConn:CONN:CONN00154030","180612","UConn","CONN","PRESERVED_SPECIMEN","CONN00154030","Rozsa,","Ron;","flowering","Trientalis","borealis","Raf.","1974-06-29T00:00Z","1974","6","29","29-Jun-74","Shaded","forest","Fire","Island","US","New","York","Suffolk","County","Fire","Island","Fire","Island.","Watch","Hill.","seconds","added","from","gazetteer","40.66777","-73.05472","5000.0","no","date.","Topozone.","TopoZone.com","©","Maps","a","la","carte,","Inc.","-","All","rights","reserved.","Lysimachia","borealis","(Raf.)","U.Manns","&","Anderb.","Dicotyledonae","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","5288946d-5fcf-4b53-8fd3-74f4cc6b53fc","US","2016-04-16T01:50Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","7983163","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Lysimachia","DWC_ARCHIVE","2015-11-26T13:30Z","2015-11-26T13:30Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"8","415924164","urn:catalog:UConn:CONN:CONN00045498","9120","UConn","CONN","PRESERVED_SPECIMEN","CONN00045498","125","A.","Nishball","Trientalis","borealis","Raf.","1977-05-18T00:00Z","1977","5","18","18-May-77","Woods.","US","Connecticut","Tolland","County","Coventry","Coventry","Old","Eagleville","Road","41.78444","-72.33944","20000.0","Lysimachia","borealis","(Raf.)","U.Manns","&","Anderb.","Dicotyledonae","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","5288946d-5fcf-4b53-8fd3-74f4cc6b53fc","US","2016-04-16T01:50Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","7983163","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Lysimachia","DWC_ARCHIVE","2015-11-26T13:27Z","2015-11-26T13:27Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"9","465876733","Trientalis","borealis","(CBU","CBU3926)","22528","en","http://procyon.acadiau.ca/ecsmith/cgi-bin/specimen.cgi?22528","http://creativecommons.org/publicdomain/zero/1.0/","&","http://www.canadensys.net/norms","Acadia","University","PhysicalObject","urn:lsid:biocol.org:col:13294","http://dataset.canadensys.net/acad-specimens","Acadia","University","CBU","E.","C.","Smith","Herbarium","(ACAD)","Acadia","University","PRESERVED_SPECIMEN","22528","CBU3926","C1697","Sneddon,","C","2001-06-16T00:00Z","2001","6","16","Growing","throughout","mixed","woods","beside","brook","NORTH_AMERICA","CA","Nova","Scotia","Inverness","MacKinnons","Brook,","Mabou","Highland","trails","46.15","-61.43333","Trientalis","borealis","Raf.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","ICBN","e8a25a42-f125-476c-8554-3ec21cd51a84","CA","2016-04-17T17:13Z","COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3169297","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Trientalis","DWC_ARCHIVE","2014-06-17T20:56Z","2015-05-13T15:03Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
"10","466288497","University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V222085","M.I.","Moore","1965-12-18T00:00Z","1965","12","18","CA","Ontario","Renfrew","County,","Deep","River.","Trientalis","borealis","Raf.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","borealis","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T15:28Z","false","false","3169297","6","7707728","220","1353","6674","3169294","3169297","Trientalis","borealis","Trientalis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,NA,NA,"","","","","","","",""
